Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,65.269944,[ 6 27] ; [96 11],[24.04285714  8.95714286] ; [77.95714286 29.04285714],1
r3,1,0.0,26.419772,[18 16] ; [98  9],[27.97163121  6.02836879] ; [88.02836879 18.97163121],1
p11,1,3.8e-05,16.968277,[15 19] ; [87 21],[24.42253521  9.57746479] ; [77.57746479 30.42253521],1
p8,1,0.00014,14.507794,[ 5 28] ; [56 50],[14.48201439 18.51798561] ; [46.51798561 59.48201439],1
p2,1,0.000384,12.60935,[16 18] ; [85 23],[24.18309859  9.81690141] ; [76.81690141 31.18309859],1
r4,1,0.000949,10.923613,[19 15] ; [90 18],[26.09859155  7.90140845] ; [82.90140845 25.09859155],1
v2,1,0.001325,10.307433,[ 6 28] ; [49 51],[13.95522388 20.04477612] ; [41.04477612 58.95522388],0
v4,1,0.001784,9.759548,[24 10] ; [98  9],[29.41843972  4.58156028] ; [92.58156028 14.41843972],0
n2,1,0.002863,8.892669,[7 8] ; [24  3],[11.07142857  3.92857143] ; [19.92857143  7.07142857],0
a7,1,0.011078,6.452715,[13 21] ; [68 40],[19.3943662 14.6056338] ; [61.6056338 46.3943662],0
s1,1,0.021347,5.298205,[ 5 28] ; [  4 101],[ 2.15217391 30.84782609] ; [ 6.84782609 98.15217391],0
n6,1,0.033737,4.507985,[23 11] ; [91 17],[27.29577465  6.70422535] ; [86.70422535 21.29577465],0
s6,1,0.033932,4.498127,[14 20] ; [65 40],[19.32374101 14.67625899] ; [59.67625899 45.32374101],0
p3,1,0.034143,4.487531,[ 9 24] ; [52 56],[14.27659574 18.72340426] ; [46.72340426 61.27659574],0
n3,1,0.047394,3.931353,[8 6] ; [23  4],[10.58536585  3.41463415] ; [20.41463415  6.58536585],0
r2,1,0.048733,3.884517,[26  8] ; [96 11],[29.41843972  4.58156028] ; [92.58156028 14.41843972],0
s8,1,0.061791,3.488654,[ 7 27] ; [41 67],[11.49295775 22.50704225] ; [36.50704225 71.49295775],0
p7,1,0.063476,3.444149,[14 19] ; [65 42],[18.62142857 14.37857143] ; [60.37857143 46.62142857],0
v1,1,0.065371,3.39558,[11 23] ; [53 52],[15.65467626 18.34532374] ; [48.34532374 56.65467626],0
p4,1,0.095409,2.780661,[13 21] ; [59 49],[17.23943662 16.76056338] ; [54.76056338 53.23943662],0
a1,1,0.126445,2.335616,[ 3 31] ; [  3 105],[ 1.43661972 32.56338028] ; [  4.56338028 103.43661972],0
s5,1,0.154274,2.02947,[ 5 29] ; [28 77],[ 8.07194245 25.92805755] ; [24.92805755 80.07194245],0
p6,1,0.175895,1.831973,[ 7 26] ; [36 71],[10.13571429 22.86428571] ; [32.86428571 74.13571429],0
s7,1,0.201668,1.630256,[10 22] ; [44 56],[13.09090909 18.90909091] ; [40.90909091 59.09090909],0
s4,1,0.21294,1.551322,[ 9 25] ; [18 89],[ 6.5106383 27.4893617] ; [20.4893617 86.5106383],0
a5,1,0.243967,1.357526,[15 19] ; [60 48],[17.95774648 16.04225352] ; [57.04225352 50.95774648],0
s2,1,0.247011,1.34013,[ 9 24] ; [41 66],[11.78571429 21.21428571] ; [38.21428571 68.78571429],0
b1,1,0.251573,1.314546,[17 17] ; [42 66],[14.12676056 19.87323944] ; [44.87323944 63.12676056],0
a6,1,0.294393,1.09942,[17 17] ; [65 43],[19.63380282 14.36619718] ; [62.36619718 45.63380282],0
u3,1,0.298549,1.080664,[ 6 13] ; [24 29],[ 7.91666667 11.08333333] ; [22.08333333 30.91666667],0
u2,1,0.298549,1.080664,[ 6 13] ; [24 29],[ 7.91666667 11.08333333] ; [22.08333333 30.91666667],0
d5,1,0.321222,0.983965,[14 20] ; [55 53],[16.52112676 17.47887324] ; [52.47887324 55.52112676],0
b5,1,0.507703,0.438798,[17 17] ; [61 47],[18.67605634 15.32394366] ; [59.32394366 48.67605634],0
r1,1,0.508516,0.437119,[20 14] ; [69 37],[21.61428571 12.38571429] ; [67.38571429 38.61428571],0
a2,1,0.536984,0.381157,[ 2 32] ; [10 98],[ 2.87323944 31.12676056] ; [ 9.12676056 98.87323944],0
b4,1,0.54951,0.358196,[19 15] ; [54 54],[17.47887324 16.52112676] ; [55.52112676 52.47887324],0
a3,1,0.550267,0.356839,[15 18] ; [55 52],[16.5 16.5] ; [53.5 53.5],0
