Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,60.058147,[120  31] ; [111 164],[81.88028169 69.11971831] ; [149.11971831 125.88028169],1
v1,1,1e-06,24.808163,[98 55] ; [108 169],[73.29767442 79.70232558] ; [132.70232558 144.29767442],1
p12,1,6.1e-05,16.065696,[ 17 136] ; [  6 277],[  8.07110092 144.92889908] ; [ 14.92889908 268.07110092],1
d1,1,0.00722,7.217289,[101  53] ; [149 136],[87.69931663 66.30068337] ; [162.30068337 122.69931663],0
s7,1,0.008074,7.016983,[64 79] ; [ 87 188],[51.65789474 91.34210526] ; [ 99.34210526 175.65789474],0
n4,1,0.008878,6.847286,[124  29] ; [198  87],[112.47945205  40.52054795] ; [209.52054795  75.47945205],0
p3,1,0.018268,5.570288,[79 75] ; [112 171],[67.30892449 86.69107551] ; [123.69107551 159.30892449],0
a2,1,0.037065,4.347421,[ 48 106] ; [ 63 222],[ 38.93849658 115.06150342] ; [ 72.06150342 212.93849658],0
n5,1,0.039357,4.245404,[117  36] ; [189  93],[107.62758621  45.37241379] ; [198.37241379  83.62758621],0
r2,1,0.040705,4.188264,[148   6] ; [255  26],[142.67126437  11.32873563] ; [260.32873563  20.67126437],0
u4,1,0.042207,4.126896,[  5 149] ; [  2 283],[  2.45558087 151.54441913] ; [  4.54441913 280.45558087],0
d3,1,0.045283,4.008074,[124  30] ; [204  80],[115.32420091  38.67579909] ; [212.67579909  71.32420091],0
p10,1,0.047058,3.943321,[124  28] ; [206  76],[115.57603687  36.42396313] ; [214.42396313  67.57603687],0
s8,1,0.050599,3.821485,[58 95] ; [ 82 203],[ 48.90410959 104.09589041] ; [ 91.09589041 193.90410959],0
p11,1,0.054954,3.683485,[126  28] ; [210  75],[117.86788155  36.13211845] ; [218.13211845  66.86788155],0
d2,1,0.055128,3.678218,[79 75] ; [119 166],[69.45785877 84.54214123] ; [128.54214123 156.45785877],0
s4,1,0.063838,3.434758,[ 12 141] ; [ 39 243],[ 17.93793103 135.06206897] ; [ 33.06206897 248.93793103],0
b4,1,0.132784,2.259647,[101  53] ; [166 119],[93.66287016 60.33712984] ; [173.33712984 111.66287016],0
a3,1,0.14359,2.139057,[110  43] ; [184  99],[103.16972477  49.83027523] ; [190.83027523  92.16972477],0
a4,1,0.154995,2.022394,[70 83] ; [110 174],[63.02059497 89.97940503] ; [116.97940503 167.02059497],0
r4,1,0.163792,1.938861,[139  15] ; [244  41],[134.35535308  19.64464692] ; [248.64464692  36.35535308],0
p9,1,0.166231,1.91661,[125  27] ; [215  66],[119.35334873  32.64665127] ; [220.64665127  60.35334873],0
a8,1,0.173029,1.856501,[ 23 112] ; [ 32 233],[ 18.5625 116.4375] ; [ 36.4375 228.5625],0
r3,1,0.180664,1.792153,[148   6] ; [263  20],[144.8375286   9.1624714] ; [266.1624714  16.8375286],0
n6,1,0.188106,1.732393,[128  26] ; [221  63],[122.70776256  31.29223744] ; [226.29223744  57.70776256],0
a1,1,0.251154,1.316873,[  9 145] ; [ 10 275],[  6.66514806 147.33485194] ; [ 12.33485194 272.66514806],0
r1,1,0.277522,1.179184,[126  28] ; [219  64],[121.57894737  32.42105263] ; [223.42105263  59.57894737],0
d4,1,0.293102,1.105318,[129  25] ; [227  58],[124.88382688  29.11617312] ; [231.11617312  53.88382688],0
p1,1,0.331312,0.943761,[ 13 141] ; [ 17 267],[ 10.54794521 143.45205479] ; [ 19.45205479 264.54794521],0
p7,1,0.337774,0.918862,[91 58] ; [157 122],[86.3364486 62.6635514] ; [161.6635514 117.3364486],0
n1,1,0.34958,0.87498,[ 7 21] ; [26 49],[ 8.97087379 19.02912621] ; [24.02912621 50.97087379],0
b1,1,0.352687,0.863764,[ 52 102] ; [109 176],[56.47835991 97.52164009] ; [104.52164009 180.47835991],0
v4,1,0.381575,0.765621,[146   8] ; [264  21],[143.82687927  10.17312073] ; [266.17312073  18.82687927],0
p8,1,0.428482,0.626934,[78 74] ; [133 148],[74.06928406 77.93071594] ; [136.93071594 144.06928406],0
p5,1,0.453934,0.56081,[  9 145] ; [ 12 271],[  7.40045767 146.59954233] ; [ 13.59954233 269.40045767],0
n2,1,0.463712,0.53692,[21  8] ; [48 26],[19.42718447  9.57281553] ; [49.57281553 24.42718447],0
s2,1,0.541891,0.372046,[58 94] ; [100 184],[55.08256881 96.91743119] ; [102.91743119 181.08256881],0
n3,1,0.543536,0.369025,[19 10] ; [53 21],[20.27184466  8.72815534] ; [51.72815534 22.27184466],0
a5,1,0.563234,0.334136,[110  44] ; [196  89],[107.34396355  46.65603645] ; [198.65603645  86.34396355],0
p4,1,0.564579,0.331838,[86 67] ; [152 133],[83.1369863 69.8630137] ; [154.8630137 130.1369863],0
p6,1,0.587401,0.294422,[ 48 104] ; [ 82 200],[ 45.52995392 106.47004608] ; [ 84.47004608 197.52995392],0
u2,1,0.620553,0.24509,[26 17] ; [56 44],[24.65734266 18.34265734] ; [57.34265734 42.65734266],0
s3,1,0.698228,0.150322,[70 80] ; [127 157],[68.0875576 81.9124424] ; [128.9124424 155.0875576],0
u1,1,0.7233,0.125353,[ 28 126] ; [ 48 237],[ 26.66059226 127.33940774] ; [ 49.33940774 235.66059226],0
s1,1,0.757149,0.095621,[  4 147] ; [  9 274],[  4.52304147 146.47695853] ; [  8.47695853 274.52304147],0
a6,1,0.760993,0.092524,[118  36] ; [222  63],[119.27107062  34.72892938] ; [220.72892938  64.27107062],0
s6,1,0.80984,0.057904,[85 66] ; [157 128],[83.81192661 67.18807339] ; [158.18807339 126.81192661],0
b2,1,0.948314,0.004202,[32 68] ; [ 49 106],[31.76470588 68.23529412] ; [ 49.23529412 105.76470588],0
b3,1,0.948314,0.004202,[32 68] ; [ 49 106],[31.76470588 68.23529412] ; [ 49.23529412 105.76470588],0
d5,1,0.951991,0.003625,[125  29] ; [232  53],[125.23462415  28.76537585] ; [231.76537585  53.23462415],0
u3,1,0.96045,0.002459,[25 18] ; [58 41],[25.13380282 17.86619718] ; [57.86619718 41.13380282],0
p2,1,0.963211,0.002127,[124  30] ; [230  55],[124.18223235  29.81776765] ; [229.81776765  55.18223235],0
b5,1,0.986158,0.000301,[102  52] ; [189  96],[102.08200456  51.91799544] ; [188.91799544  96.08200456],0
