Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,26.979371,[70 40] ; [ 4 29],[56.92307692 53.07692308] ; [17.07692308 15.92307692],1
r3,1,1e-06,23.67528,[94 16] ; [14 18],[83.66197183 26.33802817] ; [24.33802817  7.66197183],1
r2,1,2.1e-05,18.078369,[88 21] ; [13 18],[78.63571429 30.36428571] ; [22.36428571  8.63571429],1
p2,1,2.1e-05,18.062051,[79 30] ; [10 22],[68.80141844 40.19858156] ; [20.19858156 11.80141844],1
p9,1,0.001154,10.563272,[83 25] ; [15 17],[75.6 32.4] ; [22.4  9.6],0
n2,1,0.001179,10.523655,[27  8] ; [3 9],[22.34042553 12.65957447] ; [7.65957447 4.34042553],0
s1,1,0.002218,9.359819,[  1 108] ; [ 4 29],[  3.83802817 105.16197183] ; [ 1.16197183 31.83802817],0
n6,1,0.002732,8.978069,[85 25] ; [16 16],[78.23943662 31.76056338] ; [22.76056338  9.23943662],0
p10,1,0.006623,7.372417,[72 35] ; [13 19],[65.43165468 41.56834532] ; [19.56834532 12.43165468],0
s6,1,0.008539,6.916691,[47 61] ; [ 6 27],[40.59574468 67.40425532] ; [12.40425532 20.59574468],0
p11,1,0.013472,6.106069,[73 37] ; [14 19],[66.92307692 43.07692308] ; [20.07692308 12.92307692],0
u3,1,0.016248,5.775889,[22 30] ; [ 2 16],[17.82857143 34.17142857] ; [ 6.17142857 11.82857143],0
u2,1,0.019051,5.496795,[25 27] ; [ 3 15],[20.8 31.2] ; [ 7.2 10.8],0
v1,1,0.034886,4.450758,[41 67] ; [ 6 27],[36. 72.] ; [11. 22.],0
s5,1,0.037133,4.344289,[19 87] ; [ 1 31],[15.36231884 90.63768116] ; [ 4.63768116 27.36231884],0
v2,1,0.049373,3.862617,[40 67] ; [ 6 26],[35.41007194 71.58992806] ; [10.58992806 21.41007194],0
d5,1,0.054378,3.701053,[73 36] ; [16 17],[68.31690141 40.68309859] ; [20.68309859 12.31690141],0
a7,1,0.065854,3.383463,[66 43] ; [14 19],[61.4084507 47.5915493] ; [18.5915493 14.4084507],0
p7,1,0.070678,3.267209,[52 56] ; [10 23],[47.4893617 60.5106383] ; [14.5106383 18.4893617],0
p8,1,0.076346,3.141026,[42 66] ; [ 7 25],[37.8 70.2] ; [11.2 20.8],0
p6,1,0.078488,3.09594,[26 81] ; [ 3 28],[22.48550725 84.51449275] ; [ 6.51449275 24.48550725],0
n5,1,0.092079,2.837645,[65 44] ; [25  8],[69.08450704 39.91549296] ; [20.91549296 12.08450704],0
n3,1,0.098025,2.737379,[24 11] ; [5 7],[21.59574468 13.40425532] ; [7.40425532 4.59574468],0
a8,1,0.140835,2.16881,[ 7 96] ; [ 5 28],[ 9.08823529 93.91176471] ; [ 2.91176471 30.08823529],0
p1,1,0.167334,1.906667,[  8 102] ; [ 5 28],[ 10. 100.] ; [ 3. 30.],0
n4,1,0.171262,1.871859,[62 48] ; [23 10],[65.38461538 44.61538462] ; [19.61538462 13.38461538],0
d4,1,0.180674,1.792072,[74 36] ; [18 15],[70.76923077 39.23076923] ; [21.23076923 11.76923077],0
s2,1,0.181231,1.7875,[33 77] ; [ 6 27],[30. 80.] ; [ 9. 24.],0
n1,1,0.230278,1.439143,[ 8 26] ; [5 7],[ 9.60869565 24.39130435] ; [3.39130435 8.60869565],0
d2,1,0.299357,1.077056,[40 69] ; [15 17],[42.5177305 66.4822695] ; [12.4822695 19.5177305],0
b4,1,0.310173,1.02994,[59 51] ; [21 12],[61.53846154 48.46153846] ; [18.46153846 14.53846154],0
p4,1,0.323482,0.974815,[43 65] ; [10 23],[40.59574468 67.40425532] ; [12.40425532 20.59574468],0
d3,1,0.355638,0.853238,[59 49] ; [15 18],[56.68085106 51.31914894] ; [17.31914894 15.68085106],0
p3,1,0.372589,0.79501,[35 73] ; [ 8 25],[32.93617021 75.06382979] ; [10.06382979 22.93617021],0
a1,1,0.37829,0.776251,[  8 102] ; [ 4 29],[  9.23076923 100.76923077] ; [ 2.76923077 30.23076923],0
b5,1,0.409259,0.680952,[72 38] ; [19 14],[70. 40.] ; [21. 12.],0
a4,1,0.460023,0.545839,[35 75] ; [ 8 24],[33.30985915 76.69014085] ; [ 9.69014085 22.30985915],0
v3,1,0.479412,0.5002,[26 82] ; [ 6 27],[24.5106383 83.4893617] ; [ 7.4893617 25.5106383],0
a3,1,0.491148,0.47401,[57 52] ; [15 18],[55.26760563 53.73239437] ; [16.73239437 16.26760563],0
u1,1,0.54239,0.371127,[  4 106] ; [ 2 31],[  4.61538462 105.38461538] ; [ 1.38461538 31.61538462],0
p12,1,0.549724,0.357812,[  4 105] ; [ 2 31],[  4.6056338 104.3943662] ; [ 1.3943662 31.6056338],0
a5,1,0.561023,0.337935,[53 57] ; [14 19],[51.53846154 58.46153846] ; [15.46153846 17.53846154],0
s4,1,0.635163,0.225124,[17 93] ; [ 4 29],[16.15384615 93.84615385] ; [ 4.84615385 28.15384615],0
s8,1,0.662908,0.19001,[13 97] ; [ 3 30],[12.30769231 97.69230769] ; [ 3.69230769 29.30769231],0
a6,1,0.66883,0.182974,[58 52] ; [16 17],[56.92307692 53.07692308] ; [17.07692308 15.92307692],0
s3,1,0.680406,0.169669,[38 70] ; [10 22],[37.02857143 70.97142857] ; [10.97142857 21.02857143],0
a2,1,0.688367,0.160859,[  9 101] ; [ 2 31],[  8.46153846 101.53846154] ; [ 2.53846154 30.46153846],0
b1,1,0.690182,0.158889,[49 61] ; [16 17],[50. 60.] ; [15. 18.],0
b2,1,0.815412,0.054499,[18 38] ; [ 7 13],[18.42105263 37.57894737] ; [ 6.57894737 13.42105263],0
b3,1,0.815412,0.054499,[18 38] ; [ 7 13],[18.42105263 37.57894737] ; [ 6.57894737 13.42105263],0
p5,1,0.84225,0.039607,[  8 102] ; [ 2 30],[  7.74647887 102.25352113] ; [ 2.25352113 29.74647887],0
d1,1,0.923822,0.009143,[39 71] ; [12 21],[39.23076923 70.76923077] ; [11.76923077 21.23076923],0
