Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.013494,6.103147,[23  7] ; [10 13],[18.67924528 11.32075472] ; [14.32075472  8.67924528],0
d2,1,0.018974,5.503908,[17 12] ; [ 6 17],[12.82692308 16.17307692] ; [10.17307692 12.82692308],0
d1,1,0.01977,5.432134,[16 14] ; [ 5 18],[11.88679245 18.11320755] ; [ 9.11320755 13.88679245],0
v3,1,0.086041,2.946927,[ 8 21] ; [ 2 21],[ 5.57692308 23.42307692] ; [ 4.42307692 18.57692308],0
d3,1,0.095507,2.779021,[16 14] ; [ 7 16],[13.01886792 16.98113208] ; [ 9.98113208 13.01886792],0
p6,1,0.097046,2.753425,[ 6 23] ; [ 1 21],[ 3.98039216 25.01960784] ; [ 3.01960784 18.98039216],0
b4,1,0.09992,2.706816,[17 13] ; [18  5],[19.81132075 10.18867925] ; [15.18867925  7.81132075],0
r3,1,0.109038,2.56811,[19 11] ; [ 9 13],[16.15384615 13.84615385] ; [11.84615385 10.15384615],0
s3,1,0.122808,2.381145,[13 17] ; [ 5 17],[10.38461538 19.61538462] ; [ 7.61538462 14.38461538],0
v2,1,0.122808,2.381145,[13 17] ; [ 5 17],[10.38461538 19.61538462] ; [ 7.61538462 14.38461538],0
p3,1,0.14377,2.137142,[ 9 21] ; [ 3 20],[ 6.79245283 23.20754717] ; [ 5.20754717 17.79245283],0
a6,1,0.178729,1.808163,[16 14] ; [ 8 15],[13.58490566 16.41509434] ; [10.41509434 12.58490566],0
b1,1,0.184533,1.760731,[21  9] ; [12 11],[18.67924528 11.32075472] ; [14.32075472  8.67924528],0
s5,1,0.21344,1.547938,[ 6 22] ; [ 2 21],[ 4.39215686 23.60784314] ; [ 3.60784314 19.39215686],0
b3,1,0.237867,1.393189,[ 8 11] ; [ 4 13],[ 6.33333333 12.66666667] ; [ 5.66666667 11.33333333],0
b2,1,0.237867,1.393189,[ 8 11] ; [ 4 13],[ 6.33333333 12.66666667] ; [ 5.66666667 11.33333333],0
u2,1,0.268925,1.222222,[ 1 10] ; [3 8],[2. 9.] ; [2. 9.],0
n3,1,0.278503,1.174381,[7 6] ; [2 5],[5.85 7.15] ; [3.15 3.85],0
a1,1,0.39562,0.7216,[ 5 25] ; [ 2 21],[ 3.96226415 26.03773585] ; [ 3.03773585 19.96226415],0
s7,1,0.400953,0.705467,[ 8 19] ; [ 4 17],[ 6.75 20.25] ; [ 5.25 15.75],0
s1,1,0.402437,0.701034,[ 1 29] ; [ 2 21],[ 1.69811321 28.30188679] ; [ 1.30188679 21.69811321],0
u1,1,0.402437,0.701034,[ 1 29] ; [ 2 21],[ 1.69811321 28.30188679] ; [ 1.30188679 21.69811321],0
a4,1,0.463436,0.537584,[13 16] ; [ 8 15],[11.71153846 17.28846154] ; [ 9.28846154 13.71153846],0
b5,1,0.476897,0.50595,[14 16] ; [13 10],[15.28301887 14.71698113] ; [11.71698113 11.28301887],0
p4,1,0.498996,0.457071,[ 9 21] ; [ 5 18],[ 7.9245283 22.0754717] ; [ 6.0754717 16.9245283],0
a3,1,0.523429,0.407131,[19 11] ; [12 10],[17.88461538 12.11538462] ; [13.11538462  8.88461538],0
n5,1,0.52355,0.406894,[22  8] ; [15  8],[20.94339623  9.05660377] ; [16.05660377  6.94339623],0
r1,1,0.528182,0.397889,[13 17] ; [ 8 15],[11.88679245 18.11320755] ; [ 9.11320755 13.88679245],0
n2,1,0.536632,0.381818,[6 8] ; [4 3],[6.66666667 7.33333333] ; [3.33333333 3.66666667],0
n1,1,0.536632,0.381818,[8 6] ; [3 4],[7.33333333 6.66666667] ; [3.66666667 3.33333333],0
n4,1,0.561117,0.337774,[23  7] ; [16  7],[22.0754717  7.9245283] ; [16.9245283  6.0754717],0
s8,1,0.597411,0.278919,[ 4 26] ; [ 2 21],[ 3.39622642 26.60377358] ; [ 2.60377358 20.39622642],0
s4,1,0.597411,0.278919,[ 4 26] ; [ 2 21],[ 3.39622642 26.60377358] ; [ 2.60377358 20.39622642],0
p11,1,0.615324,0.252495,[11 19] ; [10 13],[11.88679245 18.11320755] ; [ 9.11320755 13.88679245],0
a5,1,0.637365,0.222205,[15 15] ; [13 10],[15.8490566 14.1509434] ; [12.1509434 10.8490566],0
p1,1,0.682542,0.167279,[ 4 26] ; [ 4 19],[ 4.52830189 25.47169811] ; [ 3.47169811 19.52830189],0
a8,1,0.685113,0.164427,[ 3 27] ; [ 3 19],[ 3.46153846 26.53846154] ; [ 2.53846154 19.46153846],0
s6,1,0.695711,0.152972,[ 9 20] ; [ 6 17],[ 8.36538462 20.63461538] ; [ 6.63461538 16.36538462],0
a2,1,0.71498,0.133353,[ 5 25] ; [ 3 20],[ 4.52830189 25.47169811] ; [ 3.47169811 19.52830189],0
p5,1,0.717303,0.131092,[ 2 28] ; [ 1 22],[ 1.69811321 28.30188679] ; [ 1.30188679 21.69811321],0
v1,1,0.753954,0.098238,[ 9 21] ; [ 6 17],[ 8.49056604 21.50943396] ; [ 6.50943396 16.49056604],0
a7,1,0.758261,0.094719,[13 17] ; [ 9 14],[12.45283019 17.54716981] ; [ 9.54716981 13.45283019],0
p9,1,0.879062,0.023152,[13 17] ; [10 12],[13.26923077 16.73076923] ; [ 9.73076923 12.26923077],0
s2,1,0.89068,0.018891,[ 7 23] ; [ 5 18],[ 6.79245283 23.20754717] ; [ 5.20754717 17.79245283],0
p7,1,0.89068,0.018891,[ 7 23] ; [ 5 18],[ 6.79245283 23.20754717] ; [ 5.20754717 17.79245283],0
d4,1,0.912077,0.012192,[20 10] ; [15  8],[19.81132075 10.18867925] ; [15.18867925  7.81132075],0
p2,1,0.929642,0.007796,[11 18] ; [ 9 14],[11.15384615 17.84615385] ; [ 8.84615385 14.15384615],0
p10,1,0.947372,0.004357,[12 18] ; [ 9 13],[12.11538462 17.88461538] ; [ 8.88461538 13.11538462],0
n6,1,1.0,0.0,[15 15] ; [11 11],[15. 15.] ; [11. 11.],0
