Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,2.9e-05,17.451923,[6 2] ; [ 6 46],[1.6 6.4] ; [10.4 41.6],1
p8,1,6.6e-05,15.913922,[7 1] ; [10 42],[2.26666667 5.73333333] ; [14.73333333 37.26666667],1
p7,1,0.000974,10.8773,[7 1] ; [14 37],[2.84745763 5.15254237] ; [18.15254237 32.84745763],1
p5,1,0.001522,10.052387,[3 5] ; [ 2 49],[0.6779661 7.3220339] ; [ 4.3220339 46.6779661],0
p4,1,0.001653,9.900032,[6 2] ; [11 41],[2.26666667 5.73333333] ; [14.73333333 37.26666667],0
p10,1,0.003221,8.677885,[7 1] ; [17 35],[3.2 4.8] ; [20.8 31.2],0
r4,1,0.013225,6.138745,[3 5] ; [ 4 49],[0.91803279 7.08196721] ; [ 6.08196721 46.91803279],0
s7,1,0.020921,5.333333,[3 4] ; [ 5 44],[1. 6.] ; [ 7. 42.],0
p2,1,0.021948,5.249932,[6 2] ; [17 35],[3.06666667 4.93333333] ; [19.93333333 32.06666667],0
p9,1,0.037569,4.324412,[6 2] ; [18 32],[3.31034483 4.68965517] ; [20.68965517 29.31034483],0
p11,1,0.039943,4.220306,[5 3] ; [14 39],[2.49180328 5.50819672] ; [16.50819672 36.49180328],0
v1,1,0.054779,3.688809,[5 3] ; [15 38],[2.62295082 5.37704918] ; [17.37704918 35.62295082],0
s5,1,0.083639,2.992735,[3 5] ; [ 7 46],[1.31147541 6.68852459] ; [ 8.68852459 44.31147541],0
s2,1,0.083639,2.992735,[3 5] ; [ 7 46],[1.31147541 6.68852459] ; [ 8.68852459 44.31147541],0
n6,1,0.084438,2.977335,[6 2] ; [22 30],[3.73333333 4.26666667] ; [24.26666667 27.73333333],0
b1,1,0.114545,2.490364,[7 1] ; [31 22],[4.98360656 3.01639344] ; [33.01639344 19.98360656],0
u1,1,0.116118,2.46892,[1 7] ; [ 1 52],[0.26229508 7.73770492] ; [ 1.73770492 51.26229508],0
s4,1,0.173559,1.851933,[3 5] ; [ 9 44],[1.57377049 6.42622951] ; [10.42622951 42.57377049],0
u2,1,0.19043,1.714286,[2 1] ; [ 6 15],[1. 2.] ; [ 7. 14.],0
n2,1,0.198814,1.651066,[3 1] ; [11 16],[1.80645161 2.19354839] ; [12.19354839 14.80645161],0
a5,1,0.203104,1.619915,[6 2] ; [27 26],[4.32786885 3.67213115] ; [28.67213115 24.32786885],0
v3,1,0.230316,1.43891,[3 5] ; [10 43],[1.70491803 6.29508197] ; [11.29508197 41.70491803],0
d5,1,0.239291,1.384768,[6 2] ; [28 25],[4.45901639 3.54098361] ; [29.54098361 23.45901639],0
n3,1,0.25377,1.302431,[3 1] ; [12 15],[1.93548387 2.06451613] ; [13.06451613 13.93548387],0
d3,1,0.31215,1.021556,[5 3] ; [23 30],[3.67213115 4.32786885] ; [24.32786885 28.67213115],0
d1,1,0.319923,0.989263,[4 4] ; [17 36],[2.75409836 5.24590164] ; [18.24590164 34.75409836],0
d2,1,0.352236,0.865385,[2 6] ; [22 30],[3.2 4.8] ; [20.8 31.2],0
r1,1,0.378569,0.775344,[4 4] ; [18 35],[2.8852459 5.1147541] ; [19.1147541 33.8852459],0
a4,1,0.423876,0.639543,[4 4] ; [18 33],[2.98305085 5.01694915] ; [19.01694915 31.98305085],0
s6,1,0.436887,0.604445,[3 5] ; [13 40],[2.09836066 5.90163934] ; [13.90163934 39.09836066],0
p3,1,0.456697,0.553977,[3 5] ; [13 39],[2.13333333 5.86666667] ; [13.86666667 38.13333333],0
a7,1,0.578002,0.309476,[4 4] ; [21 32],[3.27868852 4.72131148] ; [21.72131148 31.27868852],0
b4,1,0.6508,0.204893,[4 4] ; [31 22],[4.59016393 3.40983607] ; [30.40983607 22.59016393],0
d4,1,0.725945,0.122868,[4 4] ; [30 23],[4.45901639 3.54098361] ; [29.54098361 23.45901639],0
n1,1,0.726161,0.122665,[2 2] ; [11 16],[1.67741935 2.32258065] ; [11.32258065 15.67741935],0
a2,1,0.786055,0.073678,[1 7] ; [ 5 48],[0.78688525 7.21311475] ; [ 5.21311475 47.78688525],0
b5,1,0.802927,0.06228,[4 4] ; [24 29],[3.67213115 4.32786885] ; [24.32786885 28.67213115],0
a6,1,0.802927,0.06228,[4 4] ; [24 29],[3.67213115 4.32786885] ; [24.32786885 28.67213115],0
p1,1,0.847065,0.037197,[1 7] ; [ 8 45],[1.18032787 6.81967213] ; [ 7.81967213 45.18032787],0
u3,1,0.865215,0.028812,[1 2] ; [ 6 15],[0.875 2.125] ; [ 6.125 14.875],0
r2,1,0.903569,0.014678,[5 3] ; [33 18],[5.15254237 2.84745763] ; [32.84745763 18.15254237],0
n4,1,0.908797,0.013123,[5 3] ; [32 21],[4.85245902 3.14754098] ; [32.14754098 20.85245902],0
s1,1,0.922293,0.009515,[1 7] ; [ 6 47],[0.91803279 7.08196721] ; [ 6.08196721 46.91803279],0
b2,1,0.961935,0.002278,[2 3] ; [14 22],[1.95121951 3.04878049] ; [14.04878049 21.95121951],0
b3,1,0.961935,0.002278,[2 3] ; [14 22],[1.95121951 3.04878049] ; [14.04878049 21.95121951],0
a3,1,0.989366,0.000178,[5 3] ; [32 19],[5.01694915 2.98305085] ; [31.98305085 19.01694915],0
