Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s5,1,3.7e-05,17.024302,[16 63] ; [15  8],[24.00980392 54.99019608] ; [ 6.99019608 16.00980392],1
s6,1,0.004585,8.036301,[45 39] ; [22  4],[51.16363636 32.83636364] ; [15.83636364 10.16363636],0
n5,1,0.012074,6.299979,[64 19] ; [14 13],[58.85454545 24.14545455] ; [19.14545455  7.85454545],0
v2,1,0.036874,4.356229,[37 40] ; [18  7],[41.51960784 35.48039216] ; [13.48039216 11.51960784],0
b3,1,0.043344,4.081922,[22 31] ; [ 3 16],[18.40277778 34.59722222] ; [ 6.59722222 12.40277778],0
b2,1,0.043344,4.081922,[22 31] ; [ 3 16],[18.40277778 34.59722222] ; [ 6.59722222 12.40277778],0
a2,1,0.049758,3.849597,[21 63] ; [ 2 25],[17.40540541 66.59459459] ; [ 5.59459459 21.40540541],0
u2,1,0.066515,3.367003,[19 11] ; [3 7],[16.5 13.5] ; [5.5 4.5],0
n6,1,0.116896,2.45842,[58 25] ; [23  4],[61.11818182 21.88181818] ; [19.88181818  7.11818182],0
v3,1,0.130683,2.284375,[31 45] ; [ 6 19],[27.84158416 48.15841584] ; [ 9.15841584 15.84158416],0
a8,1,0.147905,2.093721,[11 68] ; [ 1 26],[ 8.94339623 70.05660377] ; [ 3.05660377 23.94339623],0
s2,1,0.181903,1.782011,[41 43] ; [16  9],[43.9266055 40.0733945] ; [13.0733945 11.9266055],0
r4,1,0.189657,1.720283,[69 15] ; [25  2],[71.13513514 12.86486486] ; [22.86486486  4.13513514],0
b5,1,0.244106,1.356723,[57 27] ; [15 12],[54.48648649 29.51351351] ; [17.51351351  9.48648649],0
d1,1,0.249409,1.326611,[48 36] ; [12 15],[45.40540541 38.59459459] ; [14.59459459 12.40540541],0
b4,1,0.25031,1.321575,[51 33] ; [13 14],[48.43243243 35.56756757] ; [15.56756757 11.43243243],0
r2,1,0.262299,1.256582,[74  9] ; [26  1],[75.45454545  7.54545455] ; [24.54545455  2.45454545],0
p5,1,0.308097,1.038818,[ 8 72] ; [ 1 26],[ 6.72897196 73.27102804] ; [ 2.27102804 24.72897196],0
s8,1,0.320993,0.984894,[37 46] ; [15 12],[39.23636364 43.76363636] ; [12.76363636 14.23636364],0
p8,1,0.326538,0.962579,[27 57] ; [ 6 21],[24.97297297 59.02702703] ; [ 8.02702703 18.97297297],0
r1,1,0.326538,0.962579,[57 27] ; [21  6],[59.02702703 24.97297297] ; [18.97297297  8.02702703],0
p12,1,0.326824,0.961439,[ 7 77] ; [ 4 23],[ 8.32432432 75.67567568] ; [ 2.67567568 24.32432432],0
a6,1,0.335571,0.927277,[54 28] ; [15 12],[51.90825688 30.09174312] ; [17.09174312  9.90825688],0
s3,1,0.357845,0.845442,[42 40] ; [16 10],[44.03703704 37.96296296] ; [13.96296296 12.03703704],0
n4,1,0.406454,0.689148,[60 24] ; [17 10],[58.27027027 25.72972973] ; [18.72972973  8.27027027],0
p10,1,0.408077,0.684396,[69 15] ; [24  3],[70.37837838 13.62162162] ; [22.62162162  4.37837838],0
a7,1,0.412746,0.670877,[57 27] ; [16 11],[55.24324324 28.75675676] ; [17.75675676  9.24324324],0
p6,1,0.415626,0.662651,[21 62] ; [ 9 18],[22.63636364 60.36363636] ; [ 7.36363636 19.63636364],0
a4,1,0.433839,0.612524,[41 42] ; [11 16],[39.23636364 43.76363636] ; [12.76363636 14.23636364],0
p1,1,0.441171,0.593234,[ 8 76] ; [ 4 23],[ 9.08108108 74.91891892] ; [ 2.91891892 24.08108108],0
p7,1,0.448863,0.57352,[29 51] ; [12 15],[30.65420561 49.34579439] ; [10.34579439 16.65420561],0
n1,1,0.461251,0.542857,[15 13] ; [4 6],[14. 14.] ; [5. 5.],0
a5,1,0.471141,0.519298,[56 28] ; [20  7],[57.51351351 26.48648649] ; [18.48648649  8.51351351],0
v1,1,0.503812,0.446897,[36 45] ; [14 13],[37.5 43.5] ; [12.5 14.5],0
b1,1,0.521292,0.411336,[37 47] ; [10 17],[35.56756757 48.43243243] ; [11.43243243 15.56756757],0
u1,1,0.574277,0.315578,[13 71] ; [ 3 24],[12.10810811 71.89189189] ; [ 3.89189189 23.10810811],0
n3,1,0.597237,0.279184,[20  8] ; [8 2],[20.63157895  7.36842105] ; [7.36842105 2.63157895],0
v4,1,0.616885,0.250271,[75  9] ; [25  2],[75.67567568  8.32432432] ; [24.32432432  2.67567568],0
p11,1,0.637688,0.221778,[60 24] ; [18  9],[59.02702703 24.97297297] ; [18.97297297  8.02702703],0
s7,1,0.656868,0.197351,[36 44] ; [13 13],[36.98113208 43.01886792] ; [12.01886792 13.98113208],0
d4,1,0.681815,0.16809,[61 21] ; [19  8],[60.18348624 21.81651376] ; [19.81651376  7.18348624],0
d3,1,0.684302,0.165324,[48 34] ; [17 10],[48.89908257 33.10091743] ; [16.10091743 10.89908257],0
d5,1,0.690076,0.159003,[58 24] ; [18  9],[57.17431193 24.82568807] ; [18.82568807  8.17431193],0
n2,1,0.730731,0.118442,[24  4] ; [9 1],[24.31578947  3.68421053] ; [8.68421053 1.31578947],0
s1,1,0.76205,0.091682,[ 5 78] ; [ 2 24],[ 5.33027523 77.66972477] ; [ 1.66972477 24.33027523],0
p3,1,0.843135,0.039158,[29 54] ; [10 17],[29.42727273 53.57272727] ; [ 9.57272727 17.42727273],0
a3,1,0.843135,0.039158,[54 29] ; [17 10],[53.57272727 29.42727273] ; [17.42727273  9.57272727],0
u3,1,0.853493,0.034101,[17 13] ; [6 4],[17.25 12.75] ; [5.75 4.25],0
d2,1,0.911148,0.012452,[37 44] ; [12 15],[36.75 44.25] ; [12.25 14.75],0
p4,1,0.966312,0.001784,[30 52] ; [10 17],[30.09174312 51.90825688] ; [ 9.90825688 17.09174312],0
