Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,9e-06,19.73014,[377 128] ; [29 32],[362.24381625 142.75618375] ; [43.75618375 17.24381625],1
d5,1,0.000131,14.623466,[456  49] ; [45 16],[447.00530035  57.99469965] ; [53.99469965  7.00530035],1
d2,1,0.000233,13.540881,[297 205] ; [21 40],[283.54529307 218.45470693] ; [34.45470693 26.54529307],1
s4,1,0.000413,12.471641,[ 68 427] ; [19 42],[ 77.45503597 417.54496403] ; [ 9.54496403 51.45503597],1
a5,1,0.000505,12.096657,[411  94] ; [38 23],[400.60954064 104.39045936] ; [48.39045936 12.60954064],1
p3,1,0.000895,11.033918,[278 225] ; [20 41],[265.76950355 237.23049645] ; [32.23049645 28.76950355],1
p10,1,0.001194,10.499832,[437  64] ; [43 17],[428.6631016  72.3368984] ; [51.3368984  8.6631016],0
n6,1,0.001359,10.260132,[465  38] ; [48 12],[458.3285968  44.6714032] ; [54.6714032  5.3285968],0
p4,1,0.002025,9.527085,[338 163] ; [29 32],[327.16548043 173.83451957] ; [39.83451957 21.16548043],0
v3,1,0.006328,7.454437,[223 264] ; [16 43],[213.17399267 273.82600733] ; [25.82600733 33.17399267],0
p5,1,0.010185,6.602187,[ 77 423] ; [ 2 59],[ 70.40998217 429.59001783] ; [ 8.59001783 52.40998217],0
u1,1,0.011545,6.379434,[122 383] ; [ 6 55],[114.204947 390.795053] ; [13.795053 47.204947],0
n3,1,0.011926,6.321804,[69 28] ; [10 13],[63.85833333 33.14166667] ; [15.14166667  7.85833333],0
a4,1,0.013088,6.157141,[266 237] ; [22 39],[256.85106383 246.14893617] ; [31.14893617 29.85106383],0
r2,1,0.014165,6.017516,[477  21] ; [54  7],[473.05545617  24.94454383] ; [57.94454383  3.05545617],0
s7,1,0.014381,5.990732,[269 213] ; [23 36],[260.15526802 221.84473198] ; [31.84473198 27.15526802],0
r3,1,0.015929,5.810712,[480  22] ; [53  7],[476.09608541  25.90391459] ; [56.90391459  3.09608541],0
r4,1,0.020268,5.388626,[461  44] ; [50 11],[455.92756184  49.07243816] ; [55.07243816  5.92756184],0
n1,1,0.020464,5.371835,[46 49] ; [ 5 18],[41.05932203 53.94067797] ; [ 9.94067797 13.05932203],0
s8,1,0.033239,4.533444,[253 248] ; [22 39],[245.15124555 255.84875445] ; [29.84875445 31.15124555],0
p6,1,0.046907,3.948709,[207 290] ; [17 43],[199.87073609 297.12926391] ; [24.12926391 35.87073609],0
a8,1,0.051053,3.806523,[ 79 377] ; [ 4 52],[ 73.921875 382.078125] ; [ 9.078125 46.921875],0
