Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.000188,13.944193,[32  7] ; [22 29],[23.4 15.6] ; [30.6 20.4],1
s7,1,0.000509,12.082569,[25 12] ; [15 35],[17.01149425 19.98850575] ; [22.98850575 27.01149425],1
r3,1,0.042625,4.110208,[38  1] ; [44  8],[35.14285714  3.85714286] ; [46.85714286  5.14285714],0
s8,1,0.062946,3.458012,[23 16] ; [20 31],[18.63333333 20.36666667] ; [24.36666667 26.63333333],0
a4,1,0.06658,3.365385,[21 18] ; [18 34],[16.71428571 22.28571429] ; [22.28571429 29.71428571],0
p11,1,0.077963,3.106869,[32  7] ; [34 18],[28.28571429 10.71428571] ; [37.71428571 14.28571429],0
n4,1,0.080308,3.058654,[33  6] ; [35 16],[29.46666667  9.53333333] ; [38.53333333 12.46666667],0
b5,1,0.089224,2.888323,[21 18] ; [37 15],[24.85714286 14.14285714] ; [33.14285714 18.85714286],0
p10,1,0.167414,1.905952,[31  7] ; [35 16],[28.17977528  9.82022472] ; [37.82022472 13.17977528],0
v1,1,0.183376,1.770053,[25 14] ; [25 25],[21.91011236 17.08988764] ; [28.08988764 21.91011236],0
s1,1,0.183991,1.765086,[ 3 36] ; [ 1 51],[ 1.71428571 37.28571429] ; [ 2.28571429 49.71428571],0
d4,1,0.188375,1.730282,[33  6] ; [38 14],[30.42857143  8.57142857] ; [40.57142857 11.42857143],0
b2,1,0.194254,1.685053,[ 9 17] ; [17 16],[11.45762712 14.54237288] ; [14.54237288 18.45762712],0
b3,1,0.194254,1.685053,[ 9 17] ; [17 16],[11.45762712 14.54237288] ; [14.54237288 18.45762712],0
n6,1,0.209868,1.572338,[32  7] ; [36 15],[29.46666667  9.53333333] ; [38.53333333 12.46666667],0
d3,1,0.225852,1.466796,[23 16] ; [24 28],[20.14285714 18.85714286] ; [26.85714286 25.14285714],0
s2,1,0.243663,1.359277,[19 20] ; [19 33],[16.28571429 22.71428571] ; [21.71428571 30.28571429],0
u2,1,0.244999,1.351596,[5 4] ; [4 9],[3.68181818 5.31818182] ; [5.31818182 7.68181818],0
p2,1,0.314995,1.009615,[30  9] ; [35 17],[27.85714286 11.14285714] ; [37.14285714 14.85714286],0
p7,1,0.337495,0.919923,[31  8] ; [36 15],[29.03333333  9.96666667] ; [37.96666667 13.03333333],0
r1,1,0.383926,0.758093,[30  9] ; [35 16],[28.16666667 10.83333333] ; [36.83333333 14.16666667],0
p12,1,0.393181,0.729082,[ 2 36] ; [ 1 50],[ 1.28089888 36.71910112] ; [ 1.71910112 49.28089888],0
p1,1,0.403453,0.698011,[ 6 33] ; [ 5 47],[ 4.71428571 34.28571429] ; [ 6.28571429 45.71428571],0
s5,1,0.404758,0.694145,[11 27] ; [18 30],[12.81395349 25.18604651] ; [16.18604651 31.81395349],0
a1,1,0.42557,0.634884,[ 3 36] ; [ 2 50],[ 2.14285714 36.85714286] ; [ 2.85714286 49.14285714],0
s6,1,0.475613,0.508905,[24 15] ; [27 23],[22.34831461 16.65168539] ; [28.65168539 21.34831461],0
n2,1,0.496329,0.462778,[4 1] ; [11  1],[4.41176471 0.58823529] ; [10.58823529  1.41176471],0
a5,1,0.536537,0.381996,[30  9] ; [37 15],[28.71428571 10.28571429] ; [38.28571429 13.71428571],0
u1,1,0.557131,0.344697,[ 7 32] ; [ 7 45],[ 6. 33.] ; [ 8. 44.],0
a8,1,0.602362,0.271447,[ 5 31] ; [ 5 44],[ 4.23529412 31.76470588] ; [ 5.76470588 43.23529412],0
v4,1,0.625721,0.237908,[37  2] ; [48  4],[36.42857143  2.57142857] ; [48.57142857  3.42857143],0
a6,1,0.636645,0.223156,[23 15] ; [34 18],[24.06666667 13.93333333] ; [32.93333333 19.06666667],0
a7,1,0.663264,0.189583,[23 16] ; [33 19],[24. 15.] ; [32. 20.],0
s3,1,0.670896,0.180556,[22 17] ; [27 25],[21. 18.] ; [28. 24.],0
n1,1,0.70663,0.141667,[2 3] ; [6 6],[2.35294118 2.64705882] ; [5.64705882 6.35294118],0
b1,1,0.76217,0.091586,[20 19] ; [25 27],[19.28571429 19.71428571] ; [25.71428571 26.28571429],0
d1,1,0.76217,0.091586,[20 19] ; [25 27],[19.28571429 19.71428571] ; [25.71428571 26.28571429],0
u3,1,0.767896,0.087101,[6 4] ; [7 6],[5.65217391 4.34782609] ; [7.34782609 5.65217391],0
s4,1,0.795298,0.067308,[ 6 33] ; [ 7 45],[ 5.57142857 33.42857143] ; [ 7.42857143 44.57142857],0
