Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,6e-06,20.360263,[83  9] ; [2 5],[78.98989899 13.01010101] ; [6.01010101 0.98989899],1
p9,1,0.000351,12.776454,[70 21] ; [1 6],[65.92857143 25.07142857] ; [5.07142857 1.92857143],1
a5,1,0.003534,8.508981,[72 20] ; [2 5],[68.76767677 23.23232323] ; [5.23232323 1.76767677],0
a3,1,0.004868,7.927906,[62 30] ; [1 6],[58.54545455 33.45454545] ; [4.45454545 2.54545455],0
r1,1,0.005236,7.796187,[70 21] ; [2 5],[66.85714286 24.14285714] ; [5.14285714 1.85714286],0
a7,1,0.017596,5.635965,[66 26] ; [2 5],[63.19191919 28.80808081] ; [4.80808081 2.19191919],0
v4,1,0.021331,5.299513,[87  5] ; [5 2],[85.49494949  6.50505051] ; [6.50505051 0.49494949],0
p10,1,0.028274,4.811261,[63 28] ; [2 5],[60.35714286 30.64285714] ; [4.64285714 2.35714286],0
p11,1,0.032078,4.594342,[63 29] ; [2 5],[60.4040404 31.5959596] ; [4.5959596 2.4040404],0
r3,1,0.039068,4.257892,[86  6] ; [5 2],[84.56565657  7.43434343] ; [6.43434343 0.56565657],0
v2,1,0.056612,3.633969,[45 42] ; [1 6],[42.57446809 44.42553191] ; [3.42553191 3.57446809],0
d2,1,0.118147,2.441712,[41 51] ; [1 6],[39.03030303 52.96969697] ; [2.96969697 4.03030303],0
u3,1,0.121335,2.4,[24  6] ; [3 3],[22.5  7.5] ; [4.5 1.5],0
d1,1,0.136114,2.221351,[53 39] ; [2 5],[51.11111111 40.88888889] ; [3.88888889 3.11111111],0
s2,1,0.152237,2.049689,[40 52] ; [5 2],[41.81818182 50.18181818] ; [3.18181818 3.81818182],0
s8,1,0.158447,1.988987,[38 54] ; [1 6],[36.24242424 55.75757576] ; [2.75757576 4.24242424],0
b4,1,0.187585,1.736486,[62 30] ; [3 4],[60.4040404 31.5959596] ; [4.5959596 2.4040404],0
d5,1,0.233205,1.421203,[71 21] ; [4 3],[69.6969697 22.3030303] ; [5.3030303 1.6969697],0
n3,1,0.24122,1.373452,[16  3] ; [1 1],[15.38095238  3.61904762] ; [1.61904762 0.38095238],0
p12,1,0.344103,0.895086,[ 5 87] ; [1 6],[ 5.57575758 86.42424242] ; [0.42424242 6.57575758],0
a1,1,0.344103,0.895086,[ 5 87] ; [1 6],[ 5.57575758 86.42424242] ; [0.42424242 6.57575758],0
p5,1,0.439815,0.596765,[ 6 86] ; [1 6],[ 6.50505051 85.49494949] ; [0.49494949 6.50505051],0
n6,1,0.460309,0.545143,[52 39] ; [5 2],[52.92857143 38.07142857] ; [4.07142857 2.92857143],0
v1,1,0.470884,0.519902,[37 50] ; [2 5],[36.09574468 50.90425532] ; [2.90425532 4.09574468],0
u2,1,0.473964,0.51272,[19 10] ; [3 3],[18.22857143 10.77142857] ; [3.77142857 2.22857143],0
n1,1,0.599126,0.276316,[ 6 13] ; [1 1],[ 6.33333333 12.66666667] ; [0.66666667 1.33333333],0
s3,1,0.632959,0.22807,[47 43] ; [3 4],[46.39175258 43.60824742] ; [3.60824742 3.39175258],0
s4,1,0.675106,0.175688,[20 72] ; [2 5],[20.44444444 71.55555556] ; [1.55555556 5.44444444],0
s7,1,0.681703,0.168216,[36 50] ; [2 4],[35.52173913 50.47826087] ; [2.47826087 3.52173913],0
s6,1,0.711024,0.137256,[59 33] ; [4 3],[58.54545455 33.45454545] ; [4.45454545 2.54545455],0
b1,1,0.715577,0.13277,[46 46] ; [3 4],[45.53535354 46.46464646] ; [3.46464646 3.53535354],0
s5,1,0.735322,0.114281,[30 56] ; [2 5],[29.59139785 56.40860215] ; [2.40860215 4.59139785],0
p2,1,0.824337,0.049271,[75 16] ; [6 1],[75.21428571 15.78571429] ; [5.78571429 1.21428571],0
p8,1,0.842641,0.039409,[49 43] ; [4 3],[49.25252525 42.74747475] ; [3.74747475 3.25252525],0
b5,1,0.845764,0.03784,[56 36] ; [4 3],[55.75757576 36.24242424] ; [4.24242424 2.75757576],0
a6,1,0.890869,0.018825,[55 37] ; [4 3],[54.82828283 37.17171717] ; [4.17171717 2.82828283],0
v3,1,0.911246,0.012425,[26 59] ; [2 5],[25.86956522 59.13043478] ; [2.13043478 4.86956522],0
p6,1,0.919679,0.010168,[36 52] ; [3 4],[36.12631579 51.87368421] ; [2.87368421 4.12631579],0
n4,1,0.930138,0.007686,[41 51] ; [3 4],[40.88888889 51.11111111] ; [3.11111111 3.88888889],0
d4,1,0.94716,0.004392,[78 14] ; [6 1],[78.06060606 13.93939394] ; [5.93939394 1.06060606],0
d3,1,0.965294,0.001893,[65 27] ; [5 2],[65.05050505 26.94949495] ; [4.94949495 2.05050505],0
p7,1,1.0,0.0,[65 26] ; [5 2],[65. 26.] ; [5. 2.],0
