Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,2.9e-05,17.481394,[24  5] ; [20 37],[14.8372093 14.1627907] ; [29.1627907 27.8372093],1
s6,1,0.000237,13.512579,[17 14] ; [10 48],[ 9.40449438 21.59550562] ; [17.59550562 40.40449438],1
d5,1,0.000632,11.680649,[26  5] ; [27 31],[18.46067416 12.53932584] ; [34.53932584 23.46067416],1
p11,1,0.002347,9.256345,[20 11] ; [18 40],[13.23595506 17.76404494] ; [24.76404494 33.23595506],0
d1,1,0.00273,8.979569,[18 13] ; [15 43],[11.49438202 19.50561798] ; [21.50561798 36.49438202],0
d4,1,0.003133,8.728614,[26  4] ; [32 26],[19.77272727 10.22727273] ; [38.22727273 19.77272727],0
v3,1,0.003356,8.60292,[13 18] ; [ 8 49],[ 7.39772727 23.60227273] ; [13.60227273 43.39772727],0
s7,1,0.009218,6.780142,[13 16] ; [10 45],[ 7.94047619 21.05952381] ; [15.05952381 39.94047619],0
v4,1,0.011632,6.366044,[22  7] ; [27 30],[16.52325581 12.47674419] ; [32.47674419 24.52325581],0
u2,1,0.0173,5.665709,[5 1] ; [ 9 20],[2.4 3.6] ; [11.6 17.4],0
d3,1,0.020054,5.407169,[20 11] ; [22 35],[14.79545455 16.20454545] ; [27.20454545 29.79545455],0
a3,1,0.041225,4.166749,[23  8] ; [29 27],[18.52873563 12.47126437] ; [33.47126437 22.52873563],0
s2,1,0.053468,3.729235,[11 20] ; [10 48],[ 7.31460674 23.68539326] ; [13.68539326 44.31460674],0
s3,1,0.063608,3.440715,[15 15] ; [17 40],[11.03448276 18.96551724] ; [20.96551724 36.03448276],0
n1,1,0.066681,3.362891,[ 2 15] ; [11 19],[ 4.70212766 12.29787234] ; [ 8.29787234 21.70212766],0
p7,1,0.080876,3.047199,[11 20] ; [10 44],[ 7.65882353 23.34117647] ; [13.34117647 40.65882353],0
u3,1,0.0984,2.73129,[4 4] ; [ 6 23],[2.16216216 5.83783784] ; [ 7.83783784 21.16216216],0
n3,1,0.100255,2.701484,[11  5] ; [13 17],[8.34782609 7.65217391] ; [15.65217391 14.34782609],0
a7,1,0.100517,2.697318,[20 10] ; [28 30],[16.36363636 13.63636364] ; [31.63636364 26.36363636],0
n5,1,0.115364,2.479153,[15 15] ; [39 19],[18.40909091 11.59090909] ; [35.59090909 22.40909091],0
p2,1,0.128342,2.312447,[18 13] ; [23 33],[14.6091954 16.3908046] ; [26.3908046 29.6091954],0
s8,1,0.142667,2.148957,[ 6 25] ; [ 5 53],[ 3.83146067 27.16853933] ; [ 7.16853933 50.83146067],0
p6,1,0.143109,2.144202,[ 5 24] ; [ 4 53],[ 3.03488372 25.96511628] ; [ 5.96511628 51.03488372],0
s5,1,0.148692,2.085616,[ 7 22] ; [ 7 51],[ 4.66666667 24.33333333] ; [ 9.33333333 48.66666667],0
b5,1,0.184952,1.75738,[19 12] ; [27 31],[16.02247191 14.97752809] ; [29.97752809 28.02247191],0
p8,1,0.206203,1.597884,[ 3 27] ; [12 46],[ 5.11363636 24.88636364] ; [ 9.88636364 48.11363636],0
p3,1,0.223215,1.483579,[ 6 24] ; [ 6 51],[ 4.13793103 25.86206897] ; [ 7.86206897 49.13793103],0
n2,1,0.233698,1.41821,[11  6] ; [14 16],[9.04255319 7.95744681] ; [15.95744681 14.04255319],0
v1,1,0.242721,1.364721,[11 17] ; [15 41],[ 8.66666667 19.33333333] ; [17.33333333 38.66666667],0
b4,1,0.250575,1.320092,[22  9] ; [34 24],[19.50561798 11.49438202] ; [36.49438202 21.50561798],0
b1,1,0.300672,1.071213,[13 18] ; [31 27],[15.3258427 15.6741573] ; [28.6741573 29.3258427],0
d2,1,0.306492,1.045733,[15 15] ; [22 35],[12.75862069 17.24137931] ; [24.24137931 32.75862069],0
n6,1,0.327045,0.960562,[17 13] ; [26 31],[14.82758621 15.17241379] ; [28.17241379 28.82758621],0
r1,1,0.341595,0.904438,[11 20] ; [15 43],[ 9.05617978 21.94382022] ; [16.94382022 41.05617978],0
a2,1,0.429567,0.623993,[ 5 26] ; [ 6 52],[ 3.83146067 27.16853933] ; [ 7.16853933 50.83146067],0
a1,1,0.44218,0.590618,[ 3 28] ; [ 9 49],[ 4.17977528 26.82022472] ; [ 7.82022472 50.17977528],0
a6,1,0.456274,0.555019,[17 14] ; [27 31],[15.3258427 15.6741573] ; [28.6741573 29.3258427],0
a4,1,0.471305,0.518914,[11 20] ; [16 41],[ 9.51136364 21.48863636] ; [17.48863636 39.51136364],0
b2,1,0.499954,0.455033,[ 5 11] ; [14 20],[6.08 9.92] ; [12.92 21.08],0
b3,1,0.499954,0.455033,[ 5 11] ; [14 20],[6.08 9.92] ; [12.92 21.08],0
p9,1,0.541516,0.372738,[16 14] ; [26 30],[14.65116279 15.34883721] ; [27.34883721 28.65116279],0
a8,1,0.576646,0.311688,[ 3 25] ; [ 4 52],[ 2.33333333 25.66666667] ; [ 4.66666667 51.33333333],0
p10,1,0.584911,0.298362,[15 15] ; [25 32],[13.79310345 16.20689655] ; [26.20689655 30.79310345],0
n4,1,0.587495,0.294273,[20 11] ; [34 24],[18.80898876 12.19101124] ; [35.19101124 22.80898876],0
p5,1,0.649406,0.20665,[ 1 30] ; [ 3 53],[ 1.42528736 29.57471264] ; [ 2.57471264 53.42528736],0
p1,1,0.713198,0.135104,[ 3 28] ; [ 7 50],[ 3.52272727 27.47727273] ; [ 6.47727273 50.52272727],0
a5,1,0.748231,0.103023,[15 16] ; [26 32],[14.28089888 16.71910112] ; [26.71910112 31.28089888],0
u1,1,0.802826,0.062346,[ 2 29] ; [ 3 55],[ 1.74157303 29.25842697] ; [ 3.25842697 54.74157303],0
s1,1,0.868109,0.027576,[ 3 28] ; [ 5 53],[ 2.78651685 28.21348315] ; [ 5.21348315 52.78651685],0
s4,1,0.939796,0.005704,[ 5 26] ; [ 9 49],[ 4.87640449 26.12359551] ; [ 9.12359551 48.87640449],0
r2,1,0.990652,0.000137,[16 10] ; [35 22],[15.97590361 10.02409639] ; [35.02409639 21.97590361],0
