Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.002001,9.548611,[1 3] ; [35  5],[3.27272727 0.72727273] ; [32.72727273  7.27272727],0
n6,1,0.024582,5.053125,[1 3] ; [31  9],[2.90909091 1.09090909] ; [29.09090909 10.90909091],0
n4,1,0.036636,4.367246,[1 3] ; [30 10],[2.81818182 1.18181818] ; [28.18181818 11.81818182],0
a6,1,0.070247,3.277241,[1 3] ; [28 12],[2.63636364 1.36363636] ; [26.36363636 13.63636364],0
n5,1,0.070247,3.277241,[1 3] ; [28 12],[2.63636364 1.36363636] ; [26.36363636 13.63636364],0
p6,1,0.090211,2.870604,[2 2] ; [ 6 33],[0.74418605 3.25581395] ; [ 7.25581395 31.74418605],0
r4,1,0.225872,1.466667,[2 2] ; [31  9],[3. 1.] ; [30. 10.],0
d1,1,0.252069,1.311801,[1 3] ; [22 18],[2.09090909 1.90909091] ; [20.90909091 19.09090909],0
v4,1,0.2564,1.288092,[3 1] ; [36  3],[3.62790698 0.37209302] ; [35.37209302  3.62790698],0
b5,1,0.339856,0.910973,[1 3] ; [20 20],[1.90909091 2.09090909] ; [19.09090909 20.90909091],0
p11,1,0.347008,0.884367,[2 2] ; [29 11],[2.81818182 1.18181818] ; [28.18181818 11.81818182],0
a7,1,0.347008,0.884367,[2 2] ; [29 11],[2.81818182 1.18181818] ; [28.18181818 11.81818182],0
r3,1,0.367439,0.812308,[3 1] ; [36  4],[3.54545455 0.45454545] ; [35.45454545  4.54545455],0
d2,1,0.388861,0.7425,[1 3] ; [19 21],[1.81818182 2.18181818] ; [18.18181818 21.81818182],0
p4,1,0.441322,0.592842,[1 3] ; [18 22],[1.72727273 2.27272727] ; [17.27272727 22.72727273],0
s4,1,0.503178,0.448227,[1 3] ; [ 5 34],[0.55813953 3.44186047] ; [ 5.44186047 33.55813953],0
a8,1,0.519708,0.414474,[1 3] ; [ 5 33],[0.57142857 3.42857143] ; [ 5.42857143 32.57142857],0
d3,1,0.552098,0.353571,[2 2] ; [26 14],[2.54545455 1.45454545] ; [25.45454545 14.54545455],0
b1,1,0.620236,0.245536,[3 1] ; [25 15],[2.54545455 1.45454545] ; [25.45454545 14.54545455],0
s8,1,0.624458,0.239651,[2 2] ; [15 25],[1.54545455 2.45454545] ; [15.45454545 24.54545455],0
p7,1,0.638239,0.221053,[3 1] ; [24 14],[2.57142857 1.42857143] ; [24.42857143 13.57142857],0
v3,1,0.687469,0.161839,[1 3] ; [14 26],[1.36363636 2.63636364] ; [13.63636364 26.36363636],0
b4,1,0.687469,0.161839,[3 1] ; [26 14],[2.63636364 1.36363636] ; [26.36363636 13.63636364],0
s3,1,0.698127,0.150427,[2 2] ; [24 16],[2.36363636 1.63636364] ; [23.63636364 16.36363636],0
a3,1,0.758798,0.094286,[3 1] ; [27 13],[2.72727273 1.27272727] ; [27.27272727 12.72727273],0
s2,1,0.772783,0.083368,[2 2] ; [17 23],[1.72727273 2.27272727] ; [17.27272727 22.72727273],0
p3,1,0.810899,0.057249,[1 3] ; [12 27],[1.20930233 2.79069767] ; [11.79069767 27.20930233],0
a4,1,0.834464,0.043672,[1 3] ; [12 28],[1.18181818 2.81818182] ; [11.81818182 28.18181818],0
p2,1,0.834464,0.043672,[3 1] ; [28 12],[2.81818182 1.18181818] ; [28.18181818 11.81818182],0
p8,1,0.848145,0.036667,[2 2] ; [18 22],[1.81818182 2.18181818] ; [18.18181818 21.81818182],0
v2,1,0.883232,0.021572,[2 2] ; [18 21],[1.86046512 2.13953488] ; [18.13953488 20.86046512],0
d4,1,0.909429,0.012941,[3 1] ; [31  9],[3.09090909 0.90909091] ; [30.90909091  9.09090909],0
v1,1,0.914754,0.011458,[1 3] ; [11 29],[1.09090909 2.90909091] ; [10.90909091 29.09090909],0
s6,1,0.923961,0.00911,[2 2] ; [19 21],[1.90909091 2.09090909] ; [19.09090909 20.90909091],0
n1,1,1.0,0.0,[1 1] ; [5 5],[1. 1.] ; [5. 5.],0
