Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.000643,11.646679,[3 4] ; [70  8],[6.01176471 0.98823529] ; [66.98823529 11.01176471],1
r2,1,0.002246,9.336476,[3 4] ; [69 10],[5.86046512 1.13953488] ; [66.13953488 12.86046512],0
p9,1,0.007343,7.187166,[3 4] ; [65 12],[5.66666667 1.33333333] ; [62.33333333 14.66666667],0
d5,1,0.02768,4.847884,[2 5] ; [55 24],[4.63953488 2.36046512] ; [52.36046512 26.63953488],0
s1,1,0.029683,4.727537,[1 6] ; [ 1 77],[0.16470588 6.83529412] ; [ 1.83529412 76.16470588],0
a7,1,0.034287,4.480324,[2 5] ; [54 25],[4.55813953 2.44186047] ; [51.44186047 27.55813953],0
p10,1,0.048694,3.885876,[3 4] ; [60 18],[5.18823529 1.81176471] ; [57.81176471 20.18823529],0
v1,1,0.060588,3.521215,[1 6] ; [40 38],[3.37647059 3.62352941] ; [37.62352941 40.37647059],0
d4,1,0.087892,2.912573,[3 4] ; [58 21],[4.96511628 2.03488372] ; [56.03488372 22.96511628],0
d3,1,0.104117,2.641313,[2 5] ; [47 31],[4.03529412 2.96470588] ; [44.96470588 33.03529412],0
s6,1,0.113253,2.508232,[2 5] ; [47 32],[3.98837209 3.01162791] ; [45.01162791 33.98837209],0
p8,1,0.129281,2.301118,[1 5] ; [38 40],[2.78571429 3.21428571] ; [36.21428571 41.78571429],0
s7,1,0.200271,1.6404,[1 6] ; [29 46],[2.56097561 4.43902439] ; [27.43902439 47.56097561],0
p1,1,0.206616,1.594981,[1 6] ; [ 3 76],[0.3255814 6.6744186] ; [ 3.6744186 75.3255814],0
s8,1,0.210894,1.565278,[1 6] ; [30 49],[2.52325581 4.47674419] ; [28.47674419 50.52325581],0
d1,1,0.256441,1.28787,[1 6] ; [28 51],[2.36046512 4.63953488] ; [26.63953488 52.36046512],0
u2,1,0.257673,1.281218,[1 3] ; [16 13],[2.06060606 1.93939394] ; [14.93939394 14.06060606],0
n6,1,0.284432,1.145792,[4 3] ; [59 19],[5.18823529 1.81176471] ; [57.81176471 20.18823529],0
a3,1,0.286631,1.135378,[3 4] ; [50 29],[4.31395349 2.68604651] ; [48.68604651 30.31395349],0
u3,1,0.316079,1.005103,[1 3] ; [15 14],[1.93939394 2.06060606] ; [14.06060606 14.93939394],0
a4,1,0.337807,0.918737,[1 6] ; [25 54],[2.11627907 4.88372093] ; [23.88372093 55.11627907],0
a8,1,0.350751,0.870738,[1 6] ; [ 4 70],[0.43209877 6.56790123] ; [ 4.56790123 69.43209877],0
s4,1,0.357529,0.846555,[3 4] ; [21 58],[1.95348837 5.04651163] ; [22.04651163 56.95348837],0
p2,1,0.357529,0.846555,[4 3] ; [58 21],[5.04651163 1.95348837] ; [56.95348837 22.04651163],0
p7,1,0.41865,0.654101,[3 4] ; [44 31],[4.01219512 2.98780488] ; [42.98780488 32.01219512],0
u1,1,0.428368,0.627245,[1 6] ; [ 5 74],[0.48837209 6.51162791] ; [ 5.51162791 73.48837209],0
a5,1,0.431142,0.619745,[3 4] ; [46 33],[3.98837209 3.01162791] ; [45.01162791 33.98837209],0
b4,1,0.431142,0.619745,[3 4] ; [46 33],[3.98837209 3.01162791] ; [45.01162791 33.98837209],0
s2,1,0.441103,0.593411,[2 5] ; [34 44],[2.96470588 4.03529412] ; [33.03529412 44.96470588],0
p6,1,0.464611,0.534763,[1 6] ; [21 57],[1.81176471 5.18823529] ; [20.18823529 57.81176471],0
p3,1,0.54404,0.368104,[3 4] ; [25 54],[2.27906977 4.72093023] ; [25.72093023 53.27906977],0
s5,1,0.630484,0.231405,[1 6] ; [17 60],[1.5 5.5] ; [16.5 60.5],0
a6,1,0.64421,0.213278,[4 3] ; [52 27],[4.55813953 2.44186047] ; [51.44186047 27.55813953],0
n1,1,0.651325,0.204234,[1 2] ; [ 7 25],[0.68571429 2.31428571] ; [ 7.31428571 24.68571429],0
p4,1,0.790048,0.070888,[3 4] ; [38 41],[3.3372093 3.6627907] ; [37.6627907 41.3372093],0
s3,1,0.790048,0.070888,[3 4] ; [38 41],[3.3372093 3.6627907] ; [37.6627907 41.3372093],0
b5,1,0.799033,0.06482,[4 3] ; [49 30],[4.31395349 2.68604651] ; [48.68604651 30.31395349],0
n3,1,0.836664,0.042503,[2 1] ; [20 13],[1.83333333 1.16666667] ; [20.16666667 12.83333333],0
p11,1,0.849958,0.035786,[5 2] ; [59 20],[5.20930233 1.79069767] ; [58.79069767 20.20930233],0
d2,1,0.866608,0.028213,[2 5] ; [25 54],[2.19767442 4.80232558] ; [24.80232558 54.19767442],0
b1,1,0.99261,8.6e-05,[3 4] ; [34 45],[3.01162791 3.98837209] ; [33.98837209 45.01162791],0
