Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a2,1,0.000199,13.836296,[ 1 45] ; [14 31],[ 7.58241758 38.41758242] ; [ 7.41758242 37.58241758],1
a6,1,0.000741,11.383399,[15 31] ; [30 14],[23. 23.] ; [22. 22.],1
d3,1,0.000757,11.342651,[14 32] ; [29 15],[21.97777778 24.02222222] ; [21.02222222 22.97777778],1
u1,1,0.006559,7.389903,[ 1 45] ; [ 9 36],[ 5.05494505 40.94505495] ; [ 4.94505495 40.05494505],0
d5,1,0.022146,5.234248,[25 21] ; [34 10],[30.15555556 15.84444444] ; [28.84444444 15.15555556],0
b5,1,0.027061,4.886888,[19 27] ; [29 16],[24.26373626 21.73626374] ; [23.73626374 21.26373626],0
a3,1,0.035835,4.404921,[22 24] ; [30 13],[26.87640449 19.12359551] ; [25.12359551 17.87640449],0
d2,1,0.043858,4.062004,[18 27] ; [27 17],[22.75280899 22.24719101] ; [22.24719101 21.75280899],0
d1,1,0.046453,3.9651,[16 30] ; [25 20],[20.72527473 25.27472527] ; [20.27472527 24.72527473],0
b4,1,0.069402,3.297101,[22 24] ; [30 15],[26.28571429 19.71428571] ; [25.71428571 19.28571429],0
d4,1,0.084244,2.981066,[29 17] ; [35  9],[32.71111111 13.28888889] ; [31.28888889 12.71111111],0
p8,1,0.097934,2.738863,[10 36] ; [ 4 40],[ 7.15555556 38.84444444] ; [ 6.84444444 37.15555556],0
a8,1,0.105285,2.623602,[ 2 44] ; [ 6 36],[ 4.18181818 41.81818182] ; [ 3.81818182 38.18181818],0
a5,1,0.106994,2.598064,[23 23] ; [30 15],[26.79120879 19.20879121] ; [26.20879121 18.79120879],0
u2,1,0.126474,2.335258,[ 8 15] ; [9 6],[10.28947368 12.71052632] ; [6.71052632 8.28947368],0
p4,1,0.158557,1.987934,[14 32] ; [ 8 37],[11.12087912 34.87912088] ; [10.87912088 34.12087912],0
p3,1,0.158853,1.985107,[13 33] ; [ 7 37],[10.22222222 35.77777778] ; [ 9.77777778 34.22222222],0
s5,1,0.226114,1.465139,[ 9 35] ; [ 5 40],[ 6.92134831 37.07865169] ; [ 7.07865169 37.92134831],0
r1,1,0.235348,1.408248,[24 22] ; [29 16],[26.79120879 19.20879121] ; [26.20879121 18.79120879],0
b1,1,0.250143,1.322504,[29 17] ; [23 22],[26.28571429 19.71428571] ; [25.71428571 19.28571429],0
n2,1,0.279673,1.168681,[13  8] ; [10 12],[11.23255814  9.76744186] ; [11.76744186 10.23255814],0
p11,1,0.302701,1.062258,[18 28] ; [13 32],[15.67032967 30.32967033] ; [15.32967033 29.67032967],0
p5,1,0.32819,0.956028,[ 3 43] ; [ 1 43],[ 2.04444444 43.95555556] ; [ 1.95555556 42.04444444],0
a4,1,0.342748,0.900126,[17 28] ; [21 23],[19.21348315 25.78651685] ; [18.78651685 25.21348315],0
p9,1,0.373811,0.790957,[ 8 37] ; [11 32],[ 9.71590909 35.28409091] ; [ 9.28409091 33.71590909],0
u3,1,0.389177,0.741513,[11 13] ; [9 6],[12.30769231 11.69230769] ; [7.69230769 7.30769231],0
p6,1,0.391656,0.733796,[ 8 37] ; [ 5 39],[ 6.57303371 38.42696629] ; [ 6.42696629 37.57303371],0
v2,1,0.400167,0.707823,[12 32] ; [16 29],[13.84269663 30.15730337] ; [14.15730337 30.84269663],0
v4,1,0.423121,0.641631,[28 18] ; [31 14],[29.82417582 16.17582418] ; [29.17582418 15.82417582],0
b3,1,0.425692,0.634548,[13 17] ; [10 20],[11.5 18.5] ; [11.5 18.5],0
b2,1,0.425692,0.634548,[13 17] ; [10 20],[11.5 18.5] ; [11.5 18.5],0
n5,1,0.452033,0.56555,[24 22] ; [27 18],[25.78021978 20.21978022] ; [25.21978022 19.78021978],0
a1,1,0.47942,0.500183,[ 4 42] ; [ 6 39],[ 5.05494505 40.94505495] ; [ 4.94505495 40.05494505],0
s2,1,0.522139,0.409667,[14 32] ; [11 34],[12.63736264 33.36263736] ; [12.36263736 32.63736264],0
s6,1,0.523374,0.40724,[18 27] ; [21 24],[19.5 25.5] ; [19.5 25.5],0
s8,1,0.560786,0.338346,[ 8 37] ; [ 6 39],[ 7. 38.] ; [ 7. 38.],0
s7,1,0.651792,0.203648,[ 9 33] ; [11 32],[ 9.88235294 32.11764706] ; [10.11764706 32.88235294],0
n1,1,0.657848,0.196149,[10 11] ; [ 9 13],[ 9.27906977 11.72093023] ; [ 9.72093023 12.27906977],0
n6,1,0.691241,0.157745,[27 19] ; [24 20],[26.06666667 19.93333333] ; [24.93333333 19.06666667],0
r3,1,0.709522,0.138755,[30 16] ; [31 14],[30.83516484 15.16483516] ; [30.16483516 14.83516484],0
p7,1,0.710838,0.137442,[12 34] ; [10 34],[11.24444444 34.75555556] ; [10.75555556 33.24444444],0
v1,1,0.712779,0.135517,[13 33] ; [14 30],[13.8 32.2] ; [13.2 30.8],0
n4,1,0.730866,0.118318,[27 19] ; [28 17],[27.8021978 18.1978022] ; [27.1978022 17.8021978],0
r4,1,0.73658,0.113156,[26 20] ; [27 18],[26.79120879 19.20879121] ; [26.20879121 18.79120879],0
r2,1,0.748075,0.103156,[37  8] ; [35  9],[36.40449438  8.59550562] ; [35.59550562  8.40449438],0
n3,1,0.751529,0.100251,[ 9 10] ; [11 10],[9.5 9.5] ; [10.5 10.5],0
s4,1,0.934082,0.006841,[ 6 40] ; [ 6 38],[ 6.13333333 39.86666667] ; [ 5.86666667 38.13333333],0
s3,1,0.939745,0.005714,[15 30] ; [15 29],[15.16853933 29.83146067] ; [14.83146067 29.16853933],0
v3,1,0.944195,0.0049,[13 30] ; [13 31],[12.85057471 30.14942529] ; [13.14942529 30.85057471],0
s1,1,0.967409,0.001669,[ 6 40] ; [ 6 39],[ 6.06593407 39.93406593] ; [ 5.93406593 39.06593407],0
p1,1,0.977779,0.000776,[ 3 43] ; [ 3 42],[ 3.03296703 42.96703297] ; [ 2.96703297 42.03296703],0
u4,1,0.982066,0.000505,[ 2 44] ; [ 2 43],[ 2.02197802 43.97802198] ; [ 1.97802198 43.02197802],0
