Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.000114,14.894594,[59 14] ; [10 15],[51.39795918 21.60204082] ; [17.60204082  7.39795918],1
p7,1,0.006483,7.410848,[40 32] ; [ 6 19],[34.1443299 37.8556701] ; [11.8556701 13.1443299],0
p8,1,0.010332,6.576761,[36 37] ; [ 5 20],[30.54081633 42.45918367] ; [10.45918367 14.54081633],0
s2,1,0.011112,6.447363,[27 46] ; [16  8],[32.36082474 40.63917526] ; [10.63917526 13.36082474],0
a6,1,0.01679,5.718169,[49 24] ; [10 15],[43.94897959 29.05102041] ; [15.05102041  9.94897959],0
d3,1,0.019474,5.458448,[56 17] ; [13 12],[51.39795918 21.60204082] ; [17.60204082  7.39795918],0
p9,1,0.023342,5.14285,[57 16] ; [13 11],[52.68041237 20.31958763] ; [17.31958763  6.68041237],0
r3,1,0.097293,2.74937,[69  4] ; [21  4],[67.04081633  5.95918367] ; [22.95918367  2.04081633],0
s4,1,0.103127,2.656503,[10 63] ; [ 7 18],[12.66326531 60.33673469] ; [ 4.33673469 20.66326531],0
v4,1,0.106798,2.600973,[67  4] ; [21  4],[65.08333333  5.91666667] ; [22.91666667  2.08333333],0
u3,1,0.112162,2.523496,[15 10] ; [8 1],[16.91176471  8.08823529] ; [6.08823529 2.91176471],0
v2,1,0.115218,2.481154,[47 24] ; [11 12],[43.80851064 27.19148936] ; [14.19148936  8.80851064],0
p11,1,0.1234,2.373624,[53 20] ; [14 11],[49.90816327 23.09183673] ; [17.09183673  7.90816327],0
a4,1,0.129474,2.298804,[31 42] ; [15 10],[34.26530612 38.73469388] ; [11.73469388 13.26530612],0
p3,1,0.166142,1.917412,[33 40] ; [ 7 17],[30.10309278 42.89690722] ; [ 9.89690722 14.10309278],0
p10,1,0.182924,1.773706,[47 25] ; [12 12],[44.25 27.75] ; [14.75  9.25],0
u1,1,0.184885,1.757915,[10 63] ; [ 1 24],[ 8.19387755 64.80612245] ; [ 2.80612245 22.19387755],0
s3,1,0.22224,1.489849,[33 39] ; [15 10],[35.62886598 36.37113402] ; [12.37113402 12.62886598],0
s6,1,0.224174,1.477447,[42 30] ; [16  6],[44.42553191 27.57446809] ; [13.57446809  8.42553191],0
a5,1,0.237987,1.392479,[53 20] ; [15 10],[50.65306122 22.34693878] ; [17.34693878  7.65306122],0
n1,1,0.239639,1.382716,[ 5 13] ; [5 5],[ 6.42857143 11.57142857] ; [3.57142857 6.42857143],0
n4,1,0.247995,1.334561,[33 40] ; [ 8 17],[30.54081633 42.45918367] ; [10.45918367 14.54081633],0
p6,1,0.2502,1.322184,[23 46] ; [ 5 19],[20.77419355 48.22580645] ; [ 7.22580645 16.77419355],0
n6,1,0.252897,1.307228,[44 28] ; [12 13],[41.56701031 30.43298969] ; [14.43298969 10.56701031],0
r2,1,0.287939,1.129234,[65  6] ; [21  4],[63.60416667  7.39583333] ; [22.39583333  2.60416667],0
n2,1,0.318388,0.995556,[14  4] ; [6 4],[12.85714286  5.14285714] ; [7.14285714 2.85714286],0
d5,1,0.353513,0.860805,[59 14] ; [18  7],[57.35714286 15.64285714] ; [19.64285714  5.35714286],0
b4,1,0.39714,0.716969,[45 28] ; [13 12],[43.20408163 29.79591837] ; [14.79591837 10.20408163],0
u2,1,0.407016,0.6875,[17  7] ; [5 4],[16.  8.] ; [6. 3.],0
s1,1,0.416913,0.659002,[ 5 68] ; [ 3 22],[ 5.95918367 67.04081633] ; [ 2.04081633 22.95918367],0
p4,1,0.422128,0.644384,[33 40] ; [ 9 16],[31.28571429 41.71428571] ; [10.71428571 14.28571429],0
b5,1,0.438025,0.60145,[50 23] ; [15 10],[48.41836735 24.58163265] ; [16.58163265  8.41836735],0
n3,1,0.506984,0.440286,[13  5] ; [6 4],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
r1,1,0.53571,0.383548,[57 16] ; [18  7],[55.86734694 17.13265306] ; [19.13265306  5.86734694],0
b2,1,0.561117,0.337774,[16 23] ; [7 7],[16.9245283 22.0754717] ; [6.0754717 7.9245283],0
b3,1,0.561117,0.337774,[16 23] ; [7 7],[16.9245283 22.0754717] ; [6.0754717 7.9245283],0
d1,1,0.563886,0.333021,[37 36] ; [11 14],[35.75510204 37.24489796] ; [12.24489796 12.75510204],0
d4,1,0.564763,0.331524,[62 11] ; [20  5],[61.08163265 11.91836735] ; [20.91836735  4.08163265],0
r4,1,0.605645,0.266566,[59 14] ; [19  6],[58.10204082 14.89795918] ; [19.89795918  5.10204082],0
p12,1,0.626354,0.237037,[ 5 67] ; [ 1 23],[ 4.5 67.5] ; [ 1.5 22.5],0
a1,1,0.650044,0.205845,[ 4 69] ; [ 2 23],[ 4.46938776 68.53061224] ; [ 1.53061224 23.46938776],0
d2,1,0.788488,0.071971,[27 46] ; [10 15],[27.56122449 45.43877551] ; [ 9.43877551 15.56122449],0
s7,1,0.791628,0.0698,[30 41] ; [ 9 14],[29.45744681 41.54255319] ; [ 9.54255319 13.45744681],0
a2,1,0.836731,0.042468,[13 60] ; [ 4 21],[12.66326531 60.33673469] ; [ 4.33673469 20.66326531],0
a8,1,0.838486,0.041547,[ 6 58] ; [ 2 23],[ 5.75280899 58.24719101] ; [ 2.24719101 22.75280899],0
s5,1,0.839148,0.041202,[23 48] ; [ 6 14],[22.62637363 48.37362637] ; [ 6.37362637 13.62637363],0
a3,1,0.873696,0.02527,[48 25] ; [16  9],[47.67346939 25.32653061] ; [16.32653061  8.67346939],0
p1,1,0.903881,0.014583,[ 8 64] ; [ 3 22],[ 8.16494845 63.83505155] ; [ 2.83505155 22.16494845],0
v3,1,0.961915,0.00228,[27 43] ; [ 9 14],[27.09677419 42.90322581] ; [ 8.90322581 14.09677419],0
s8,1,0.963956,0.002042,[27 46] ; [ 9 15],[27.09278351 45.90721649] ; [ 8.90721649 15.09278351],0
b1,1,0.98073,0.000583,[29 44] ; [10 15],[29.05102041 43.94897959] ; [ 9.94897959 15.05102041],0
