Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1.4e-05,18.9,[12 44] ; [42 28],[24. 32.] ; [30. 40.],1
a4,1,0.000132,14.617624,[ 9 47] ; [34 36],[19.11111111 36.88888889] ; [23.88888889 46.11111111],1
a3,1,0.00016,14.245412,[23 33] ; [52 18],[33.33333333 22.66666667] ; [41.66666667 28.33333333],1
d5,1,0.000231,13.563323,[32 23] ; [61  9],[40.92 14.08] ; [52.08 17.92],1
d4,1,0.001441,10.152909,[33 23] ; [59 11],[40.88888889 15.11111111] ; [51.11111111 18.88888889],0
d2,1,0.002777,8.948276,[13 43] ; [34 35],[21.056 34.944] ; [25.944 43.056],0
s5,1,0.005763,7.623039,[10 44] ; [27 37],[16.93220339 37.06779661] ; [20.06779661 43.93220339],0
a6,1,0.006859,7.309563,[25 31] ; [48 22],[32.44444444 23.55555556] ; [40.55555556 29.44444444],0
p10,1,0.006876,7.305195,[38 17] ; [62  8],[44. 11.] ; [56. 14.],0
s2,1,0.054719,3.690618,[20 36] ; [37 33],[25.33333333 30.66666667] ; [31.66666667 38.33333333],0
s6,1,0.055877,3.655707,[27 27] ; [45 22],[32.1322314 21.8677686] ; [39.8677686 27.1322314],0
a1,1,0.060253,3.530403,[ 1 55] ; [ 7 63],[ 3.55555556 52.44444444] ; [ 4.44444444 65.55555556],0
p3,1,0.060613,3.520541,[21 35] ; [38 32],[26.22222222 29.77777778] ; [32.77777778 37.22222222],0
b3,1,0.120162,2.415212,[10 26] ; [18 22],[13.26315789 22.73684211] ; [14.73684211 25.26315789],0
b2,1,0.120162,2.415212,[10 26] ; [18 22],[13.26315789 22.73684211] ; [14.73684211 25.26315789],0
s8,1,0.134481,2.24,[16 40] ; [29 41],[20. 36.] ; [25. 45.],0
n1,1,0.151494,2.057143,[3 9] ; [12 12],[5. 7.] ; [10. 14.],0
u1,1,0.160581,1.96875,[ 1 55] ; [ 5 65],[ 2.66666667 53.33333333] ; [ 3.33333333 66.66666667],0
r2,1,0.170883,1.875178,[50  6] ; [66  3],[51.968  4.032] ; [64.032  4.968],0
