Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.6e-05,16.228797,[8 4] ; [ 4 35],[2.82352941 9.17647059] ; [ 9.17647059 29.82352941],1
p8,1,0.000774,11.302198,[6 6] ; [ 3 36],[2.11764706 9.88235294] ; [ 6.88235294 32.11764706],1
p10,1,0.001583,9.978963,[10  1] ; [14 24],[5.3877551 5.6122449] ; [18.6122449 19.3877551],0
s7,1,0.002066,9.489817,[6 4] ; [ 5 32],[2.34042553 7.65957447] ; [ 8.65957447 28.34042553],0
u3,1,0.002108,9.453125,[3 1] ; [ 1 15],[0.8 3.2] ; [ 3.2 12.8],0
p11,1,0.002335,9.265528,[10  2] ; [13 26],[5.41176471 6.58823529] ; [17.58823529 21.41176471],0
p7,1,0.002585,9.079121,[8 4] ; [ 8 31],[3.76470588 8.23529412] ; [12.23529412 26.76470588],0
p6,1,0.003422,8.56736,[6 6] ; [ 4 33],[2.44897959 9.55102041] ; [ 7.55102041 29.44897959],0
s6,1,0.004759,7.968925,[7 3] ; [ 9 30],[3.26530612 6.73469388] ; [12.73469388 26.26530612],0
p9,1,0.036045,4.394976,[9 2] ; [17 20],[5.95833333 5.04166667] ; [20.04166667 16.95833333],0
v2,1,0.047045,3.943767,[8 4] ; [13 25],[5.04 6.96] ; [15.96 22.04],0
p12,1,0.054068,3.710592,[2 9] ; [ 1 38],[ 0.66 10.34] ; [ 2.34 36.66],0
p2,1,0.069605,3.292322,[8 4] ; [14 24],[5.28 6.72] ; [16.72 21.28],0
r4,1,0.111772,2.528984,[6 6] ; [10 29],[3.76470588 8.23529412] ; [12.23529412 26.76470588],0
v1,1,0.125202,2.351006,[6 6] ; [10 28],[3.84 8.16] ; [12.16 25.84],0
a8,1,0.135963,2.223065,[4 7] ; [ 6 32],[2.24489796 8.75510204] ; [ 7.75510204 30.24489796],0
p4,1,0.161349,1.961538,[6 6] ; [11 28],[4. 8.] ; [13. 26.],0
a2,1,0.194327,1.684503,[3 9] ; [ 4 35],[ 1.64705882 10.35294118] ; [ 5.35294118 33.64705882],0
u2,1,0.196706,1.666667,[2 2] ; [ 3 13],[1. 3.] ; [ 4. 12.],0
d5,1,0.209304,1.576236,[10  2] ; [25 14],[8.23529412 3.76470588] ; [26.76470588 12.23529412],0
s3,1,0.222857,1.485877,[6 5] ; [13 25],[4.26530612 6.73469388] ; [14.73469388 23.26530612],0
r1,1,0.224197,1.477303,[7 5] ; [15 24],[5.17647059 6.82352941] ; [16.82352941 22.17647059],0
r2,1,0.239639,1.382716,[5 7] ; [22 14],[6.75 5.25] ; [20.25 15.75],0
n5,1,0.260625,1.265432,[11  1] ; [30  9],[9.64705882 2.35294118] ; [31.35294118  7.64705882],0
s5,1,0.264685,1.244085,[3 8] ; [ 5 33],[1.79591837 9.20408163] ; [ 6.20408163 31.79591837],0
d3,1,0.276014,1.18661,[4 8] ; [20 19],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
p3,1,0.28668,1.13515,[5 7] ; [10 29],[3.52941176 8.47058824] ; [11.47058824 27.52941176],0
d2,1,0.312552,1.01986,[8 4] ; [19 19],[6.48 5.52] ; [20.52 17.48],0
b4,1,0.315336,1.008192,[9 3] ; [23 16],[7.52941176 4.47058824] ; [24.47058824 14.52941176],0
n2,1,0.363722,0.825,[3 1] ; [9 9],[2.18181818 1.81818182] ; [9.81818182 8.18181818],0
a7,1,0.370896,0.800659,[7 5] ; [17 22],[5.64705882 6.35294118] ; [18.35294118 20.64705882],0
s2,1,0.37493,0.787258,[4 7] ; [ 9 30],[2.86 8.14] ; [10.14 28.86],0
b5,1,0.46049,0.544704,[7 5] ; [18 21],[5.88235294 6.11764706] ; [19.11764706 19.88235294],0
d4,1,0.483756,0.490385,[9 3] ; [25 14],[8. 4.] ; [26. 13.],0
a4,1,0.520159,0.413579,[5 7] ; [12 26],[4.08 7.92] ; [12.92 25.08],0
p5,1,0.546708,0.363248,[ 2 10] ; [ 4 35],[ 1.41176471 10.58823529] ; [ 4.58823529 34.41176471],0
b1,1,0.583067,0.301302,[6 6] ; [23 16],[6.82352941 5.17647059] ; [22.17647059 16.82352941],0
a5,1,0.633166,0.227792,[8 4] ; [23 16],[7.29411765 4.70588235] ; [23.70588235 15.29411765],0
p1,1,0.673105,0.177991,[ 1 11] ; [ 5 34],[ 1.41176471 10.58823529] ; [ 4.58823529 34.41176471],0
u1,1,0.67987,0.170272,[ 1 11] ; [ 2 37],[ 0.70588235 11.29411765] ; [ 2.29411765 36.70588235],0
a3,1,0.702436,0.145951,[8 4] ; [23 15],[7.44 4.56] ; [23.56 14.44],0
s4,1,0.844686,0.038378,[ 1 11] ; [ 4 35],[ 1.17647059 10.82352941] ; [ 3.82352941 35.17647059],0
s1,1,0.844686,0.038378,[ 1 11] ; [ 4 35],[ 1.17647059 10.82352941] ; [ 3.82352941 35.17647059],0
d1,1,0.906366,0.013835,[5 7] ; [17 22],[5.17647059 6.82352941] ; [16.82352941 22.17647059],0
a6,1,0.938076,0.006036,[6 6] ; [20 19],[6.11764706 5.88235294] ; [19.88235294 19.11764706],0
b2,1,0.96749,0.001661,[4 6] ; [11 16],[4.05405405 5.94594595] ; [10.94594595 16.05405405],0
b3,1,0.96749,0.001661,[4 6] ; [11 16],[4.05405405 5.94594595] ; [10.94594595 16.05405405],0
n1,1,1.0,0.0,[2 2] ; [9 9],[2. 2.] ; [9. 9.],0
