Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d4,1,0.008791,6.864882,[13  5] ; [12 23],[8.49056604 9.50943396] ; [16.50943396 18.49056604],0
s7,1,0.018802,5.519822,[ 7 10] ; [ 4 29],[ 3.74 13.26] ; [ 7.26 25.74],0
s8,1,0.020137,5.4,[ 6 12] ; [ 3 33],[ 3. 15.] ; [ 6. 30.],0
r3,1,0.022666,5.193959,[16  2] ; [21 15],[12.33333333  5.66666667] ; [24.66666667 11.33333333],0
u2,1,0.030191,4.698355,[7 1] ; [ 8 11],[4.44444444 3.55555556] ; [10.55555556  8.44444444],0
s5,1,0.059264,3.557861,[ 4 13] ; [ 2 33],[ 1.96153846 15.03846154] ; [ 4.03846154 30.96153846],0
s6,1,0.075656,3.155844,[10  8] ; [11 25],[ 7. 11.] ; [14. 22.],0
v4,1,0.106985,2.598201,[14  3] ; [21 14],[11.44230769  5.55769231] ; [23.55769231 11.44230769],0
p6,1,0.133287,2.253796,[ 5 13] ; [ 4 31],[ 3.05660377 14.94339623] ; [ 5.94339623 29.05660377],0
p10,1,0.144829,2.125889,[11  7] ; [14 21],[8.49056604 9.50943396] ; [16.50943396 18.49056604],0
d3,1,0.163063,1.945588,[9 9] ; [11 25],[ 6.66666667 11.33333333] ; [13.33333333 22.66666667],0
a8,1,0.163373,1.942722,[ 4 13] ; [ 3 30],[ 2.38 14.62] ; [ 4.62 28.38],0
r4,1,0.17674,1.824828,[12  6] ; [17 19],[9.66666667 8.33333333] ; [19.33333333 16.66666667],0
r1,1,0.17674,1.824828,[12  6] ; [17 19],[9.66666667 8.33333333] ; [19.33333333 16.66666667],0
b5,1,0.17674,1.824828,[12  6] ; [17 19],[9.66666667 8.33333333] ; [19.33333333 16.66666667],0
b3,1,0.191695,1.704545,[2 9] ; [ 9 13],[3.66666667 7.33333333] ; [ 7.33333333 14.66666667],0
b2,1,0.191695,1.704545,[2 9] ; [ 9 13],[3.66666667 7.33333333] ; [ 7.33333333 14.66666667],0
a4,1,0.197396,1.661538,[ 3 15] ; [12 24],[ 5. 13.] ; [10. 26.],0
p4,1,0.219815,1.505578,[ 7 11] ; [ 8 27],[ 5.09433962 12.90566038] ; [ 9.90566038 25.09433962],0
p8,1,0.219815,1.505578,[ 7 11] ; [ 8 27],[ 5.09433962 12.90566038] ; [ 9.90566038 25.09433962],0
a5,1,0.236289,1.402597,[9 9] ; [12 24],[ 7. 11.] ; [14. 22.],0
r2,1,0.236689,1.400206,[14  3] ; [24 12],[12.18867925  4.81132075] ; [25.81132075 10.18867925],0
p3,1,0.292039,1.110197,[ 7 11] ; [ 9 27],[ 5.33333333 12.66666667] ; [10.66666667 25.33333333],0
v1,1,0.313699,1.015038,[ 8 10] ; [11 25],[ 6.33333333 11.66666667] ; [12.66666667 23.33333333],0
u3,1,0.33281,0.937934,[5 3] ; [ 8 11],[3.85185185 4.14814815] ; [9.14814815 9.85185185],0
p9,1,0.386324,0.750482,[12  6] ; [19 16],[10.52830189  7.47169811] ; [20.47169811 14.52830189],0
v2,1,0.425896,0.633988,[ 5 13] ; [ 6 27],[ 3.88235294 14.11764706] ; [ 7.11764706 25.88235294],0
d2,1,0.487453,0.482143,[ 3 15] ; [ 9 27],[ 4. 14.] ; [ 8. 28.],0
n5,1,0.497315,0.460661,[ 8 10] ; [19 16],[9.16981132 8.83018868] ; [17.83018868 17.16981132],0
a1,1,0.506729,0.440816,[ 1 17] ; [ 4 32],[ 1.66666667 16.33333333] ; [ 3.33333333 32.66666667],0
p1,1,0.506729,0.440816,[ 1 17] ; [ 4 32],[ 1.66666667 16.33333333] ; [ 3.33333333 32.66666667],0
v3,1,0.521692,0.410547,[ 5 13] ; [ 7 28],[ 4.0754717 13.9245283] ; [ 7.9245283 27.0754717],0
p7,1,0.551764,0.354167,[9 8] ; [15 19],[8. 9.] ; [16. 18.],0
n3,1,0.626928,0.23625,[4 1] ; [11  5],[3.57142857 1.42857143] ; [11.42857143  4.57142857],0
a3,1,0.630039,0.232008,[10  8] ; [17 18],[9.16981132 8.83018868] ; [17.83018868 17.16981132],0
n2,1,0.677856,0.172549,[4 1] ; [12  5],[3.63636364 1.36363636] ; [12.36363636  4.63636364],0
a7,1,0.695299,0.153409,[ 8 10] ; [14 22],[ 7.33333333 10.66666667] ; [14.66666667 21.33333333],0
a6,1,0.697132,0.151473,[ 7 11] ; [16 20],[ 7.66666667 10.33333333] ; [15.33333333 20.66666667],0
b4,1,0.699526,0.148966,[9 9] ; [16 20],[8.33333333 9.66666667] ; [16.66666667 19.33333333],0
b1,1,0.700116,0.148352,[10  8] ; [18 18],[9.33333333 8.66666667] ; [18.66666667 17.33333333],0
p11,1,0.700116,0.148352,[10  8] ; [18 18],[9.33333333 8.66666667] ; [18.66666667 17.33333333],0
s1,1,0.713303,0.135,[ 1 17] ; [ 3 33],[ 1.33333333 16.66666667] ; [ 2.66666667 33.33333333],0
n1,1,0.780512,0.077647,[2 3] ; [8 9],[2.27272727 2.72727273] ; [7.72727273 9.27272727],0
s4,1,0.786492,0.07337,[ 3 15] ; [ 5 31],[ 2.66666667 15.33333333] ; [ 5.33333333 30.66666667],0
n4,1,0.846974,0.037241,[ 8 10] ; [17 19],[8.33333333 9.66666667] ; [16.66666667 19.33333333],0
p2,1,1.0,0.0,[10  8] ; [20 16],[10.  8.] ; [20. 16.],0
d1,1,1.0,0.0,[ 1 17] ; [ 2 34],[ 1. 17.] ; [ 2. 34.],0
a2,1,1.0,0.0,[ 1 17] ; [ 2 34],[ 1. 17.] ; [ 2. 34.],0
