Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,41.899237,[ 1 10] ; [105  14],[8.96923077 2.03076923] ; [97.03076923 21.96923077],1
v4,1,1e-06,23.675609,[6 5] ; [112   5],[10.140625  0.859375] ; [107.859375   9.140625],1
r2,1,0.000507,12.091002,[6 5] ; [107  11],[9.63565891 1.36434109] ; [103.36434109  14.63565891],1
s6,1,0.002365,9.241869,[2 9] ; [76 41],[6.703125 4.296875] ; [71.296875 45.703125],0
s2,1,0.013237,6.137205,[ 1 10] ; [57 62],[4.90769231 6.09230769] ; [53.09230769 65.90769231],0
s3,1,0.023695,5.116852,[2 9] ; [63 54],[5.5859375 5.4140625] ; [59.4140625 57.5859375],0
a6,1,0.028237,4.813556,[3 8] ; [73 46],[6.43076923 4.56923077] ; [69.56923077 49.43076923],0
v2,1,0.028991,4.768159,[2 9] ; [59 53],[5.45528455 5.54471545] ; [55.54471545 56.45528455],0
b1,1,0.037925,4.308397,[8 3] ; [48 71],[4.73846154 6.26153846] ; [51.26153846 67.73846154],0
p11,1,0.045085,4.015473,[5 6] ; [88 31],[7.86923077 3.13076923] ; [85.13076923 33.86923077],0
p5,1,0.05961,3.548194,[2 8] ; [  6 113],[0.62015504 9.37984496] ; [  7.37984496 111.62015504],0
r1,1,0.063345,3.447561,[5 6] ; [86 33],[7.7 3.3] ; [83.3 35.7],0
n1,1,0.08883,2.895455,[3 3] ; [ 6 27],[1.38461538 4.61538462] ; [ 7.61538462 25.38461538],0
a7,1,0.090033,2.87378,[5 6] ; [83 35],[7.50387597 3.49612403] ; [80.49612403 37.50387597],0
n6,1,0.108341,2.578259,[5 6] ; [81 36],[7.390625 3.609375] ; [78.609375 38.390625],0
p9,1,0.109909,2.555535,[6 5] ; [91 28],[8.20769231 2.79230769] ; [88.79230769 30.20769231],0
d1,1,0.111074,2.53888,[2 9] ; [51 68],[4.48461538 6.51538462] ; [48.51538462 70.48461538],0
d5,1,0.152547,2.046594,[5 6] ; [79 39],[7.1627907 3.8372093] ; [76.8372093 41.1627907],0
b4,1,0.166795,1.91152,[4 7] ; [69 50],[6.17692308 4.82307692] ; [66.82307692 52.17692308],0
a3,1,0.172228,1.863444,[9 2] ; [72 46],[6.90697674 4.09302326] ; [74.09302326 43.90697674],0
s1,1,0.227349,1.457371,[ 1 10] ; [  3 116],[ 0.33846154 10.66153846] ; [  3.66153846 115.33846154],0
b5,1,0.251779,1.313407,[5 6] ; [75 44],[6.76923077 4.23076923] ; [73.23076923 45.76923077],0
n3,1,0.268244,1.225702,[4 2] ; [29  5],[4.95 1.05] ; [28.05  5.95],0
p2,1,0.346113,0.887656,[8 3] ; [99 19],[9.12403101 1.87596899] ; [97.87596899 20.12403101],0
d4,1,0.353416,0.861154,[7 4] ; [90 28],[8.27131783 2.72868217] ; [88.72868217 29.27131783],0
v1,1,0.41224,0.672332,[6 5] ; [48 67],[4.71428571 6.28571429] ; [49.28571429 65.71428571],0
d3,1,0.454318,0.559857,[6 5] ; [77 40],[7.1328125 3.8671875] ; [75.8671875 41.1328125],0
p12,1,0.459648,0.546752,[ 1 10] ; [  5 114],[ 0.50769231 10.49230769] ; [  5.49230769 113.50769231],0
p6,1,0.484105,0.489602,[3 8] ; [44 72],[4.07086614 6.92913386] ; [42.92913386 73.07086614],0
d2,1,0.488189,0.480515,[3 8] ; [45 74],[4.06153846 6.93846154] ; [43.93846154 75.06153846],0
p10,1,0.501742,0.451249,[7 4] ; [87 32],[7.95384615 3.04615385] ; [86.04615385 32.95384615],0
v3,1,0.507446,0.43933,[2 9] ; [31 82],[2.92741935 8.07258065] ; [30.07258065 82.92741935],0
a5,1,0.539994,0.37555,[6 5] ; [76 43],[6.93846154 4.06153846] ; [75.06153846 43.93846154],0
n5,1,0.554162,0.349913,[5 6] ; [43 75],[4.09302326 6.90697674] ; [43.90697674 74.09302326],0
s4,1,0.566161,0.329149,[2 9] ; [31 88],[2.79230769 8.20769231] ; [30.20769231 88.79230769],0
a2,1,0.681924,0.167968,[ 1 10] ; [ 16 103],[1.43846154 9.56153846] ; [ 15.56153846 103.43846154],0
n2,1,0.72852,0.120475,[4 2] ; [25  9],[4.35 1.65] ; [24.65  9.35],0
p4,1,0.755965,0.096587,[7 4] ; [70 49],[6.51538462 4.48461538] ; [70.48461538 48.51538462],0
s7,1,0.793477,0.068538,[3 6] ; [43 71],[3.36585366 5.63414634] ; [42.63414634 71.36585366],0
p3,1,0.83478,0.043504,[5 6] ; [58 61],[5.33076923 5.66923077] ; [57.66923077 61.33076923],0
u1,1,0.851127,0.035224,[ 1 10] ; [ 13 106],[1.18461538 9.81538462] ; [ 12.81538462 106.18461538],0
a4,1,0.853677,0.034014,[4 7] ; [40 79],[3.72307692 7.27692308] ; [40.27692308 78.72307692],0
b3,1,0.934965,0.006659,[2 5] ; [16 43],[1.90909091 5.09090909] ; [16.09090909 42.90909091],0
b2,1,0.934965,0.006659,[2 5] ; [16 43],[1.90909091 5.09090909] ; [16.09090909 42.90909091],0
p8,1,0.942102,0.005275,[6 4] ; [70 49],[5.89147287 4.10852713] ; [70.10852713 48.89147287],0
