Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,8e-06,20.061026,[32 11] ; [ 6 23],[22.69444444 20.30555556] ; [15.30555556 13.69444444],1
p9,1,0.003552,8.499674,[38  5] ; [17 12],[32.84722222 10.15277778] ; [22.15277778  6.84722222],0
b1,1,0.005894,7.582466,[25 19] ; [ 7 22],[19.28767123 24.71232877] ; [12.71232877 16.28767123],0
u3,1,0.007832,7.071429,[10  1] ; [4 7],[7. 4.] ; [7. 4.],0
n4,1,0.010627,6.526711,[34 10] ; [14 15],[28.93150685 15.06849315] ; [19.06849315  9.93150685],0
d1,1,0.01876,5.523759,[29 15] ; [11 18],[24.10958904 19.89041096] ; [15.89041096 13.10958904],0
d5,1,0.020776,5.345485,[35  7] ; [17 12],[30.76056338 11.23943662] ; [21.23943662  7.76056338],0
r2,1,0.022694,5.191739,[43  1] ; [24  5],[40.38356164  3.61643836] ; [26.61643836  2.38356164],0
a5,1,0.026368,4.931739,[35  9] ; [16 13],[30.73972603 13.26027397] ; [20.26027397  8.73972603],0
s6,1,0.036945,4.352964,[40  4] ; [21  8],[36.76712329  7.23287671] ; [24.23287671  4.76712329],0
v4,1,0.056541,3.636034,[43  1] ; [25  4],[40.98630137  3.01369863] ; [27.01369863  1.98630137],0
r1,1,0.059869,3.541,[36  8] ; [18 11],[32.54794521 11.45205479] ; [21.45205479  7.54794521],0
d2,1,0.060276,3.529788,[24 18] ; [10 19],[20.11267606 21.88732394] ; [13.88732394 15.11267606],0
n5,1,0.066694,3.362564,[32 12] ; [15 14],[28.32876712 15.67123288] ; [18.67123288 10.32876712],0
b3,1,0.076967,3.127802,[15 20] ; [ 2 11],[12.39583333 22.60416667] ; [4.60416667 8.39583333],0
b2,1,0.076967,3.127802,[15 20] ; [ 2 11],[12.39583333 22.60416667] ; [4.60416667 8.39583333],0
s3,1,0.086143,2.945011,[39  4] ; [22  7],[36.43055556  6.56944444] ; [24.56944444  4.43055556],0
u2,1,0.086768,2.933333,[8 3] ; [4 7],[6. 5.] ; [6. 5.],0
p6,1,0.087375,2.922078,[18 26] ; [ 6 22],[14.66666667 29.33333333] ; [ 9.33333333 18.66666667],0
p10,1,0.089228,2.88824,[34 10] ; [17 12],[30.73972603 13.26027397] ; [20.26027397  8.73972603],0
v3,1,0.095789,2.774284,[18 21] ; [ 7 20],[14.77272727 24.22727273] ; [10.22727273 16.77272727],0
u1,1,0.119642,2.422007,[11 33] ; [ 3 26],[ 8.43835616 35.56164384] ; [ 5.56164384 23.43835616],0
a2,1,0.119642,2.422007,[11 33] ; [ 3 26],[ 8.43835616 35.56164384] ; [ 5.56164384 23.43835616],0
a6,1,0.121229,2.401374,[28 14] ; [14 15],[24.84507042 17.15492958] ; [17.15492958 11.84507042],0
r4,1,0.158436,1.989093,[40  4] ; [23  6],[37.97260274  6.02739726] ; [25.02739726  3.97260274],0
s1,1,0.159925,1.974939,[ 6 38] ; [ 1 27],[ 4.27777778 39.72222222] ; [ 2.72222222 25.27777778],0
p8,1,0.160262,1.971755,[10 34] ; [11 18],[12.65753425 31.34246575] ; [ 8.34246575 20.65753425],0
a3,1,0.238712,1.388185,[33 11] ; [18 11],[30.73972603 13.26027397] ; [20.26027397  8.73972603],0
n6,1,0.296881,1.08815,[33 10] ; [19 10],[31.05555556 11.94444444] ; [20.94444444  8.05555556],0
a4,1,0.310659,1.027874,[22 22] ; [11 18],[19.89041096 24.10958904] ; [13.10958904 15.89041096],0
a1,1,0.337103,0.921418,[ 2 42] ; [ 3 26],[ 3.01369863 40.98630137] ; [ 1.98630137 27.01369863],0
b5,1,0.337439,0.920136,[32 12] ; [18 11],[30.1369863 13.8630137] ; [19.8630137  9.1369863],0
a8,1,0.350044,0.873296,[ 6 37] ; [ 2 27],[ 4.77777778 38.22222222] ; [ 3.22222222 25.77777778],0
s5,1,0.428098,0.627979,[18 23] ; [10 19],[16.4 24.6] ; [11.6 17.4],0
a7,1,0.469581,0.522961,[28 16] ; [16 13],[26.52054795 17.47945205] ; [17.47945205 11.52054795],0
s4,1,0.523113,0.407751,[12 32] ; [ 6 23],[10.84931507 33.15068493] ; [ 7.15068493 21.84931507],0
p1,1,0.52589,0.402328,[ 5 39] ; [ 2 27],[ 4.21917808 39.78082192] ; [ 2.78082192 26.21917808],0
p12,1,0.52589,0.402328,[ 5 39] ; [ 2 27],[ 4.21917808 39.78082192] ; [ 2.78082192 26.21917808],0
v1,1,0.570526,0.321804,[26 16] ; [16 13],[24.84507042 17.15492958] ; [17.15492958 11.84507042],0
d3,1,0.570526,0.321804,[26 16] ; [16 13],[24.84507042 17.15492958] ; [17.15492958 11.84507042],0
b4,1,0.598819,0.276781,[27 17] ; [16 13],[25.91780822 18.08219178] ; [17.08219178 11.91780822],0
p7,1,0.621489,0.243781,[21 22] ; [12 16],[19.98591549 23.01408451] ; [13.01408451 14.98591549],0
p11,1,0.656788,0.197449,[31 13] ; [19 10],[30.1369863 13.8630137] ; [19.8630137  9.1369863],0
v2,1,0.656791,0.197445,[25 15] ; [16 12],[24.11764706 15.88235294] ; [16.88235294 11.11764706],0
r3,1,0.6658,0.186554,[42  2] ; [27  2],[41.5890411  2.4109589] ; [27.4109589  1.5890411],0
n3,1,0.679109,0.171131,[10  6] ; [5 2],[10.43478261  5.56521739] ; [4.56521739 2.43478261],0
p4,1,0.738815,0.111171,[18 25] ; [11 18],[17.31944444 25.68055556] ; [11.68055556 17.31944444],0
p3,1,0.791758,0.069711,[15 28] ; [11 18],[15.52777778 27.47222222] ; [10.47222222 18.52777778],0
n1,1,0.867258,0.027937,[7 8] ; [3 4],[6.81818182 8.18181818] ; [3.18181818 3.81818182],0
d4,1,0.940236,0.005621,[33  9] ; [23  6],[33.12676056  8.87323944] ; [22.87323944  6.12676056],0
