Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.73166,[ 1 33] ; [15 10],[ 9.22033898 24.77966102] ; [ 6.77966102 18.22033898],1
s7,1,0.001242,10.426675,[ 3 29] ; [11 12],[ 8.14545455 23.85454545] ; [ 5.85454545 17.14545455],0
s8,1,0.005466,7.718486,[ 1 33] ; [ 7 18],[ 4.61016949 29.38983051] ; [ 3.38983051 21.61016949],0
d4,1,0.005562,7.68694,[15 19] ; [20  5],[20.16949153 13.83050847] ; [14.83050847 10.16949153],0
p7,1,0.014526,5.973093,[11 23] ; [15  8],[15.50877193 18.49122807] ; [10.49122807 12.50877193],0
p3,1,0.018176,5.579151,[ 2 31] ; [ 7 17],[ 5.21052632 27.78947368] ; [ 3.78947368 20.21052632],0
p8,1,0.018515,5.546796,[ 4 29] ; [ 9 14],[ 7.66071429 25.33928571] ; [ 5.33928571 17.66071429],0
s6,1,0.025966,4.958283,[ 7 27] ; [12 13],[10.94915254 23.05084746] ; [ 8.05084746 16.94915254],0
r3,1,0.034542,4.467674,[11 23] ; [15 10],[14.98305085 19.01694915] ; [11.01694915 13.98305085],0
u2,1,0.053005,3.743768,[ 6 10] ; [7 2],[8.32 7.68] ; [4.68 4.32],0
d3,1,0.063449,3.444848,[13 20] ; [16  9],[16.5 16.5] ; [12.5 12.5],0
p4,1,0.066138,3.376372,[ 5 28] ; [ 9 16],[ 7.96551724 25.03448276] ; [ 6.03448276 18.96551724],0
s1,1,0.075118,3.16749,[ 1 33] ; [ 4 21],[ 2.88135593 31.11864407] ; [ 2.11864407 22.88135593],0
b2,1,0.087857,2.913201,[ 8 10] ; [ 3 14],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
b3,1,0.087857,2.913201,[ 8 10] ; [ 3 14],[ 5.65714286 12.34285714] ; [ 5.34285714 11.65714286],0
p11,1,0.087871,2.912946,[ 9 25] ; [12 13],[12.10169492 21.89830508] ; [ 8.89830508 16.10169492],0
d1,1,0.087871,2.912946,[ 9 25] ; [12 13],[12.10169492 21.89830508] ; [ 8.89830508 16.10169492],0
n2,1,0.092111,2.837088,[ 7 10] ; [10  4],[9.32258065 7.67741935] ; [7.67741935 6.32258065],0
p10,1,0.102542,2.665552,[11 21] ; [14 11],[14.03508772 17.96491228] ; [10.96491228 14.03508772],0
a2,1,0.109187,2.565947,[ 6 28] ; [ 1 24],[ 4.03389831 29.96610169] ; [ 2.96610169 22.03389831],0
s4,1,0.11359,2.503556,[ 4 30] ; [ 7 18],[ 6.33898305 27.66101695] ; [ 4.66101695 20.33898305],0
a8,1,0.157087,2.002042,[ 1 33] ; [ 3 21],[ 2.34482759 31.65517241] ; [ 1.65517241 22.34482759],0
v4,1,0.167644,1.903887,[15 19] ; [15  9],[17.5862069 16.4137931] ; [12.4137931 11.5862069],0
p9,1,0.184927,1.757576,[14 19] ; [15 10],[16.5 16.5] ; [12.5 12.5],0
r1,1,0.188237,1.731359,[ 7 27] ; [ 9 16],[ 9.22033898 24.77966102] ; [ 6.77966102 18.22033898],0
s5,1,0.188768,1.727206,[ 4 30] ; [ 6 18],[ 5.86206897 28.13793103] ; [ 4.13793103 19.86206897],0
p6,1,0.226792,1.46087,[ 4 28] ; [ 6 18],[ 5.71428571 26.28571429] ; [ 4.28571429 19.71428571],0
p2,1,0.273637,1.198425,[12 20] ; [13 12],[14.03508772 17.96491228] ; [10.96491228 14.03508772],0
u3,1,0.317113,1.000817,[ 4 12] ; [4 5],[ 5.12 10.88] ; [2.88 6.12],0
a6,1,0.325278,0.967606,[16 18] ; [15 10],[17.86440678 16.13559322] ; [13.13559322 11.86440678],0
v3,1,0.384933,0.754888,[ 7 27] ; [ 3 22],[ 5.76271186 28.23728814] ; [ 4.23728814 20.76271186],0
d5,1,0.395634,0.721556,[18 16] ; [16  9],[19.59322034 14.40677966] ; [14.40677966 10.59322034],0
r2,1,0.424514,0.637785,[18 15] ; [15  8],[19.44642857 13.55357143] ; [13.55357143  9.44642857],0
n1,1,0.436198,0.606264,[ 5 12] ; [6 8],[ 6.03225806 10.96774194] ; [4.96774194 9.03225806],0
d2,1,0.45323,0.562562,[13 21] ; [12 13],[14.40677966 19.59322034] ; [10.59322034 14.40677966],0
v1,1,0.46729,0.528377,[11 23] ; [10 14],[12.31034483 21.68965517] ; [ 8.68965517 15.31034483],0
a3,1,0.469068,0.524171,[18 15] ; [16  9],[19.34482759 13.65517241] ; [14.65517241 10.34482759],0
b5,1,0.497236,0.46083,[16 18] ; [14 11],[17.28813559 16.71186441] ; [12.71186441 12.28813559],0
v2,1,0.647096,0.209581,[10 23] ; [ 9 16],[10.81034483 22.18965517] ; [ 8.18965517 16.81034483],0
a5,1,0.767396,0.087488,[15 19] ; [12 13],[15.55932203 18.44067797] ; [11.44067797 13.55932203],0
a4,1,0.769953,0.085519,[11 23] ; [ 9 16],[11.52542373 22.47457627] ; [ 8.47457627 16.52542373],0
p5,1,0.771378,0.084433,[ 2 32] ; [ 1 23],[ 1.75862069 32.24137931] ; [ 1.24137931 22.75862069],0
n3,1,0.815032,0.054728,[8 9] ; [6 8],[7.67741935 9.32258065] ; [6.32258065 7.67741935],0
a7,1,0.815729,0.054308,[18 16] ; [14 11],[18.44067797 15.55932203] ; [13.55932203 11.44067797],0
n4,1,0.879308,0.023057,[17 17] ; [12 13],[16.71186441 17.28813559] ; [12.28813559 12.71186441],0
a1,1,0.891334,0.018664,[ 5 29] ; [ 4 21],[ 5.18644068 28.81355932] ; [ 3.81355932 21.18644068],0
p1,1,0.910636,0.012597,[ 3 31] ; [ 2 23],[ 2.88135593 31.11864407] ; [ 2.11864407 22.88135593],0
b4,1,0.942968,0.005118,[16 18] ; [12 13],[16.13559322 17.86440678] ; [11.86440678 13.13559322],0
n5,1,0.942968,0.005118,[18 16] ; [13 12],[17.86440678 16.13559322] ; [13.13559322 11.86440678],0
b1,1,0.955375,0.003131,[22 12] ; [16  9],[21.89830508 12.10169492] ; [16.10169492  8.89830508],0
