Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,3.7e-05,17.012705,[249  31] ; [90 34],[234.95049505  45.04950495] ; [104.04950495  19.95049505],1
s2,1,4.1e-05,16.805409,[226  57] ; [77 50],[209.14390244  73.85609756] ; [93.85609756 33.14390244],1
v1,1,0.000156,14.298652,[177  99] ; [55 70],[159.680798 116.319202] ; [72.319202 52.680798],1
s3,1,0.000513,12.069179,[227  54] ; [81 44],[213.17241379  67.82758621] ; [94.82758621 30.17241379],1
p9,1,0.002241,9.340523,[260  23] ; [101  23],[251.01474201  31.98525799] ; [109.98525799  14.01474201],0
v4,1,0.002268,9.319099,[280   3] ; [118   8],[275.38875306   7.61124694] ; [122.61124694   3.38875306],0
n5,1,0.006913,7.295487,[238  44] ; [92 34],[228.08823529  53.91176471] ; [101.91176471  24.08823529],0
v3,1,0.013219,6.139548,[136 136] ; [45 78],[124.63797468 147.36202532] ; [56.36202532 66.63797468],0
n6,1,0.013574,6.09273,[256  25] ; [105  22],[248.62990196  32.37009804] ; [112.37009804  14.62990196],0
p10,1,0.017778,5.617938,[249  33] ; [100  26],[241.22058824  40.77941176] ; [107.77941176  18.22058824],0
p12,1,0.027611,4.852166,[ 33 249] ; [  6 120],[ 26.95588235 255.04411765] ; [ 12.04411765 113.95588235],0
u4,1,0.029508,4.737713,[ 15 269] ; [  1 126],[ 11.05596107 272.94403893] ; [  4.94403893 122.05596107],0
s5,1,0.030967,4.65478,[133 138] ; [46 77],[123.11928934 147.88071066] ; [55.88071066 67.11928934],0
p5,1,0.032319,4.581504,[ 52 227] ; [ 13 114],[ 44.66748768 234.33251232] ; [ 20.33251232 106.66748768],0
d1,1,0.03997,4.21914,[193  91] ; [73 54],[183.8053528 100.1946472] ; [82.1946472 44.8053528],0
v2,1,0.04281,4.102881,[174 100] ; [66 59],[164.81203008 109.18796992] ; [75.18796992 49.81203008],0
p6,1,0.044171,4.05,[140 140] ; [49 76],[130.66666667 149.33333333] ; [58.33333333 66.66666667],0
r4,1,0.056227,3.645323,[271  13] ; [115  12],[266.72506083  17.27493917] ; [119.27493917   7.72506083],0
p8,1,0.085246,2.961938,[163 116] ; [61 63],[155.07692308 123.92307692] ; [68.92307692 55.07692308],0
a5,1,0.091736,2.843641,[231  53] ; [94 33],[224.57420925  59.42579075] ; [100.42579075  26.57420925],0
a3,1,0.123228,2.375812,[238  45] ; [98 28],[232.48899756  50.51100244] ; [103.51100244  22.48899756],0
u1,1,0.123666,2.370271,[ 76 208] ; [ 25 102],[ 69.79075426 214.20924574] ; [31.20924574 95.79075426],0
d5,1,0.146209,2.111367,[241  42] ; [100  26],[235.94865526  47.05134474] ; [105.05134474  20.94865526],0
p7,1,0.146385,2.109523,[198  76] ; [80 43],[191.86901763  82.13098237] ; [86.13098237 36.86901763],0
p11,1,0.181187,1.787862,[229  55] ; [95 32],[223.88321168  60.11678832] ; [100.11678832  26.88321168],0
a7,1,0.183048,1.772703,[194  90] ; [95 32],[199.69829684  84.30170316] ; [89.30170316 37.69829684],0
r1,1,0.18894,1.725866,[243  39] ; [103  24],[238.56234719  43.43765281] ; [107.43765281  19.56234719],0
b2,1,0.210575,1.567469,[ 91 115] ; [30 53],[ 86.24913495 119.75086505] ; [34.75086505 48.24913495],0
b3,1,0.210575,1.567469,[ 91 115] ; [30 53],[ 86.24913495 119.75086505] ; [34.75086505 48.24913495],0
b4,1,0.219678,1.506476,[156 128] ; [78 49],[161.69343066 122.30656934] ; [72.30656934 54.69343066],0
u2,1,0.23148,1.431745,[31 14] ; [16 13],[28.58108108 16.41891892] ; [18.41891892 10.58108108],0
d4,1,0.286602,1.135516,[243  40] ; [103  23],[239.40831296  43.59168704] ; [106.59168704  19.40831296],0
p3,1,0.288105,1.128458,[167 117] ; [67 59],[162.08780488 121.91219512] ; [71.91219512 54.08780488],0
u3,1,0.381965,0.76437,[33 13] ; [18 11],[31.28 14.72] ; [19.72  9.28],0
b5,1,0.404593,0.694633,[169 115] ; [70 57],[165.14841849 118.85158151] ; [73.85158151 53.14841849],0
n4,1,0.407611,0.685759,[238  44] ; [103  24],[235.11491443  46.88508557] ; [105.88508557  21.11491443],0
n1,1,0.407834,0.685105,[33 26] ; [14 16],[31.15730337 27.84269663] ; [15.84269663 14.15730337],0
p1,1,0.412516,0.671539,[ 32 250] ; [ 11 116],[ 29.64792176 252.35207824] ; [ 13.35207824 113.64792176],0
p4,1,0.419739,0.651045,[192  91] ; [81 46],[188.43658537  94.56341463] ; [84.56341463 42.43658537],0
a6,1,0.429686,0.623673,[191  92] ; [80 46],[187.51344743  95.48655257] ; [83.48655257 42.51344743],0
d3,1,0.468522,0.525459,[202  82] ; [94 32],[205.03414634  78.96585366] ; [90.96585366 35.03414634],0
b1,1,0.504073,0.44635,[115 169] ; [47 80],[111.94160584 172.05839416] ; [50.05839416 76.94160584],0
a1,1,0.519156,0.415569,[ 18 266] ; [  6 121],[ 16.58394161 267.41605839] ; [  7.41605839 119.58394161],0
s4,1,0.540314,0.374959,[ 59 223] ; [30 97],[ 61.36430318 220.63569682] ; [27.63569682 99.36430318],0
s1,1,0.5582,0.34283,[ 12 269] ; [  7 118],[ 13.15024631 267.84975369] ; [  5.84975369 119.15024631],0
d2,1,0.562804,0.334873,[162 122] ; [68 58],[159.31707317 124.68292683] ; [70.68292683 55.31707317],0
