Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1e-06,25.028938,[36  8] ; [ 9 26],[25.06329114 18.93670886] ; [19.93670886 15.06329114],1
p10,1,0.001315,10.320901,[33  9] ; [14 19],[26.32 15.68] ; [20.68 12.32],0
p9,1,0.001512,10.063524,[36  7] ; [17 17],[29.5974026 13.4025974] ; [23.4025974 10.5974026],0
p11,1,0.001785,9.758815,[36  8] ; [17 18],[29.51898734 14.48101266] ; [23.48101266 11.51898734],0
s8,1,0.003687,8.431805,[18 26] ; [ 4 31],[12.25316456 31.74683544] ; [ 9.74683544 25.25316456],0
a7,1,0.012052,6.303245,[19 25] ; [25 10],[24.50632911 19.49367089] ; [19.49367089 15.50632911],0
s7,1,0.01813,5.583534,[21 20] ; [ 8 25],[16.06756757 24.93243243] ; [12.93243243 20.06756757],0
v3,1,0.059276,3.557521,[13 31] ; [ 4 30],[ 9.58974359 34.41025641] ; [ 7.41025641 26.58974359],0
n2,1,0.07044,3.272727,[15  3] ; [10  8],[12.5  5.5] ; [12.5  5.5],0
p6,1,0.072315,3.229665,[14 28] ; [ 5 28],[10.64 31.36] ; [ 8.36 24.64],0
n6,1,0.107448,2.591362,[32 11] ; [20 15],[28.66666667 14.33333333] ; [23.33333333 11.66666667],0
s2,1,0.134909,2.235084,[22 21] ; [12 23],[18.74358974 24.25641026] ; [15.25641026 19.74358974],0
s5,1,0.148179,2.090902,[ 6 37] ; [ 9 24],[ 8.48684211 34.51315789] ; [ 6.51315789 26.48684211],0
a3,1,0.156641,2.006361,[29 15] ; [17 17],[25.94871795 18.05128205] ; [20.05128205 13.94871795],0
r1,1,0.171169,1.872673,[ 8 36] ; [11 24],[10.58227848 33.41772152] ; [ 8.41772152 26.58227848],0
p3,1,0.198115,1.656213,[16 27] ; [ 8 26],[13.4025974 29.5974026] ; [10.5974026 23.4025974],0
a5,1,0.217611,1.520053,[25 19] ; [15 20],[22.27848101 21.72151899] ; [17.72151899 17.27848101],0
p4,1,0.274921,1.192027,[20 23] ; [12 23],[17.64102564 25.35897436] ; [14.35897436 20.64102564],0
