Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v1,1,0.000212,13.721711,[ 83 172] ; [34 24],[ 95.31948882 159.68051118] ; [21.68051118 36.31948882],1
s7,1,0.001352,10.269846,[ 97 151] ; [34 20],[107.57615894 140.42384106] ; [23.42384106 30.57615894],0
p5,1,0.002735,8.976316,[ 23 236] ; [13 44],[ 29.50632911 229.49367089] ; [ 6.49367089 50.50632911],0
u1,1,0.018302,5.567018,[ 35 226] ; [15 43],[ 40.90909091 220.09090909] ; [ 9.09090909 48.90909091],0
s6,1,0.030733,4.66783,[154 102] ; [43 14],[161.12460064  94.87539936] ; [35.87539936 21.12460064],0
p3,1,0.032125,4.591812,[106 155] ; [32 25],[113.26415094 147.73584906] ; [24.73584906 32.26415094],0
b1,1,0.055531,3.666081,[108 153] ; [32 26],[114.54545455 146.45454545] ; [25.45454545 32.54545455],0
s8,1,0.058866,3.56906,[ 91 169] ; [28 30],[ 97.29559748 162.70440252] ; [21.70440252 36.29559748],0
n6,1,0.078334,3.09914,[201  58] ; [51  7],[205.89274448  53.10725552] ; [46.10725552 11.89274448],0
n4,1,0.083612,2.993258,[182  79] ; [47 11],[187.36363636  73.63636364] ; [41.63636364 16.36363636],0
p1,1,0.151966,2.052408,[ 17 242] ; [ 7 51],[ 19.60883281 239.39116719] ; [ 4.39116719 53.60883281],0
s2,1,0.160382,1.970623,[117 143] ; [32 26],[121.82389937 138.17610063] ; [27.17610063 30.82389937],0
u2,1,0.194831,1.680703,[49 33] ; [13  4],[51.35353535 30.64646465] ; [10.64646465  6.35353535],0
n3,1,0.227329,1.457497,[43 33] ; [11  4],[45.0989011 30.9010989] ; [8.9010989 6.0989011],0
b4,1,0.260947,1.263724,[156 105] ; [30 28],[152.18181818 108.81818182] ; [33.81818182 24.18181818],0
d3,1,0.280736,1.163526,[189  72] ; [46 12],[192.27272727  68.72727273] ; [42.72727273 15.27272727],0
p7,1,0.281516,1.159757,[140 113] ; [36 21],[143.63870968 109.36129032] ; [32.36129032 24.63870968],0
r4,1,0.303855,1.057199,[215  46] ; [51  7],[217.63636364  43.36363636] ; [48.36363636  9.63636364],0
p6,1,0.332063,0.940835,[ 87 172] ; [23 34],[ 90.15822785 168.84177215] ; [19.84177215 37.15822785],0
r3,1,0.336391,0.924138,[231  29] ; [54  4],[233.01886792  26.98113208] ; [51.98113208  6.01886792],0
a8,1,0.371239,0.799514,[ 30 220] ; [ 4 48],[ 28.14569536 221.85430464] ; [ 5.85430464 46.14569536],0
a1,1,0.382783,0.761745,[ 11 250] ; [ 4 54],[ 12.27272727 248.72727273] ; [ 2.72727273 55.27272727],0
p11,1,0.395108,0.723163,[190  71] ; [39 19],[187.36363636  73.63636364] ; [41.63636364 16.36363636],0
p4,1,0.395487,0.722007,[139 121] ; [34 23],[141.89274448 118.10725552] ; [31.10725552 25.89274448],0
u3,1,0.435073,0.609242,[49 32] ; [12  5],[50.41836735 30.58163265] ; [10.58163265  6.41836735],0
a7,1,0.455739,0.55634,[184  77] ; [38 20],[181.63636364  79.36363636] ; [40.36363636 17.63636364],0
r1,1,0.479537,0.499917,[190  70] ; [45 13],[192.13836478  67.86163522] ; [42.86163522 15.13836478],0
v4,1,0.520437,0.413027,[236  25] ; [54  4],[237.27272727  23.72727273] ; [52.72727273  5.27272727],0
s4,1,0.520959,0.411994,[ 49 208] ; [13 44],[ 50.74522293 206.25477707] ; [11.25477707 45.74522293],0
d2,1,0.52439,0.40525,[122 137] ; [30 28],[124.18927445 134.81072555] ; [27.81072555 30.18927445],0
n2,1,0.549791,0.357692,[51 27] ; [11  4],[52. 26.] ; [10.  5.],0
p12,1,0.570961,0.321077,[ 13 245] ; [ 4 54],[ 13.87974684 244.12025316] ; [ 3.12025316 54.87974684],0
n5,1,0.581697,0.303499,[178  81] ; [42 16],[179.74763407  79.25236593] ; [40.25236593 17.74763407],0
a3,1,0.607855,0.26331,[178  82] ; [41 16],[179.6214511  80.3785489] ; [39.3785489 17.6214511],0
p2,1,0.683321,0.166411,[207  53] ; [44 13],[205.86750789  54.13249211] ; [45.13249211 11.86750789],0
b5,1,0.706223,0.142079,[155 106] ; [36 22],[156.27272727 104.72727273] ; [34.72727273 23.27272727],0
s5,1,0.726742,0.122124,[ 83 171] ; [20 37],[ 84.1221865 169.8778135] ; [18.8778135 38.1221865],0
s3,1,0.72918,0.119866,[141 119] ; [30 28],[139.81132075 120.18867925] ; [31.18867925 26.81132075],0
a6,1,0.742003,0.108374,[165  96] ; [38 20],[166.09090909  94.90909091] ; [36.90909091 21.09090909],0
a4,1,0.747832,0.103362,[115 145] ; [27 31],[116.10062893 143.89937107] ; [25.89937107 32.10062893],0
d1,1,0.764806,0.089506,[161 100] ; [37 21],[162.  99.] ; [36. 22.],0
p8,1,0.771432,0.084392,[125 136] ; [29 29],[126. 135.] ; [28. 30.],0
p9,1,0.804665,0.061164,[203  55] ; [44 13],[202.3047619  55.6952381] ; [44.6952381 12.3047619],0
s1,1,0.80739,0.059436,[ 11 250] ; [ 2 55],[ 10.66981132 250.33018868] ; [ 2.33018868 54.66981132],0
n1,1,0.861668,0.030364,[32 46] ; [5 8],[31.71428571 46.28571429] ; [5.28571429 7.71428571],0
a5,1,0.885611,0.020696,[182  79] ; [41 17],[182.45454545  78.54545455] ; [40.54545455 17.45454545],0
d5,1,0.918781,0.010398,[213  48] ; [47 11],[212.72727273  48.27272727] ; [47.27272727 10.72727273],0
r2,1,0.930073,0.007701,[233  23] ; [53  5],[233.17197452  22.82802548] ; [52.82802548  5.17197452],0
p10,1,0.979906,0.000634,[192  68] ; [42 15],[191.92429022  68.07570978] ; [42.07570978 14.92429022],0
a2,1,1.0,0.0,[ 54 207] ; [12 46],[ 54. 207.] ; [12. 46.],0
b2,1,1.0,0.0,[60 92] ; [15 23],[60. 92.] ; [15. 23.],0
b3,1,1.0,0.0,[60 92] ; [15 23],[60. 92.] ; [15. 23.],0
