Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,3.2e-05,17.272004,[13 68] ; [20 18],[22.46218487 58.53781513] ; [10.53781513 27.46218487],1
p10,1,0.000332,12.879819,[13 67] ; [18 20],[21.01694915 58.98305085] ; [ 9.98305085 28.01694915],1
s2,1,0.000488,12.160335,[20 60] ; [22 16],[28.47457627 51.52542373] ; [13.52542373 24.47457627],1
s3,1,0.00326,8.655667,[32 49] ; [26 12],[39.4789916 41.5210084] ; [18.5210084 19.4789916],0
s6,1,0.007144,7.236422,[34 47] ; [26 12],[40.84033613 40.15966387] ; [19.15966387 18.84033613],0
v3,1,0.012394,6.253672,[21 58] ; [19 19],[27.00854701 51.99145299] ; [12.99145299 25.00854701],0
a1,1,0.017629,5.632639,[ 1 81] ; [ 4 34],[ 3.41666667 78.58333333] ; [ 1.58333333 36.41666667],0
d3,1,0.027628,4.851157,[43 39] ; [28 10],[48.51666667 33.48333333] ; [22.48333333 15.51666667],0
u1,1,0.032248,4.585267,[ 9 73] ; [10 28],[12.98333333 69.01666667] ; [ 6.01666667 31.98333333],0
n4,1,0.033721,4.508792,[51 31] ; [31  7],[56.03333333 25.96666667] ; [25.96666667 12.03333333],0
n6,1,0.050493,3.825015,[55 27] ; [32  6],[59.45 22.55] ; [27.55 10.45],0
p5,1,0.05864,3.575434,[ 2 80] ; [ 4 34],[ 4.1 77.9] ; [ 1.9 36.1],0
u2,1,0.071625,3.245378,[14 21] ; [9 4],[16.77083333 18.22916667] ; [6.22916667 6.77083333],0
s5,1,0.109352,2.563563,[13 67] ; [11 27],[16.27118644 63.72881356] ; [ 7.72881356 30.27118644],0
d5,1,0.112693,2.516046,[58 24] ; [32  6],[61.5 20.5] ; [28.5  9.5],0
a8,1,0.15649,2.007822,[ 7 70] ; [ 6 26],[ 9.18348624 67.81651376] ; [ 3.81651376 28.18348624],0
p11,1,0.160309,1.971307,[45 37] ; [26 12],[48.51666667 33.48333333] ; [22.48333333 15.51666667],0
n1,1,0.201421,1.632044,[ 8 14] ; [5 3],[ 9.53333333 12.46666667] ; [3.46666667 4.53333333],0
v1,1,0.210204,1.570024,[29 53] ; [18 20],[32.11666667 49.88333333] ; [14.88333333 23.11666667],0
n5,1,0.211127,1.563681,[44 38] ; [25 13],[47.15 34.85] ; [21.85 16.15],0
v2,1,0.216446,1.527781,[32 47] ; [20 18],[35.11111111 43.88888889] ; [16.88888889 21.11111111],0
a4,1,0.228965,1.447278,[25 56] ; [16 22],[27.90756303 53.09243697] ; [13.09243697 24.90756303],0
p8,1,0.266622,1.234042,[26 56] ; [16 22],[28.7 53.3] ; [13.3 24.7],0
b2,1,0.270357,1.214937,[11 35] ; [11 20],[13.14285714 32.85714286] ; [ 8.85714286 22.14285714],0
b3,1,0.270357,1.214937,[11 35] ; [11 20],[13.14285714 32.85714286] ; [ 8.85714286 22.14285714],0
p6,1,0.300381,1.0725,[17 64] ; [11 26],[19.22033898 61.77966102] ; [ 8.77966102 28.22033898],0
a2,1,0.302431,1.063444,[13 69] ; [ 9 29],[15.03333333 66.96666667] ; [ 6.96666667 31.03333333],0
a3,1,0.315002,1.009586,[46 36] ; [25 13],[48.51666667 33.48333333] ; [22.48333333 15.51666667],0
a7,1,0.324814,0.969466,[53 29] ; [28 10],[55.35 26.65] ; [25.65 12.35],0
n3,1,0.326687,0.961988,[19  4] ; [6 3],[17.96875  5.03125] ; [7.03125 1.96875],0
s1,1,0.338258,0.917023,[ 3 77] ; [ 3 35],[ 4.06779661 75.93220339] ; [ 1.93220339 36.06779661],0
d1,1,0.3726,0.794975,[36 46] ; [20 18],[38.26666667 43.73333333] ; [17.73333333 20.26666667],0
u3,1,0.389852,0.739405,[20 16] ; [9 4],[21.30612245 14.69387755] ; [7.69387755 5.30612245],0
p4,1,0.404163,0.695906,[36 45] ; [20 18],[38.11764706 42.88235294] ; [17.88235294 20.11764706],0
d4,1,0.415378,0.663354,[59 23] ; [30  8],[60.81666667 21.18333333] ; [28.18333333  9.81666667],0
p2,1,0.50821,0.437752,[51 31] ; [26 12],[52.61666667 29.38333333] ; [24.38333333 13.61666667],0
r1,1,0.53804,0.379184,[70 12] ; [34  4],[71.06666667 10.93333333] ; [32.93333333  5.06666667],0
b1,1,0.543698,0.368729,[48 34] ; [20 18],[46.46666667 35.53333333] ; [21.53333333 16.46666667],0
a6,1,0.592743,0.286081,[52 30] ; [26 12],[53.3 28.7] ; [24.7 13.3],0
a5,1,0.703885,0.144462,[51 31] ; [25 13],[51.93333333 30.06666667] ; [24.06666667 13.93333333],0
s4,1,0.708098,0.140184,[ 9 72] ; [ 5 32],[ 9.61016949 71.38983051] ; [ 4.38983051 32.61016949],0
d2,1,0.788519,0.07195,[41 41] ; [18 20],[40.31666667 41.68333333] ; [18.68333333 19.31666667],0
n2,1,0.820422,0.05153,[17  6] ; [7 2],[17.25  5.75] ; [6.75 2.25],0
p7,1,0.87022,0.026693,[43 39] ; [20 17],[43.41176471 38.58823529] ; [19.58823529 17.41176471],0
p3,1,0.878846,0.023236,[30 52] ; [13 24],[29.6302521 52.3697479] ; [13.3697479 23.6302521],0
v4,1,0.903141,0.01481,[78  4] ; [35  2],[77.86554622  4.13445378] ; [35.13445378  1.86554622],0
p1,1,0.911015,0.01249,[ 6 76] ; [ 3 35],[ 6.15 75.85] ; [ 2.85 35.15],0
b5,1,0.947106,0.004401,[48 34] ; [22 16],[47.83333333 34.16666667] ; [22.16666667 15.83333333],0
r3,1,0.949888,0.00395,[80  2] ; [37  1],[79.95  2.05] ; [37.05  0.95],0
b4,1,0.994498,4.8e-05,[54 28] ; [25 13],[53.98333333 28.01666667] ; [25.01666667 12.98333333],0
