Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.0,27.412587,[40 25] ; [ 8 47],[26. 39.] ; [22. 33.],1
s7,1,0.0,25.508159,[36 24] ; [ 7 45],[23.03571429 36.96428571] ; [19.96428571 32.03571429],1
s8,1,3e-06,21.703174,[31 33] ; [ 5 50],[19.36134454 44.63865546] ; [16.63865546 38.36134454],1
s5,1,2e-05,18.195229,[25 38] ; [ 3 50],[15.20689655 47.79310345] ; [12.79310345 40.20689655],1
r4,1,3.3e-05,17.263055,[59  6] ; [32 23],[49.29166667 15.70833333] ; [41.70833333 13.29166667],1
s3,1,3.5e-05,17.117323,[40 23] ; [14 41],[28.83050847 34.16949153] ; [25.16949153 29.83050847],1
p6,1,8.3e-05,15.477763,[21 44] ; [ 2 52],[12.56302521 52.43697479] ; [10.43697479 43.56302521],1
n6,1,0.000117,14.836124,[55  9] ; [29 25],[45.55932203 18.44067797] ; [38.44067797 15.55932203],1
v4,1,0.001591,9.970665,[61  4] ; [40 15],[54.70833333 10.29166667] ; [46.29166667  8.70833333],0
v1,1,0.002545,9.108288,[31 32] ; [12 42],[23.15384615 39.84615385] ; [19.84615385 34.15384615],0
v2,1,0.00416,8.212619,[40 22] ; [20 33],[32.34782609 29.65217391] ; [27.65217391 25.34782609],0
r1,1,0.005035,7.866675,[53 12] ; [32 23],[46.04166667 18.95833333] ; [38.95833333 16.04166667],0
v3,1,0.006757,7.336501,[30 31] ; [13 40],[23.00877193 37.99122807] ; [19.99122807 33.00877193],0
s4,1,0.008852,6.852389,[16 47] ; [ 4 51],[10.6779661 52.3220339] ; [ 9.3220339 45.6779661],0
r3,1,0.017496,5.645874,[59  6] ; [41 14],[54.16666667 10.83333333] ; [45.83333333  9.16666667],0
u1,1,0.022013,5.244755,[18 47] ; [ 6 49],[13. 52.] ; [11. 44.],0
p4,1,0.026927,4.895458,[23 40] ; [10 45],[17.61864407 45.38135593] ; [15.38135593 39.61864407],0
r2,1,0.033635,4.513149,[61  4] ; [43 10],[57.28813559  7.71186441] ; [46.71186441  6.28813559],0
b5,1,0.069724,3.28951,[48 17] ; [32 23],[43.33333333 21.66666667] ; [36.66666667 18.33333333],0
p11,1,0.073688,3.198906,[39 26] ; [24 31],[34.125 30.875] ; [28.875 26.125],0
p9,1,0.081563,3.03348,[45 19] ; [29 24],[40.47863248 23.52136752] ; [33.52136752 19.47863248],0
p5,1,0.09284,2.824423,[ 8 56] ; [ 2 51],[ 5.47008547 58.52991453] ; [ 4.52991453 48.47008547],0
n2,1,0.152594,2.046131,[15  5] ; [13 11],[12.72727273  7.27272727] ; [15.27272727  8.72727273],0
p10,1,0.194968,1.679674,[43 21] ; [30 24],[39.59322034 24.40677966] ; [33.40677966 20.59322034],0
n5,1,0.221561,1.494232,[47 18] ; [34 21],[43.875 21.125] ; [37.125 17.875],0
n4,1,0.308937,1.035216,[47 18] ; [35 20],[44.41666667 20.58333333] ; [37.58333333 17.41666667],0
s1,1,0.347687,0.881882,[ 4 61] ; [ 6 49],[ 5.41666667 59.58333333] ; [ 4.58333333 50.41666667],0
p7,1,0.359221,0.840616,[23 39] ; [16 39],[20.66666667 41.33333333] ; [18.33333333 36.66666667],0
a6,1,0.451583,0.566674,[43 20] ; [41 14],[44.84745763 18.15254237] ; [39.15254237 15.84745763],0
u3,1,0.454812,0.558633,[13  9] ; [8 9],[11.84615385 10.15384615] ; [9.15384615 7.84615385],0
b1,1,0.51927,0.415342,[31 34] ; [23 32],[29.25 35.75] ; [24.75 30.25],0
p1,1,0.542874,0.370239,[ 5 60] ; [ 6 49],[ 5.95833333 59.04166667] ; [ 5.04166667 49.95833333],0
d4,1,0.551089,0.35537,[52 11] ; [43 12],[50.72033898 12.27966102] ; [44.27966102 10.72033898],0
n3,1,0.570603,0.321675,[13  7] ; [13 10],[12.09302326  7.90697674] ; [13.90697674  9.09302326],0
b4,1,0.602816,0.270769,[42 23] ; [33 22],[40.625 24.375] ; [34.375 20.625],0
d3,1,0.624774,0.239214,[45 18] ; [37 18],[43.77966102 19.22033898] ; [38.22033898 16.77966102],0
a2,1,0.644365,0.213078,[19 46] ; [14 41],[17.875 47.125] ; [15.125 39.875],0
b3,1,0.688736,0.160457,[13 29] ; [12 22],[13.81578947 28.18421053] ; [11.18421053 22.81578947],0
b2,1,0.688736,0.160457,[13 29] ; [12 22],[13.81578947 28.18421053] ; [11.18421053 22.81578947],0
a4,1,0.700362,0.148095,[28 36] ; [26 29],[29.04201681 34.95798319] ; [24.95798319 30.04201681],0
p3,1,0.710428,0.13785,[21 43] ; [16 38],[20.06779661 43.93220339] ; [16.93220339 37.06779661],0
a3,1,0.710428,0.13785,[43 21] ; [38 16],[43.93220339 20.06779661] ; [37.06779661 16.93220339],0
a8,1,0.7206,0.127918,[ 8 51] ; [ 6 47],[ 7.375 51.625] ; [ 6.625 46.375],0
d2,1,0.721377,0.127177,[33 30] ; [27 28],[32.03389831 30.96610169] ; [27.96610169 27.03389831],0
n1,1,0.759047,0.094085,[ 8 11] ; [ 9 15],[ 7.51162791 11.48837209] ; [ 9.48837209 14.51162791],0
a1,1,0.760098,0.09324,[ 6 59] ; [ 6 49],[ 6.5 58.5] ; [ 5.5 49.5],0
d5,1,0.824643,0.049096,[47 16] ; [42 13],[47.51694915 15.48305085] ; [41.48305085 13.51694915],0
d1,1,0.86435,0.029186,[38 27] ; [33 22],[38.45833333 26.54166667] ; [32.54166667 22.45833333],0
p8,1,0.945405,0.004689,[16 49] ; [13 41],[15.84033613 49.15966387] ; [13.15966387 40.84033613],0
u2,1,0.98657,0.000283,[13  9] ; [10  7],[12.97435897  9.02564103] ; [10.02564103  6.97435897],0
a5,1,0.986811,0.000273,[45 20] ; [38 17],[44.95833333 20.04166667] ; [38.04166667 16.95833333],0
