Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s7,1,2.2e-05,17.97235,[23  8] ; [ 3 18],[15.5 15.5] ; [10.5 10.5],1
s2,1,0.002603,9.066471,[24  8] ; [ 7 14],[18.71698113 13.28301887] ; [12.28301887  8.71698113],0
r3,1,0.014381,5.990783,[27  4] ; [12  9],[23.25  7.75] ; [15.75  5.25],0
s8,1,0.02298,5.169986,[16 16] ; [ 4 17],[12.0754717 19.9245283] ; [ 7.9245283 13.0754717],0
p11,1,0.025142,5.014046,[26  6] ; [11 10],[22.33962264  9.66037736] ; [14.66037736  6.33962264],0
p9,1,0.049539,3.85698,[25  7] ; [11 10],[21.73584906 10.26415094] ; [14.26415094  6.73584906],0
p2,1,0.053261,3.735698,[28  4] ; [13  7],[25.23076923  6.76923077] ; [15.76923077  4.23076923],0
a3,1,0.061323,3.501231,[22 10] ; [ 9 12],[18.71698113 13.28301887] ; [12.28301887  8.71698113],0
p10,1,0.063672,3.43905,[22  9] ; [ 9 11],[18.84313725 12.15686275] ; [12.15686275  7.84313725],0
u2,1,0.064012,3.430262,[7 2] ; [4 7],[4.95 4.05] ; [6.05 4.95],0
n4,1,0.089,2.892366,[24  8] ; [11 10],[21.13207547 10.86792453] ; [13.86792453  7.13207547],0
p6,1,0.090844,2.85936,[11 20] ; [ 3 18],[ 8.34615385 22.65384615] ; [ 5.65384615 15.34615385],0
a6,1,0.193188,1.69314,[21 11] ; [10 11],[18.71698113 13.28301887] ; [12.28301887  8.71698113],0
s4,1,0.225672,1.467933,[11 21] ; [ 4 17],[ 9.05660377 22.94339623] ; [ 5.94339623 15.05660377],0
p8,1,0.261059,1.263132,[12 19] ; [ 5 16],[10.13461538 20.86538462] ; [ 6.86538462 14.13461538],0
d3,1,0.264843,1.243263,[18 14] ; [15  6],[19.9245283 12.0754717] ; [13.0754717  7.9245283],0
b2,1,0.274689,1.193182,[ 6 18] ; [ 1 10],[ 4.8 19.2] ; [2.2 8.8],0
b3,1,0.274689,1.193182,[ 6 18] ; [ 1 10],[ 4.8 19.2] ; [2.2 8.8],0
