Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.007252,7.209409,[28  9] ; [11 15],[22.9047619 14.0952381] ; [16.0952381  9.9047619],0
p2,1,0.026455,4.926006,[26 11] ; [11 15],[21.73015873 15.26984127] ; [15.26984127 10.73015873],0
p4,1,0.032165,4.589657,[20 17] ; [ 7 19],[15.85714286 21.14285714] ; [11.14285714 14.85714286],0
n4,1,0.038449,4.285051,[24 13] ; [10 16],[19.96825397 17.03174603] ; [14.03174603 11.96825397],0
p11,1,0.046086,3.97843,[25 12] ; [11 15],[21.14285714 15.85714286] ; [14.85714286 11.14285714],0
b1,1,0.063433,3.445268,[20 17] ; [20  6],[23.49206349 13.50793651] ; [16.50793651  9.49206349],0
p9,1,0.094249,2.800259,[23 12] ; [11 14],[19.83333333 15.16666667] ; [14.16666667 10.83333333],0
p7,1,0.119565,2.423011,[14 23] ; [15 11],[17.03174603 19.96825397] ; [11.96825397 14.03174603],0
v4,1,0.139547,2.182952,[24 13] ; [12 14],[21.14285714 15.85714286] ; [14.85714286 11.14285714],0
s7,1,0.139845,2.179663,[ 9 26] ; [ 2 19],[ 6.875 28.125] ; [ 4.125 16.875],0
p3,1,0.146908,2.104066,[12 25] ; [ 4 21],[ 9.5483871 27.4516129] ; [ 6.4516129 18.5483871],0
r3,1,0.15027,2.069505,[27  9] ; [15 11],[24.38709677 11.61290323] ; [17.61290323  8.38709677],0
a1,1,0.156792,2.004894,[ 1 36] ; [ 3 23],[ 2.34920635 34.65079365] ; [ 1.65079365 24.34920635],0
s2,1,0.168691,1.894538,[11 25] ; [ 4 22],[ 8.70967742 27.29032258] ; [ 6.29032258 19.70967742],0
n2,1,0.212183,1.556471,[11  4] ; [6 6],[9.44444444 5.55555556] ; [7.55555556 4.44444444],0
a4,1,0.228705,1.448895,[ 9 28] ; [10 16],[11.15873016 25.84126984] ; [ 7.84126984 18.15873016],0
s8,1,0.273821,1.197505,[10 27] ; [ 4 22],[ 8.22222222 28.77777778] ; [ 5.77777778 20.22222222],0
u2,1,0.280226,1.165992,[ 8 11] ; [8 5],[9.5 9.5] ; [6.5 6.5],0
d5,1,0.29687,1.088199,[22 15] ; [12 14],[19.96825397 17.03174603] ; [14.03174603 11.96825397],0
a7,1,0.35855,0.842967,[17 20] ; [15 11],[18.79365079 18.20634921] ; [13.20634921 12.79365079],0
d3,1,0.35855,0.842967,[20 17] ; [11 15],[18.20634921 18.79365079] ; [12.79365079 13.20634921],0
p10,1,0.374626,0.788263,[20 16] ; [11 14],[18.29508197 17.70491803] ; [12.70491803 12.29508197],0
a2,1,0.375285,0.786089,[ 2 35] ; [ 3 23],[ 2.93650794 34.06349206] ; [ 2.06349206 23.93650794],0
s1,1,0.375285,0.786089,[ 2 35] ; [ 3 23],[ 2.93650794 34.06349206] ; [ 2.06349206 23.93650794],0
v3,1,0.388013,0.745159,[ 9 28] ; [ 4 22],[ 7.63492063 29.36507937] ; [ 5.36507937 20.63492063],0
b2,1,0.41107,0.675703,[ 7 16] ; [ 3 13],[ 5.8974359 17.1025641] ; [ 4.1025641 11.8974359],0
b3,1,0.41107,0.675703,[ 7 16] ; [ 3 13],[ 5.8974359 17.1025641] ; [ 4.1025641 11.8974359],0
d1,1,0.418371,0.654886,[12 25] ; [ 6 20],[10.57142857 26.42857143] ; [ 7.42857143 18.57142857],0
s6,1,0.427732,0.628975,[15 22] ; [ 8 18],[13.50793651 23.49206349] ; [ 9.49206349 16.50793651],0
s4,1,0.429978,0.622883,[ 7 30] ; [ 3 23],[ 5.87301587 31.12698413] ; [ 4.12698413 21.87301587],0
r1,1,0.469179,0.523909,[11 26] ; [10 16],[12.33333333 24.66666667] ; [ 8.66666667 17.33333333],0
p12,1,0.494617,0.466467,[ 3 34] ; [ 1 25],[ 2.34920635 34.65079365] ; [ 1.65079365 24.34920635],0
s3,1,0.495249,0.465102,[10 26] ; [ 9 16],[11.21311475 24.78688525] ; [ 7.78688525 17.21311475],0
p6,1,0.52605,0.402015,[ 5 31] ; [ 5 20],[ 5.90163934 30.09836066] ; [ 4.09836066 20.90163934],0
a5,1,0.536902,0.381312,[17 20] ; [14 12],[18.20634921 18.79365079] ; [12.79365079 13.20634921],0
b4,1,0.596297,0.280618,[21 16] ; [13 13],[19.96825397 17.03174603] ; [14.03174603 11.96825397],0
a6,1,0.619094,0.247143,[18 19] ; [11 15],[17.03174603 19.96825397] ; [11.96825397 14.03174603],0
p8,1,0.637442,0.222103,[14 23] ; [ 8 17],[13.12903226 23.87096774] ; [ 8.87096774 16.12903226],0
n1,1,0.706197,0.142105,[ 4 11] ; [4 8],[ 4.44444444 10.55555556] ; [3.55555556 8.44444444],0
n3,1,0.721501,0.127059,[9 6] ; [8 4],[9.44444444 5.55555556] ; [7.55555556 4.44444444],0
p1,1,0.774791,0.081861,[ 2 35] ; [ 1 25],[ 1.76190476 35.23809524] ; [ 1.23809524 24.76190476],0
a3,1,0.795716,0.067027,[18 19] ; [13 12],[18.5 18.5] ; [12.5 12.5],0
d2,1,0.80818,0.05894,[11 26] ; [ 7 19],[10.57142857 26.42857143] ; [ 7.42857143 18.57142857],0
r4,1,0.817421,0.053298,[ 8 29] ; [ 5 21],[ 7.63492063 29.36507937] ; [ 5.36507937 20.63492063],0
u3,1,0.835378,0.043185,[ 5 14] ; [ 3 10],[ 4.75 14.25] ; [3.25 9.75],0
d4,1,0.868114,0.027574,[22 15] ; [16 10],[22.31746032 14.68253968] ; [15.68253968 10.31746032],0
b5,1,0.888452,0.019674,[22 15] ; [15 11],[21.73015873 15.26984127] ; [15.26984127 10.73015873],0
a8,1,0.929573,0.007811,[ 5 28] ; [ 4 21],[ 5.12068966 27.87931034] ; [ 3.87931034 21.12068966],0
v2,1,0.978782,0.000707,[14 23] ; [ 9 15],[13.95081967 23.04918033] ; [ 9.04918033 14.95081967],0
v1,1,0.992698,8.4e-05,[10 27] ; [ 7 19],[ 9.98412698 27.01587302] ; [ 7.01587302 18.98412698],0
