Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,187.254355,[30 76] ; [339  32],[82. 24.] ; [287.  84.],1
p11,1,0.0,54.800484,[50 56] ; [308  65],[79.22338205 26.77661795] ; [278.77661795  94.22338205],1
p2,1,0.0,47.460609,[57 49] ; [315  55],[82.84033613 23.15966387] ; [289.15966387  80.84033613],1
r4,1,0.0,28.518332,[75 31] ; [339  34],[91.61586639 14.38413361] ; [322.38413361  50.61586639],1
r3,1,3e-06,21.857414,[87 18] ; [357  15],[97.73584906  7.26415094] ; [346.26415094  25.73584906],1
b1,1,8e-06,19.905792,[58 48] ; [116 257],[38.50521921 67.49478079] ; [135.49478079 237.50521921],1
v4,1,1.5e-05,18.783059,[87 18] ; [352  17],[97.24683544  7.75316456] ; [341.75316456  27.24683544],1
s6,1,2.9e-05,17.49687,[47 59] ; [245 122],[65.43763214 40.56236786] ; [226.56236786 140.43763214],1
n6,1,3.4e-05,17.193533,[69 36] ; [311  59],[84. 21.] ; [296.  74.],1
p7,1,4.6e-05,16.60106,[35 70] ; [204 161],[53.39361702 51.60638298] ; [185.60638298 179.39361702],1
v1,1,0.000121,14.78426,[32 74] ; [184 174],[49.34482759 56.65517241] ; [166.65517241 191.34482759],1
s8,1,0.000163,14.21254,[23 83] ; [155 216],[39.55555556 66.44444444] ; [138.44444444 232.55555556],1
n3,1,0.000166,14.186837,[16 20] ; [68 18],[24.78688525 11.21311475] ; [59.21311475 26.78688525],1
p8,1,0.000311,13.000064,[27 79] ; [166 203],[43.06947368 62.93052632] ; [149.93052632 219.06947368],1
n5,1,0.000361,12.724027,[60 46] ; [275  94],[74.75789474 31.24210526] ; [260.24210526 108.75789474],1
p3,1,0.000474,12.216924,[28 77] ; [170 202],[43.58490566 61.41509434] ; [154.41509434 217.58490566],1
n2,1,0.000483,12.181256,[17 19] ; [68 18],[25.08196721 10.91803279] ; [59.91803279 26.08196721],1
v2,1,0.001939,9.606424,[44 60] ; [210 143],[57.80306346 46.19693654] ; [196.19693654 156.80306346],0
s2,1,0.002748,8.967731,[33 71] ; [179 192],[46.41684211 57.58315789] ; [165.58315789 205.41684211],0
s3,1,0.003905,8.327342,[41 63] ; [204 164],[53.98305085 50.01694915] ; [191.01694915 176.98305085],0
s1,1,0.005846,7.597168,[ 7 99] ; [  6 361],[  2.91331924 103.08668076] ; [ 10.08668076 356.91331924],0
s7,1,0.007876,7.061459,[30 70] ; [160 197],[41.57549234 58.42450766] ; [148.42450766 208.57549234],0
a5,1,0.011543,6.379702,[71 35] ; [294  79],[80.77244259 25.22755741] ; [284.22755741  88.77244259],0
s5,1,0.013366,6.119987,[20 86] ; [112 247],[30.09032258 75.90967742] ; [101.90967742 257.09032258],0
p4,1,0.01874,5.525572,[40 65] ; [190 182],[50.62893082 54.37106918] ; [179.37106918 192.62893082],0
p12,1,0.021735,5.266896,[  1 104] ; [ 25 348],[ 5.71129707 99.28870293] ; [ 20.28870293 352.71129707],0
d3,1,0.025032,5.02169,[66 40] ; [274  99],[75.24008351 30.75991649] ; [264.75991649 108.24008351],0
a1,1,0.032321,4.581389,[ 8 98] ; [ 11 362],[  4.2045929 101.7954071] ; [ 14.7954071 358.2045929],0
r2,1,0.033006,4.54545,[93 11] ; [350  18],[97.61016949  6.38983051] ; [345.38983051  22.61016949],0
p5,1,0.048601,3.889096,[  3 103] ; [ 31 336],[ 7.61945032 98.38054968] ; [ 26.38054968 340.61945032],0
n4,1,0.052621,3.755906,[70 36] ; [280  91],[77.77777778 28.22222222] ; [272.22222222  98.77777778],0
b3,1,0.055161,3.677215,[14 51] ; [ 74 143],[20.28368794 44.71631206] ; [ 67.71631206 149.28368794],0
b2,1,0.055161,3.677215,[14 51] ; [ 74 143],[20.28368794 44.71631206] ; [ 67.71631206 149.28368794],0
a8,1,0.067681,3.33839,[ 7 87] ; [ 50 292],[12.28899083 81.71100917] ; [ 44.71100917 297.28899083],0
b4,1,0.080625,3.052256,[70 36] ; [211 162],[62.18371608 43.81628392] ; [218.81628392 154.18371608],0
a3,1,0.094431,2.797168,[70 36] ; [277  96],[76.78914405 29.21085595] ; [270.21085595 102.78914405],0
d1,1,0.107475,2.59096,[63 43] ; [253 120],[69.92901879 36.07098121] ; [246.07098121 126.92901879],0
r1,1,0.14512,2.12281,[80 26] ; [302  67],[85.24631579 20.75368421] ; [296.75368421  72.24631579],0
a7,1,0.150722,2.06493,[73 32] ; [285  88],[78.64016736 26.35983264] ; [279.35983264  93.64016736],0
v3,1,0.160772,1.96695,[33 70] ; [140 213],[39.07675439 63.92324561] ; [133.92324561 219.07675439],0
n1,1,0.163279,1.943594,[10 26] ; [35 50],[13.38842975 22.61157025] ; [31.61157025 53.38842975],0
d2,1,0.165208,1.925899,[60 44] ; [186 186],[53.74789916 50.25210084] ; [192.25210084 179.74789916],0
u2,1,0.193917,1.687608,[16 19] ; [55 39],[19.26356589 15.73643411] ; [51.73643411 42.26356589],0
d4,1,0.201016,1.634975,[87 18] ; [327  46],[90.94142259 14.05857741] ; [323.05857741  49.94142259],0
a6,1,0.224521,1.475238,[70 36] ; [269 104],[75.01878914 30.98121086] ; [263.98121086 109.01878914],0
a4,1,0.326325,0.963426,[44 61] ; [176 196],[48.42767296 56.57232704] ; [171.57232704 200.42767296],0
u3,1,0.344536,0.893479,[23 13] ; [52 43],[20.61068702 15.38931298] ; [54.38931298 40.61068702],0
b5,1,0.358643,0.842638,[61 45] ; [233 140],[65.0605428 40.9394572] ; [228.9394572 144.0605428],0
p1,1,0.398597,0.712554,[  4 101] ; [ 22 349],[ 5.73529412 99.26470588] ; [ 20.26470588 350.73529412],0
u1,1,0.461606,0.541998,[15 91] ; [ 64 309],[17.4822547 88.5177453] ; [ 61.5177453 311.4822547],0
a2,1,0.528013,0.398215,[23 83] ; [ 92 281],[25.44885177 80.55114823] ; [ 89.55114823 283.44885177],0
s4,1,0.713087,0.135213,[17 89] ; [ 54 316],[15.81092437 90.18907563] ; [ 55.18907563 314.81092437],0
