Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,29.856423,[27 69] ; [31  8],[41.24444444 54.75555556] ; [16.75555556 22.24444444],1
r1,1,0.000585,11.822248,[55 43] ; [34  5],[63.66423358 34.33576642] ; [25.33576642 13.66423358],1
r4,1,0.00125,10.414897,[73 27] ; [38  1],[79.85611511 20.14388489] ; [31.14388489  7.85611511],0
n4,1,0.011459,6.392659,[65 34] ; [34  5],[71.02173913 27.97826087] ; [27.97826087 11.02173913],0
p4,1,0.015139,5.900262,[49 51] ; [28 11],[55.39568345 44.60431655] ; [21.60431655 17.39568345],0
p3,1,0.021178,5.312091,[37 62] ; [23 16],[43.04347826 55.95652174] ; [16.95652174 22.04347826],0
s3,1,0.025279,5.004663,[44 55] ; [25 13],[49.86131387 49.13868613] ; [19.13868613 18.86131387],0
v1,1,0.026928,4.895422,[37 60] ; [23 16],[42.79411765 54.20588235] ; [17.20588235 21.79411765],0
p1,1,0.097205,2.750806,[10 90] ; [ 8 31],[12.94964029 87.05035971] ; [ 5.05035971 33.94964029],0
p12,1,0.105412,2.62169,[ 2 98] ; [ 3 36],[ 3.5971223 96.4028777] ; [ 1.4028777 37.5971223],0
s5,1,0.120824,2.406612,[19 80] ; [12 26],[22.40145985 76.59854015] ; [ 8.59854015 29.40145985],0
b4,1,0.123427,2.37328,[47 53] ; [24 15],[51.07913669 48.92086331] ; [19.92086331 19.07913669],0
d3,1,0.125118,2.352058,[27 71] ; [16 23],[30.75912409 67.24087591] ; [12.24087591 26.75912409],0
s7,1,0.153168,2.040413,[37 58] ; [19 17],[40.61068702 54.38931298] ; [15.38931298 20.61068702],0
r3,1,0.173819,1.849694,[86 13] ; [37  2],[88.23913043 10.76086957] ; [34.76086957  4.23913043],0
v4,1,0.178914,1.806622,[89  9] ; [38  1],[90.84671533  7.15328467] ; [36.15328467  2.84671533],0
p6,1,0.185552,1.75259,[29 70] ; [16 23],[32.2826087 66.7173913] ; [12.7173913 26.2826087],0
a3,1,0.20459,1.609299,[47 53] ; [23 16],[50.35971223 49.64028777] ; [19.64028777 19.35971223],0
n1,1,0.214974,1.53761,[11 23] ; [4 3],[12.43902439 21.56097561] ; [2.56097561 4.43902439],0
n6,1,0.219056,1.510548,[78 22] ; [34  5],[80.57553957 19.42446043] ; [31.42446043  7.57553957],0
a5,1,0.220598,1.50048,[50 50] ; [24 15],[53.23741007 46.76258993] ; [20.76258993 18.23741007],0
p8,1,0.243606,1.359606,[44 53] ; [22 17],[47.07352941 49.92647059] ; [18.92647059 20.07352941],0
s4,1,0.256328,1.288481,[21 78] ; [ 5 34],[18.65217391 80.34782609] ; [ 7.34782609 31.65217391],0
s6,1,0.291886,1.110904,[51 47] ; [23 14],[53.71851852 44.28148148] ; [20.28148148 16.71851852],0
n5,1,0.294453,1.099147,[70 29] ; [31  8],[72.45652174 26.54347826] ; [28.54347826 10.45652174],0
p7,1,0.308563,1.036817,[62 37] ; [28 11],[64.56521739 34.43478261] ; [25.43478261 13.56521739],0
b3,1,0.337032,0.921689,[12 45] ; [ 8 18],[13.73493976 43.26506024] ; [ 6.26506024 19.73493976],0
b2,1,0.337032,0.921689,[12 45] ; [ 8 18],[13.73493976 43.26506024] ; [ 6.26506024 19.73493976],0
d2,1,0.37495,0.787194,[25 75] ; [ 7 32],[23.02158273 76.97841727] ; [ 8.97841727 30.02158273],0
p5,1,0.380513,0.769045,[ 8 92] ; [ 5 34],[ 9.35251799 90.64748201] ; [ 3.64748201 35.35251799],0
a2,1,0.380513,0.769045,[ 8 92] ; [ 5 34],[ 9.35251799 90.64748201] ; [ 3.64748201 35.35251799],0
p10,1,0.394003,0.726551,[71 27] ; [31  8],[72.96350365 25.03649635] ; [29.03649635  9.96350365],0
a7,1,0.508268,0.437632,[60 39] ; [26 13],[61.69565217 37.30434783] ; [24.30434783 14.69565217],0
s2,1,0.548353,0.360277,[34 66] ; [15 23],[35.50724638 64.49275362] ; [13.49275362 24.50724638],0
s8,1,0.569,0.324359,[33 66] ; [15 24],[34.43478261 64.56521739] ; [13.56521739 25.43478261],0
a8,1,0.573729,0.316484,[11 80] ; [ 3 32],[10.11111111 80.88888889] ; [ 3.88888889 31.11111111],0
a4,1,0.640186,0.218498,[24 75] ; [ 8 31],[22.95652174 76.04347826] ; [ 9.04347826 29.95652174],0
u1,1,0.682952,0.166821,[ 4 96] ; [ 1 38],[ 3.5971223 96.4028777] ; [ 1.4028777 37.5971223],0
p9,1,0.730341,0.118799,[76 23] ; [31  8],[76.76086957 22.23913043] ; [30.23913043  8.76086957],0
d5,1,0.767273,0.087583,[51 48] ; [19 20],[50.2173913 48.7826087] ; [19.7826087 19.2173913],0
u3,1,0.768252,0.086826,[21 32] ; [7 9],[21.50724638 31.49275362] ; [6.49275362 9.50724638],0
b5,1,0.783975,0.075154,[59 41] ; [24 15],[59.71223022 40.28776978] ; [23.28776978 15.71223022],0
p11,1,0.812676,0.056157,[75 25] ; [30  9],[75.53956835 24.46043165] ; [29.46043165  9.53956835],0
n3,1,0.829587,0.046324,[28  6] ; [6 1],[28.19512195  5.80487805] ; [5.80487805 1.19512195],0
a6,1,0.832427,0.04477,[57 43] ; [23 16],[57.55395683 42.44604317] ; [22.44604317 16.55395683],0
u2,1,0.913961,0.011673,[24 29] ; [7 9],[23.8115942 29.1884058] ; [7.1884058 8.8115942],0
b1,1,0.959856,0.002533,[38 62] ; [15 24],[38.1294964 61.8705036] ; [14.8705036 24.1294964],0
d1,1,0.975227,0.000964,[ 5 95] ; [ 2 37],[ 5.03597122 94.96402878] ; [ 1.96402878 37.03597122],0
