Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,4.1e-05,16.807168,[18 31] ; [168  80],[30.68686869 18.31313131] ; [155.31313131  92.68686869],1
d5,1,0.001514,10.060917,[19 32] ; [154  97],[29.21523179 21.78476821] ; [143.78476821 107.21523179],0
s1,1,0.001565,10.0,[ 6 44] ; [  6 244],[ 2. 48.] ; [ 10. 240.],0
p8,1,0.002645,9.037602,[17 34] ; [141 109],[26.77076412 24.22923588] ; [131.22923588 118.77076412],0
s7,1,0.006266,7.472213,[13 34] ; [119 122],[21.54166667 25.45833333] ; [110.45833333 130.54166667],0
r2,1,0.012058,6.302334,[41 10] ; [229  20],[45.9  5.1] ; [224.1  24.9],0
p4,1,0.017518,5.643741,[19 31] ; [142 110],[26.65562914 23.34437086] ; [134.34437086 117.65562914],0
n4,1,0.017958,5.600195,[29 22] ; [185  67],[36.01980198 14.98019802] ; [177.98019802  74.01980198],0
p9,1,0.032004,4.598265,[43  7] ; [238  14],[46.52317881  3.47682119] ; [234.47682119  17.52317881],0
d3,1,0.032511,4.571344,[14 37] ; [109 141],[20.84053156 30.15946844] ; [102.15946844 147.84053156],0
p6,1,0.037306,4.336377,[10 41] ; [ 86 163],[16.32 34.68] ; [ 79.68 169.32],0
p3,1,0.048165,3.904211,[16 35] ; [117 135],[22.38613861 28.61386139] ; [110.61386139 141.38613861],0
d4,1,0.055638,3.662866,[24 27] ; [155  97],[30.12871287 20.87128713] ; [148.87128713 103.12871287],0
n6,1,0.063468,3.444366,[38 13] ; [212  37],[42.5  8.5] ; [207.5  41.5],0
a7,1,0.072372,3.228396,[28 23] ; [170  80],[33.54817276 17.45182724] ; [164.45182724  85.54817276],0
s4,1,0.074216,3.187233,[13 38] ; [ 38 212],[ 8.64119601 42.35880399] ; [ 42.35880399 207.64119601],0
s6,1,0.077518,3.116191,[27 23] ; [165  81],[32.43243243 17.56756757] ; [159.56756757  86.43243243],0
p1,1,0.081367,3.037385,[ 8 43] ; [ 20 232],[ 4.71287129 46.28712871] ; [ 23.28712871 228.71287129],0
b1,1,0.083711,2.991335,[25 26] ; [ 91 161],[19.52475248 31.47524752] ; [ 96.47524752 155.52475248],0
d2,1,0.101912,2.675368,[10 40] ; [ 29 223],[ 6.45695364 43.54304636] ; [ 32.54304636 219.45695364],0
p12,1,0.105271,2.623822,[ 6 45] ; [ 14 237],[ 3.37748344 47.62251656] ; [ 16.62251656 234.37748344],0
r1,1,0.213068,1.550454,[33 18] ; [184  67],[36.64569536 14.35430464] ; [180.35430464  70.64569536],0
a3,1,0.21674,1.525824,[26 25] ; [152 100],[29.96039604 21.03960396] ; [148.03960396 103.96039604],0
v4,1,0.267515,1.229445,[46  5] ; [234  14],[47.75919732  3.24080268] ; [232.24080268  15.75919732],0
b5,1,0.294781,1.097656,[32 19] ; [138 114],[28.61386139 22.38613861] ; [141.38613861 110.61386139],0
b3,1,0.312597,1.019673,[ 7 20] ; [49 87],[ 9.27607362 17.72392638] ; [46.72392638 89.27607362],0
b2,1,0.312597,1.019673,[ 7 20] ; [49 87],[ 9.27607362 17.72392638] ; [46.72392638 89.27607362],0
n3,1,0.319995,0.988968,[11  2] ; [42 17],[9.56944444 3.43055556] ; [43.43055556 15.56944444],0
p11,1,0.360055,0.837701,[40 11] ; [211  41],[42.24752475  8.75247525] ; [208.75247525  43.24752475],0
s3,1,0.363193,0.826823,[22 27] ; [130 120],[24.909699 24.090301] ; [127.090301 122.909699],0
u1,1,0.367982,0.810467,[ 1 50] ; [ 12 240],[ 2.18811881 48.81188119] ; [ 10.81188119 241.18811881],0
p5,1,0.385385,0.753452,[ 4 46] ; [ 31 221],[ 5.79470199 44.20529801] ; [ 29.20529801 222.79470199],0
a2,1,0.398142,0.713931,[ 2 49] ; [ 18 234],[ 3.36633663 47.63366337] ; [ 16.63366337 235.36633663],0
a5,1,0.408987,0.681743,[28 23] ; [154  98],[30.63366337 20.36633663] ; [151.36633663 100.63366337],0
a1,1,0.440285,0.59554,[ 3 48] ; [  9 243],[ 2.01980198 48.98019802] ; [  9.98019802 242.01980198],0
v1,1,0.467461,0.527971,[23 27] ; [126 118],[25.34013605 24.65986395] ; [123.65986395 120.34013605],0
n5,1,0.46816,0.526316,[36 14] ; [192  58],[38. 12.] ; [190.  60.],0
b4,1,0.481745,0.494911,[26 25] ; [142 110],[28.27722772 22.72277228] ; [139.72277228 112.27722772],0
a6,1,0.571574,0.320055,[29 22] ; [154  98],[30.8019802 20.1980198] ; [152.1980198  99.8019802],0
r4,1,0.590549,0.289488,[42  9] ; [215  37],[43.25742574  7.74257426] ; [213.74257426  38.25742574],0
u3,1,0.643718,0.213913,[13 12] ; [56 42],[14.02439024 10.97560976] ; [54.97560976 43.02439024],0
s8,1,0.667785,0.184204,[18 33] ; [ 97 155],[19.35643564 31.64356436] ; [ 95.64356436 156.35643564],0
n1,1,0.690559,0.158481,[5 7] ; [21 38],[4.3943662 7.6056338] ; [21.6056338 37.3943662],0
