Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,1e-06,24.37108,[13 45] ; [87 56],[28.85572139 29.14427861] ; [71.14427861 71.85572139],1
a3,1,5e-06,21.018187,[29 29] ; [117  26],[42.12935323 15.87064677] ; [103.87064677  39.12935323],1
d5,1,1e-05,19.427758,[32 26] ; [120  22],[44.08 13.92] ; [107.92  34.08],1
d4,1,0.000128,14.67656,[35 22] ; [122  20],[44.96984925 12.03015075] ; [112.03015075  29.96984925],1
d2,1,0.000131,14.62376,[16 42] ; [82 61],[28.27860697 29.72139303] ; [69.72139303 73.27860697],1
a4,1,0.0007,11.489789,[15 43] ; [74 68],[25.81 32.19] ; [63.19 78.81],1
p3,1,0.001586,9.975573,[18 39] ; [80 62],[28.07035176 28.92964824] ; [69.92964824 72.07035176],0
n3,1,0.005232,7.797288,[ 8 11] ; [25  6],[12.54  6.46] ; [20.46 10.54],0
p2,1,0.006366,7.443707,[36 21] ; [114  26],[43.40101523 13.59898477] ; [106.59898477  33.40101523],0
b2,1,0.006964,7.282339,[ 9 23] ; [55 44],[15.63358779 16.36641221] ; [48.36641221 50.63358779],0
b3,1,0.006964,7.282339,[ 9 23] ; [55 44],[15.63358779 16.36641221] ; [48.36641221 50.63358779],0
n6,1,0.008095,7.012314,[39 18] ; [119  21],[45.71573604 11.28426396] ; [112.28426396  27.71573604],0
r4,1,0.008788,6.86535,[48 10] ; [135   8],[52.80597015  5.19402985] ; [130.19402985  12.80597015],0
p11,1,0.012333,6.262363,[39 19] ; [119  24],[45.5920398 12.4079602] ; [112.4079602  30.5920398],0
b5,1,0.015475,5.861613,[34 24] ; [57 86],[26.25870647 31.74129353] ; [64.74129353 78.25870647],0
s8,1,0.018287,5.568414,[21 37] ; [77 64],[28.56281407 29.43718593] ; [69.43718593 71.56281407],0
p9,1,0.019504,5.455768,[37 19] ; [115  26],[43.20812183 12.79187817] ; [108.79187817  32.20812183],0
n4,1,0.019622,5.445252,[40 18] ; [118  23],[46.05025126 11.94974874] ; [111.94974874  29.05025126],0
r2,1,0.019687,5.439403,[50  7] ; [136   5],[53.54545455  3.45454545] ; [132.45454545   8.54545455],0
v3,1,0.025123,5.015406,[16 39] ; [64 73],[22.91666667 32.08333333] ; [57.08333333 79.91666667],0
a6,1,0.027983,4.829084,[17 41] ; [66 77],[23.95024876 34.04975124] ; [59.04975124 83.95024876],0
s7,1,0.053357,3.732696,[23 31] ; [79 57],[28.98947368 25.01052632] ; [73.01052632 62.98947368],0
p10,1,0.069971,3.28371,[38 18] ; [112  28],[42.85714286 13.14285714] ; [107.14285714  32.85714286],0
p8,1,0.102024,2.673611,[22 35] ; [72 68],[27.19796954 29.80203046] ; [66.80203046 73.19796954],0
r3,1,0.116919,2.458116,[51  7] ; [134   8],[53.65  4.35] ; [131.35  10.65],0
v2,1,0.134702,2.237466,[22 31] ; [75 65],[26.6373057 26.3626943] ; [70.3626943 69.6373057],0
a1,1,0.136732,2.214362,[ 1 57] ; [ 10 133],[ 3.17412935 54.82587065] ; [  7.82587065 135.17412935],0
u3,1,0.226969,1.459754,[17 12] ; [11 15],[14.76363636 14.23636364] ; [13.23636364 12.76363636],0
s5,1,0.230912,1.435238,[18 35] ; [60 78],[21.64397906 31.35602094] ; [56.35602094 81.64397906],0
d3,1,0.231067,1.43428,[23 35] ; [70 73],[26.8358209 31.1641791] ; [66.1641791 76.8358209],0
u1,1,0.267676,1.228616,[ 2 56] ; [ 11 132],[ 3.75124378 54.24875622] ; [  9.24875622 133.75124378],0
p7,1,0.281699,1.158873,[31 23] ; [92 48],[34.2371134 19.7628866] ; [88.7628866 51.2371134],0
v4,1,0.311639,1.023718,[51  6] ; [133   9],[52.70351759  4.29648241] ; [131.29648241  10.70351759],0
p1,1,0.324817,0.96945,[ 5 53] ; [  7 134],[ 3.49748744 54.50251256] ; [  8.50251256 132.49748744],0
s4,1,0.374244,0.789526,[13 45] ; [ 24 117],[10.7839196 47.2160804] ; [ 26.2160804 114.7839196],0
v1,1,0.421137,0.647139,[30 28] ; [80 58],[32.55102041 25.44897959] ; [77.44897959 60.55102041],0
s2,1,0.433219,0.614178,[25 32] ; [71 71],[27.49748744 29.50251256] ; [68.50251256 73.49748744],0
n5,1,0.449191,0.572693,[40 16] ; [108  33],[42.07106599 13.92893401] ; [105.92893401  35.07106599],0
s6,1,0.46127,0.542811,[34 21] ; [93 45],[36.19170984 18.80829016] ; [90.80829016 47.19170984],0
u4,1,0.503481,0.44759,[ 1 57] ; [  5 138],[ 1.73134328 56.26865672] ; [  4.26865672 138.73134328],0
n1,1,0.517557,0.418758,[ 9 10] ; [13 21],[ 7.88679245 11.11320755] ; [14.11320755 19.88679245],0
s1,1,0.548088,0.360753,[ 4 52] ; [  7 134],[ 3.12690355 52.87309645] ; [  7.87309645 133.12690355],0
p4,1,0.628369,0.234279,[30 25] ; [72 70],[28.47715736 26.52284264] ; [73.52284264 68.47715736],0
n2,1,0.69217,0.156746,[13  6] ; [25  9],[13.62264151  5.37735849] ; [24.37735849  9.62264151],0
b1,1,0.725733,0.123066,[26 32] ; [68 75],[27.12437811 30.87562189] ; [66.87562189 76.12437811],0
b4,1,0.747145,0.103946,[31 27] ; [80 63],[32.02985075 25.97014925] ; [78.97014925 64.02985075],0
a8,1,0.759673,0.093581,[ 6 49] ; [ 17 119],[ 6.62303665 48.37696335] ; [ 16.37696335 119.62303665],0
u2,1,0.846024,0.037711,[17 12] ; [14 11],[16.64814815 12.35185185] ; [14.35185185 10.64814815],0
s3,1,0.942674,0.005171,[33 24] ; [83 59],[33.22613065 23.77386935] ; [82.77386935 59.22613065],0
p5,1,0.945064,0.004748,[ 7 49] ; [ 17 123],[ 6.85714286 49.14285714] ; [ 17.14285714 122.85714286],0
p6,1,0.972583,0.001181,[19 36] ; [48 92],[18.8974359 36.1025641] ; [48.1025641 91.8974359],0
p12,1,0.989965,0.000158,[ 4 52] ; [ 10 129],[ 4.02051282 51.97948718] ; [  9.97948718 129.02051282],0
