Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,7.2e-05,15.752727,[26  7] ; [28 47],[16.5 16.5] ; [37.5 37.5],1
a5,1,0.00376,8.396319,[30  5] ; [47 34],[23.23275862 11.76724138] ; [53.76724138 27.23275862],0
p8,1,0.069712,3.289777,[19 15] ; [30 50],[14.61403509 19.38596491] ; [34.38596491 45.61403509],0
u3,1,0.093452,2.813875,[8 5] ; [23  4],[10.075  2.925] ; [20.925  6.075],0
a2,1,0.10417,2.640517,[ 3 32] ; [17 64],[ 6.03448276 28.96551724] ; [13.96551724 67.03448276],0
p5,1,0.1273,2.32513,[ 3 31] ; [ 2 79],[ 1.47826087 32.52173913] ; [ 3.52173913 77.47826087],0
b4,1,0.152601,2.046056,[24 11] ; [44 37],[20.51724138 14.48275862] ; [47.48275862 33.51724138],0
r1,1,0.161137,1.963528,[33  2] ; [68 12],[30.73913043  4.26086957] ; [70.26086957  9.73913043],0
b5,1,0.161348,1.961546,[19 16] ; [55 26],[22.32758621 12.67241379] ; [51.67241379 29.32758621],0
p12,1,0.161491,1.960207,[ 2 32] ; [ 1 78],[ 0.90265487 33.09734513] ; [ 2.09734513 76.90265487],0
a6,1,0.17006,1.882414,[21 14] ; [59 22],[24.13793103 10.86206897] ; [55.86206897 25.13793103],0
d2,1,0.172045,1.865035,[10 25] ; [34 47],[13.27586207 21.72413793] ; [30.72413793 50.27586207],0
p10,1,0.26301,1.252845,[24 10] ; [47 32],[21.36283186 12.63716814] ; [49.63716814 29.36283186],0
r2,1,0.277225,1.180645,[32  3] ; [78  3],[33.18965517  1.81034483] ; [76.81034483  4.18965517],0
n2,1,0.305724,1.04906,[7 1] ; [18  8],[5.88235294 2.11764706] ; [19.11764706  6.88235294],0
n4,1,0.311826,1.022928,[20 15] ; [38 43],[17.5 17.5] ; [40.5 40.5],0
s8,1,0.339054,0.914006,[14 21] ; [25 56],[11.76724138 23.23275862] ; [27.23275862 53.76724138],0
s2,1,0.364249,0.82319,[17 18] ; [32 49],[14.78448276 20.21551724] ; [34.21551724 46.78448276],0
