Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.020713,5.350791,[ 5 13] ; [17 10],[8.8 9.2] ; [13.2 13.8],0
p11,1,0.024136,5.084845,[23  8] ; [26 27],[18.08333333 12.91666667] ; [30.91666667 22.08333333],0
p10,1,0.074843,3.173482,[22  9] ; [26 25],[18.14634146 12.85365854] ; [29.85365854 21.14634146],0
a6,1,0.08009,3.063064,[19 12] ; [22 31],[15.13095238 15.86904762] ; [25.86904762 27.13095238],0
d4,1,0.095333,2.781932,[16 15] ; [37 16],[19.55952381 11.44047619] ; [33.44047619 19.55952381],0
v3,1,0.113367,2.50665,[ 2 28] ; [10 41],[ 4.44444444 25.55555556] ; [ 7.55555556 43.44444444],0
s5,1,0.126506,2.334859,[ 5 25] ; [17 36],[ 7.95180723 22.04819277] ; [14.04819277 38.95180723],0
a5,1,0.127603,2.321426,[17 14] ; [20 33],[13.6547619 17.3452381] ; [23.3452381 29.6547619],0
p9,1,0.143117,2.144118,[23  7] ; [31 20],[20. 10.] ; [34. 17.],0
d1,1,0.151241,2.05969,[ 7 24] ; [20 33],[ 9.96428571 21.03571429] ; [17.03571429 35.96428571],0
d3,1,0.154399,2.028245,[13 17] ; [31 21],[16.09756098 13.90243902] ; [27.90243902 24.09756098],0
b4,1,0.169543,1.886982,[20 11] ; [26 27],[16.97619048 14.02380952] ; [29.02380952 23.97619048],0
p1,1,0.187412,1.737845,[ 1 30] ; [ 6 46],[ 2.61445783 28.38554217] ; [ 4.38554217 47.61445783],0
s3,1,0.191467,1.706296,[15 16] ; [18 35],[12.17857143 18.82142857] ; [20.82142857 32.17857143],0
d5,1,0.214927,1.537925,[16 15] ; [34 18],[18.6746988 12.3253012] ; [31.3253012 20.6746988],0
r3,1,0.227634,1.455587,[23  8] ; [45  8],[25.0952381  5.9047619] ; [42.9047619 10.0952381],0
d2,1,0.328326,0.955488,[ 9 22] ; [21 32],[11.07142857 19.92857143] ; [18.92857143 34.07142857],0
a7,1,0.37574,0.784592,[16 15] ; [32 20],[17.92771084 13.07228916] ; [30.07228916 21.92771084],0
v4,1,0.409846,0.679249,[24  7] ; [44  8],[25.39759036  5.60240964] ; [42.60240964  9.39759036],0
a1,1,0.419231,0.652471,[ 1 30] ; [ 4 49],[ 1.8452381 29.1547619] ; [ 3.1547619 49.8452381],0
