Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.015297,5.881944,[ 2 10] ; [10  6],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
p7,1,0.023851,5.105455,[3 7] ; [12  4],[5.76923077 4.23076923] ; [9.23076923 6.76923077],0
p8,1,0.044685,4.030475,[4 7] ; [12  4],[6.51851852 4.48148148] ; [9.48148148 6.51851852],0
p9,1,0.054864,3.686201,[6 5] ; [14  2],[8.14814815 2.85185185] ; [11.85185185  4.14814815],0
d3,1,0.062942,3.45812,[4 8] ; [11  5],[6.42857143 5.57142857] ; [8.57142857 7.42857143],0
p10,1,0.079741,3.070175,[6 6] ; [13  3],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
n6,1,0.095045,2.786786,[7 5] ; [13  2],[8.88888889 3.11111111] ; [11.11111111  3.88888889],0
p6,1,0.128872,2.306043,[ 2 10] ; [7 9],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
d1,1,0.128872,2.306043,[ 2 10] ; [7 9],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
d4,1,0.151825,2.053819,[5 7] ; [11  5],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
d5,1,0.151825,2.053819,[5 7] ; [11  5],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
s5,1,0.171857,1.866667,[6 6] ; [ 4 12],[4.28571429 7.71428571] ; [ 5.71428571 10.28571429],0
p2,1,0.18367,1.767677,[8 4] ; [14  2],[9.42857143 2.57142857] ; [12.57142857  3.42857143],0
a5,1,0.184054,1.764583,[7 5] ; [13  3],[8.57142857 3.42857143] ; [11.42857143  4.57142857],0
v2,1,0.187039,1.740789,[ 2 10] ; [6 9],[3.55555556 8.44444444] ; [ 4.44444444 10.55555556],0
b2,1,0.200933,1.635577,[1 7] ; [5 8],[2.28571429 5.71428571] ; [3.71428571 9.28571429],0
b3,1,0.200933,1.635577,[1 7] ; [5 8],[2.28571429 5.71428571] ; [3.71428571 9.28571429],0
s6,1,0.309558,1.032561,[7 4] ; [7 9],[5.7037037 5.2962963] ; [8.2962963 7.7037037],0
b4,1,0.350045,0.873294,[7 5] ; [12  4],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
n2,1,0.360387,0.836543,[4 1] ; [5 4],[3.21428571 1.78571429] ; [5.78571429 3.21428571],0
a2,1,0.377822,0.777778,[ 2 10] ; [ 1 15],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
n5,1,0.377822,0.777778,[8 4] ; [13  3],[9. 3.] ; [12.  4.],0
b1,1,0.445009,0.583333,[5 7] ; [9 7],[6. 6.] ; [8. 8.],0
r4,1,0.48338,0.491228,[3 9] ; [ 6 10],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
b5,1,0.48338,0.491228,[9 3] ; [10  6],[8.14285714 3.85714286] ; [10.85714286  5.14285714],0
a4,1,0.48338,0.491228,[3 9] ; [ 6 10],[3.85714286 8.14285714] ; [ 5.14285714 10.85714286],0
a3,1,0.508332,0.4375,[6 6] ; [10  6],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
a6,1,0.508332,0.4375,[6 6] ; [10  6],[6.85714286 5.14285714] ; [9.14285714 6.85714286],0
u2,1,0.558185,0.342857,[3 3] ; [4 2],[3.5 2.5] ; [3.5 2.5],0
u3,1,0.558185,0.342857,[2 4] ; [3 3],[2.5 3.5] ; [2.5 3.5],0
n4,1,0.56917,0.324074,[7 5] ; [11  5],[7.71428571 4.28571429] ; [10.28571429  5.71428571],0
s2,1,0.57649,0.311943,[4 8] ; [7 9],[4.71428571 7.28571429] ; [6.28571429 9.71428571],0
n3,1,0.576999,0.311111,[3 2] ; [4 5],[2.5 2.5] ; [4.5 4.5],0
n1,1,0.576999,0.311111,[3 2] ; [4 5],[2.5 2.5] ; [4.5 4.5],0
v4,1,0.594853,0.282828,[10  2] ; [12  4],[9.42857143 2.57142857] ; [12.57142857  3.42857143],0
a7,1,0.66171,0.191453,[5 7] ; [8 8],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
s4,1,0.689995,0.159091,[3 9] ; [ 3 13],[2.57142857 9.42857143] ; [ 3.42857143 12.57142857],0
s1,1,0.724263,0.124444,[ 1 11] ; [ 2 14],[ 1.28571429 10.71428571] ; [ 1.71428571 14.28571429],0
d2,1,0.742787,0.107692,[6 6] ; [7 9],[5.57142857 6.42857143] ; [7.42857143 8.57142857],0
p1,1,0.755189,0.097222,[ 2 10] ; [ 2 14],[ 1.71428571 10.28571429] ; [ 2.28571429 13.71428571],0
s7,1,0.780914,0.077355,[5 6] ; [6 9],[4.65384615 6.34615385] ; [6.34615385 8.65384615],0
s8,1,0.824016,0.049454,[3 8] ; [ 5 11],[3.25925926 7.74074074] ; [ 4.74074074 11.25925926],0
v3,1,0.824653,0.049091,[ 2 10] ; [ 3 12],[2.22222222 9.77777778] ; [ 2.77777778 12.22222222],0
s3,1,0.850646,0.035455,[4 7] ; [6 9],[4.23076923 6.76923077] ; [5.76923077 9.23076923],0
v1,1,0.912219,0.012153,[5 7] ; [7 9],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
r1,1,0.912219,0.012153,[5 7] ; [7 9],[5.14285714 6.85714286] ; [6.85714286 9.14285714],0
p5,1,1.0,0.0,[3 9] ; [ 4 12],[3. 9.] ; [ 4. 12.],0
r2,1,1.0,0.0,[9 3] ; [12  4],[9. 3.] ; [12.  4.],0
