Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,4e-06,21.158402,[44  5] ; [2 7],[38.86206897 10.13793103] ; [7.13793103 1.86206897],1
v4,1,7.7e-05,15.625805,[46  3] ; [4 5],[42.24137931  6.75862069] ; [7.75862069 1.24137931],1
p2,1,0.003831,8.362223,[31 18] ; [1 8],[27.03448276 21.96551724] ; [4.96551724 4.03448276],0
r2,1,0.011981,6.313722,[48  1] ; [7 2],[46.46551724  2.53448276] ; [8.53448276 0.46551724],0
s6,1,0.012632,6.219949,[32 16] ; [2 7],[28.63157895 19.36842105] ; [5.36842105 3.63157895],0
s1,1,0.013032,6.164738,[ 1 47] ; [2 7],[ 2.52631579 45.47368421] ; [0.47368421 8.52631579],0
d4,1,0.01656,5.742439,[40  9] ; [4 5],[37.17241379 11.82758621] ; [6.82758621 2.17241379],0
n6,1,0.041102,4.171823,[38 11] ; [4 5],[35.48275862 13.51724138] ; [6.51724138 2.48275862],0
r1,1,0.041102,4.171823,[38 11] ; [4 5],[35.48275862 13.51724138] ; [6.51724138 2.48275862],0
s3,1,0.045033,4.017398,[27 19] ; [2 7],[24.25454545 21.74545455] ; [4.74545455 4.25454545],0
p11,1,0.069789,3.287982,[27 22] ; [2 7],[24.5 24.5] ; [4.5 4.5],0
v2,1,0.088437,2.902587,[30 17] ; [3 6],[27.69642857 19.30357143] ; [5.30357143 3.69642857],0
a3,1,0.108516,2.575701,[30 19] ; [8 1],[32.10344828 16.89655172] ; [5.89655172 3.10344828],0
a1,1,0.113713,2.501844,[ 3 46] ; [2 7],[ 4.22413793 44.77586207] ; [0.77586207 8.22413793],0
p4,1,0.124696,2.35732,[24 24] ; [2 7],[21.89473684 26.10526316] ; [4.10526316 4.89473684],0
d1,1,0.137917,2.201051,[24 25] ; [2 7],[21.96551724 27.03448276] ; [4.03448276 4.96551724],0
a7,1,0.147886,2.093925,[34 15] ; [4 5],[32.10344828 16.89655172] ; [5.89655172 3.10344828],0
n1,1,0.163165,1.944643,[5 9] ; [3 1],[6.22222222 7.77777778] ; [1.77777778 2.22222222],0
d5,1,0.166017,1.91855,[38 11] ; [5 4],[36.32758621 12.67241379] ; [6.67241379 2.32758621],0
p1,1,0.170465,1.878847,[ 1 48] ; [1 8],[ 1.68965517 47.31034483] ; [0.31034483 8.68965517],0
p7,1,0.209602,1.574175,[21 26] ; [2 7],[19.30357143 27.69642857] ; [3.69642857 5.30357143],0
b1,1,0.276609,1.183673,[23 26] ; [6 3],[24.5 24.5] ; [4.5 4.5],0
b2,1,0.283076,1.152263,[ 6 26] ; [2 3],[ 6.91891892 25.08108108] ; [1.08108108 3.91891892],0
b3,1,0.283076,1.152263,[ 6 26] ; [2 3],[ 6.91891892 25.08108108] ; [1.08108108 3.91891892],0
a5,1,0.290655,1.116585,[29 20] ; [7 2],[30.4137931 18.5862069] ; [5.5862069 3.4137931],0
s8,1,0.321772,0.981729,[19 29] ; [2 7],[17.68421053 30.31578947] ; [3.31578947 5.68421053],0
s7,1,0.326229,0.963809,[20 26] ; [2 6],[18.74074074 27.25925926] ; [3.25925926 4.74074074],0
b4,1,0.344109,0.895062,[35 14] ; [5 4],[33.79310345 15.20689655] ; [6.20689655 2.79310345],0
p8,1,0.356489,0.850223,[18 29] ; [2 7],[16.78571429 30.21428571] ; [3.21428571 5.78571429],0
n4,1,0.392741,0.730438,[39 10] ; [6 3],[38.01724138 10.98275862] ; [6.98275862 2.01724138],0
p6,1,0.395093,0.72321,[11 35] ; [1 8],[10.03636364 35.96363636] ; [1.96363636 7.03636364],0
p9,1,0.41814,0.655536,[17 30] ; [2 7],[15.94642857 31.05357143] ; [3.05357143 5.94642857],0
d3,1,0.49394,0.467932,[33 16] ; [5 4],[32.10344828 16.89655172] ; [5.89655172 3.10344828],0
b5,1,0.49394,0.467932,[33 16] ; [5 4],[32.10344828 16.89655172] ; [5.89655172 3.10344828],0
n3,1,0.569653,0.323264,[13  3] ; [2 1],[12.63157895  3.36842105] ; [2.36842105 0.63157895],0
n5,1,0.593888,0.284314,[28 21] ; [6 3],[28.72413793 20.27586207] ; [5.27586207 3.72413793],0
s2,1,0.606503,0.265299,[20 27] ; [3 6],[19.30357143 27.69642857] ; [3.69642857 5.30357143],0
a2,1,0.69527,0.153439,[14 35] ; [2 7],[13.51724138 35.48275862] ; [2.48275862 6.51724138],0
d2,1,0.716862,0.131519,[25 24] ; [4 5],[24.5 24.5] ; [4.5 4.5],0
p3,1,0.87116,0.026304,[15 34] ; [3 6],[15.20689655 33.79310345] ; [2.79310345 6.20689655],0
s4,1,0.907259,0.013571,[ 6 42] ; [1 8],[ 5.89473684 42.10526316] ; [1.10526316 7.89473684],0
a6,1,0.937089,0.00623,[32 17] ; [6 3],[32.10344828 16.89655172] ; [5.89655172 3.10344828],0
v1,1,0.969267,0.001484,[27 21] ; [5 4],[26.94736842 21.05263158] ; [5.05263158 3.94736842],0
a4,1,0.979939,0.000632,[22 27] ; [4 5],[21.96551724 27.03448276] ; [4.03448276 4.96551724],0
n2,1,1.0,0.0,[12  4] ; [3 1],[12.  4.] ; [3. 1.],0
