Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,49.344375,[268   8] ; [5 5],[263.45454545  12.54545455] ; [9.54545455 0.45454545],1
r2,1,0.001932,9.612648,[268   7] ; [8 2],[266.31578947   8.68421053] ; [9.68421053 0.31578947],0
n6,1,0.002827,8.915617,[245  27] ; [6 4],[242.09929078  29.90070922] ; [8.90070922 1.09929078],0
n2,1,0.002912,8.861538,[51  9] ; [1 3],[48.75 11.25] ; [3.25 0.75],0
s2,1,0.020762,5.346619,[201  73] ; [4 6],[197.78169014  76.21830986] ; [7.21830986 2.78169014],0
v1,1,0.035741,4.409428,[171 101] ; [3 7],[167.82978723 104.17021277] ; [6.17021277 3.82978723],0
n5,1,0.037731,4.317096,[214  60] ; [5 5],[211.28873239  62.71126761] ; [7.71126761 2.28873239],0
p9,1,0.037895,4.309709,[244  26] ; [7 3],[242.03571429  27.96428571] ; [8.96428571 1.03571429],0
v3,1,0.042605,4.110991,[123 149] ; [1 8],[120.02846975 151.97153025] ; [3.97153025 5.02846975],0
a4,1,0.059215,3.559245,[139 137] ; [2 8],[136.06993007 139.93006993] ; [4.93006993 5.06993007],0
s8,1,0.066734,3.361574,[162 112] ; [3 7],[159.19014085 114.80985915] ; [5.80985915 4.19014085],0
p7,1,0.073633,3.20011,[200  66] ; [5 5],[197.57246377  68.42753623] ; [7.42753623 2.57246377],0
d2,1,0.083432,2.99674,[143 131] ; [8 2],[145.68309859 128.31690141] ; [5.31690141 4.68309859],0
p10,1,0.085857,2.950384,[240  32] ; [7 3],[238.24113475  33.75886525] ; [8.75886525 1.24113475],0
a6,1,0.118188,2.44117,[176  98] ; [4 6],[173.66197183 100.33802817] ; [6.33802817 3.66197183],0
d3,1,0.123515,2.372178,[199  76] ; [5 5],[196.84210526  78.15789474] ; [7.15789474 2.84210526],0
p11,1,0.142299,2.152916,[219  57] ; [6 4],[217.13286713  58.86713287] ; [7.86713287 2.13286713],0
b1,1,0.154118,2.031014,[104 172] ; [6 4],[106.15384615 169.84615385] ; [3.84615385 6.15384615],0
r1,1,0.167727,1.903139,[235  39] ; [7 3],[233.47887324  40.52112676] ; [8.52112676 1.47887324],0
b2,1,0.176099,1.830245,[72 93] ; [6 3],[73.96551724 91.03448276] ; [4.03448276 4.96551724],0
b3,1,0.176099,1.830245,[72 93] ; [6 3],[73.96551724 91.03448276] ; [4.03448276 4.96551724],0
p2,1,0.182005,1.781177,[234  40] ; [7 3],[232.51408451  41.48591549] ; [8.48591549 1.51408451],0
n4,1,0.201395,1.63223,[212  62] ; [6 4],[210.32394366  63.67605634] ; [7.67605634 2.32394366],0
p4,1,0.21487,1.53831,[186  85] ; [5 5],[184.20284698  86.79715302] ; [6.79715302 3.20284698],0
b4,1,0.221879,1.492174,[168 108] ; [8 2],[169.84615385 106.15384615] ; [6.15384615 3.84615385],0
p8,1,0.369297,0.806028,[161 110] ; [4 5],[159.69642857 111.30357143] ; [5.30357143 3.69642857],0
b5,1,0.396388,0.719257,[148 128] ; [4 6],[146.68531469 129.31468531] ; [5.31468531 4.68531469],0
s6,1,0.4111,0.675616,[238  35] ; [7 2],[237.18085106  35.81914894] ; [7.81914894 1.18085106],0
v2,1,0.525541,0.403007,[162 108] ; [7 3],[162.96428571 107.03571429] ; [6.03571429 3.96428571],0
p3,1,0.55527,0.34796,[162 111] ; [5 5],[161.09893993 111.90106007] ; [5.90106007 4.09893993],0
a8,1,0.561619,0.336908,[ 34 217] ; [2 8],[ 34.62068966 216.37931034] ; [1.37931034 8.62068966],0
a7,1,0.571757,0.319752,[189  87] ; [6 4],[188.18181818  87.81818182] ; [6.81818182 3.18181818],0
d5,1,0.64427,0.2132,[232  42] ; [9 1],[232.51408451  41.48591549] ; [8.48591549 1.51408451],0
u3,1,0.671129,0.180285,[42 23] ; [1 1],[41.71641791 23.28358209] ; [1.28358209 0.71641791],0
s4,1,0.74679,0.104248,[ 69 202] ; [3 7],[ 69.43772242 201.56227758] ; [2.56227758 7.43772242],0
d1,1,0.752334,0.09958,[179  97] ; [6 4],[178.53146853  97.46853147] ; [6.46853147 3.53146853],0
d4,1,0.819948,0.051807,[240  34] ; [9 1],[240.23239437  33.76760563] ; [8.76760563 1.23239437],0
a3,1,0.824884,0.04896,[211  63] ; [8 2],[211.28873239  62.71126761] ; [7.71126761 2.28873239],0
n3,1,0.851596,0.035,[43 17] ; [2 1],[42.85714286 17.14285714] ; [2.14285714 0.85714286],0
p6,1,0.853763,0.033973,[127 143] ; [5 5],[127.28571429 142.71428571] ; [4.71428571 5.28571429],0
p1,1,0.870737,0.026479,[ 32 242] ; [1 9],[ 31.83802817 242.16197183] ; [1.16197183 8.83802817],0
p12,1,0.882901,0.021695,[ 35 239] ; [1 8],[ 34.85512367 239.14487633] ; [1.14487633 7.85512367],0
p5,1,0.929189,0.007897,[ 58 216] ; [2 8],[ 57.88732394 216.11267606] ; [2.11267606 7.88732394],0
n1,1,0.973827,0.001076,[29 30] ; [2 2],[29.03174603 29.96825397] ; [1.96825397 2.03174603],0
s7,1,0.981139,0.000559,[175  89] ; [6 3],[175.03296703  88.96703297] ; [5.96703297 3.03296703],0
a5,1,0.982133,0.000502,[220  56] ; [8 2],[220.02797203  55.97202797] ; [7.97202797 2.02797203],0
s3,1,0.992059,9.9e-05,[190  82] ; [7 3],[190.0141844  81.9858156] ; [6.9858156 3.0141844],0
