Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,29.462916,[29  5] ; [11 35],[17. 17.] ; [23. 23.],1
p11,1,0.001117,10.622053,[22 13] ; [13 35],[14.75903614 20.24096386] ; [20.24096386 27.75903614],0
p2,1,0.003512,8.520191,[23 12] ; [16 32],[16.44578313 18.55421687] ; [22.55421687 25.44578313],0
b4,1,0.008941,6.834667,[28  7] ; [25 23],[22.34939759 12.65060241] ; [30.65060241 17.34939759],0
r3,1,0.048925,3.877938,[22 12] ; [20 27],[17.62962963 16.37037037] ; [24.37037037 22.62962963],0
p8,1,0.05061,3.82114,[ 7 27] ; [ 3 45],[ 4.14634146 29.85365854] ; [ 5.85365854 42.14634146],0
n6,1,0.074843,3.173482,[25  9] ; [26 22],[21.14634146 12.85365854] ; [29.85365854 18.14634146],0
a7,1,0.079434,3.076454,[21 14] ; [19 28],[17.07317073 17.92682927] ; [22.92682927 24.07317073],0
a1,1,0.083687,2.991795,[ 2 33] ; [ 9 39],[ 4.63855422 30.36144578] ; [ 6.36144578 41.63855422],0
b5,1,0.085363,2.959719,[13 22] ; [27 21],[16.86746988 18.13253012] ; [23.13253012 24.86746988],0
b1,1,0.098994,2.72168,[14 21] ; [28 20],[17.71084337 17.28915663] ; [24.28915663 23.71084337],0
s8,1,0.121616,2.39638,[ 7 28] ; [ 4 44],[ 4.63855422 30.36144578] ; [ 6.36144578 41.63855422],0
p3,1,0.133588,2.250303,[ 9 26] ; [ 6 41],[ 6.40243902 28.59756098] ; [ 8.59756098 38.40243902],0
d4,1,0.195227,1.677727,[27  8] ; [30 17],[24.32926829 10.67073171] ; [32.67073171 14.32926829],0
n1,1,0.200782,1.636675,[6 7] ; [ 7 20],[4.225 8.775] ; [ 8.775 18.225],0
n2,1,0.217311,1.522039,[8 5] ; [11 16],[6.175 6.825] ; [12.825 14.175],0
a4,1,0.223679,1.480611,[11 24] ; [21 26],[13.65853659 21.34146341] ; [18.34146341 28.65853659],0
u3,1,0.23437,1.414141,[6 8] ; [ 5 16],[4.4 9.6] ; [ 6.6 14.4],0
v2,1,0.265112,1.241865,[ 9 25] ; [18 29],[11.33333333 22.66666667] ; [15.66666667 31.33333333],0
a6,1,0.27605,1.186434,[14 21] ; [25 23],[16.44578313 18.55421687] ; [22.55421687 25.44578313],0
a2,1,0.28276,1.153776,[ 3 32] ; [ 8 40],[ 4.63855422 30.36144578] ; [ 6.36144578 41.63855422],0
s4,1,0.28276,1.153776,[ 3 32] ; [ 8 40],[ 4.63855422 30.36144578] ; [ 6.36144578 41.63855422],0
v4,1,0.328048,0.956589,[22 13] ; [25 23],[19.81927711 15.18072289] ; [27.18072289 20.81927711],0
s7,1,0.34192,0.903221,[11 23] ; [10 34],[ 9.15384615 24.84615385] ; [11.84615385 32.15384615],0
n4,1,0.343818,0.896142,[19 16] ; [31 17],[21.08433735 13.91566265] ; [28.91566265 19.08433735],0
d2,1,0.370781,0.801044,[14 21] ; [23 23],[15.98765432 19.01234568] ; [21.01234568 24.98765432],0
