Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a1,1,0.001166,10.543729,[2 2] ; [ 3 57],[0.3125 3.6875] ; [ 4.6875 55.3125],0
r3,1,0.003991,8.288123,[2 2] ; [56  4],[3.625 0.375] ; [54.375  5.625],0
v4,1,0.004376,8.120874,[2 2] ; [55  4],[3.61904762 0.38095238] ; [53.38095238  5.61904762],0
p11,1,0.011927,6.321633,[1 3] ; [48 12],[3.0625 0.9375] ; [45.9375 14.0625],0
a7,1,0.033669,4.511441,[1 3] ; [44 15],[2.85714286 1.14285714] ; [42.14285714 16.85714286],0
r1,1,0.0405,4.196803,[1 3] ; [44 16],[2.8125 1.1875] ; [42.1875 17.8125],0
d5,1,0.067744,3.336864,[1 3] ; [41 18],[2.66666667 1.33333333] ; [39.33333333 19.66666667],0
s1,1,0.109599,2.56,[1 3] ; [ 3 57],[0.25 3.75] ; [ 3.75 56.25],0
b1,1,0.19319,1.693122,[3 1] ; [25 35],[1.75 2.25] ; [26.25 33.75],0
p4,1,0.203784,1.615042,[3 1] ; [25 34],[1.77777778 2.22222222] ; [26.22222222 32.77777778],0
b4,1,0.217998,1.517504,[1 3] ; [34 26],[2.1875 1.8125] ; [32.8125 27.1875],0
v2,1,0.242101,1.368321,[1 3] ; [32 26],[2.12903226 1.87096774] ; [30.87096774 27.12903226],0
b5,1,0.3017,1.066667,[3 1] ; [29 31],[2. 2.] ; [30. 30.],0
d1,1,0.332685,0.938416,[1 3] ; [30 30],[1.9375 2.0625] ; [29.0625 30.9375],0
v1,1,0.33319,0.936458,[3 1] ; [29 29],[2.06451613 1.93548387] ; [29.93548387 28.06451613],0
s3,1,0.35844,0.843353,[2 2] ; [43 17],[2.8125 1.1875] ; [42.1875 17.8125],0
n5,1,0.403395,0.698182,[2 2] ; [42 18],[2.75 1.25] ; [41.25 18.75],0
s7,1,0.460939,0.543614,[1 3] ; [25 32],[1.70491803 2.29508197] ; [24.29508197 32.70491803],0
p8,1,0.494617,0.466467,[1 3] ; [25 34],[1.65079365 2.34920635] ; [24.34920635 34.65079365],0
a4,1,0.496802,0.46176,[2 2] ; [20 40],[1.375 2.625] ; [20.625 39.375],0
s4,1,0.515763,0.422357,[1 3] ; [ 8 52],[0.5625 3.4375] ; [ 8.4375 51.5625],0
a3,1,0.544924,0.36649,[2 2] ; [39 21],[2.5625 1.4375] ; [38.4375 21.5625],0
d3,1,0.562481,0.335427,[2 2] ; [38 21],[2.53968254 1.46031746] ; [37.46031746 21.53968254],0
a5,1,0.593803,0.284444,[2 2] ; [38 22],[2.5 1.5] ; [37.5 22.5],0
p7,1,0.633519,0.227319,[3 1] ; [36 21],[2.55737705 1.44262295] ; [36.44262295 20.55737705],0
a6,1,0.643319,0.214427,[2 2] ; [37 23],[2.4375 1.5625] ; [36.5625 23.4375],0
b2,1,0.68583,0.163636,[1 2] ; [15 18],[1.33333333 1.66666667] ; [14.66666667 18.33333333],0
b3,1,0.68583,0.163636,[1 2] ; [15 18],[1.33333333 1.66666667] ; [14.66666667 18.33333333],0
p10,1,0.694419,0.154343,[3 1] ; [48 10],[3.29032258 0.70967742] ; [47.70967742 10.29032258],0
p6,1,0.76455,0.089707,[1 3] ; [19 40],[1.26984127 2.73015873] ; [18.73015873 40.26984127],0
d4,1,0.809817,0.057919,[3 1] ; [48 12],[3.1875 0.8125] ; [47.8125 12.1875],0
p2,1,0.837709,0.041953,[3 1] ; [46 12],[3.16129032 0.83870968] ; [45.83870968 12.16129032],0
p3,1,0.840656,0.040423,[2 2] ; [26 32],[1.80645161 2.19354839] ; [26.19354839 31.80645161],0
n6,1,0.851596,0.035,[2 1] ; [43 17],[2.14285714 0.85714286] ; [42.85714286 17.14285714],0
n4,1,0.885841,0.020612,[3 1] ; [43 17],[2.875 1.125] ; [43.125 16.875],0
p9,1,0.953935,0.003337,[3 1] ; [45 14],[3.04761905 0.95238095] ; [44.95238095 14.04761905],0
