Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.002492,9.146107,[13 62] ; [13 15],[18.93203883 56.06796117] ; [ 7.06796117 20.93203883],0
p2,1,0.002921,8.856397,[33 43] ; [22  7],[39.80952381 36.19047619] ; [15.19047619 13.80952381],0
n6,1,0.010213,6.597296,[35 40] ; [21  7],[40.77669903 34.22330097] ; [15.22330097 12.77669903],0
p7,1,0.012732,6.205929,[24 51] ; [17 12],[29.56730769 45.43269231] ; [11.43269231 17.56730769],0
n3,1,0.023739,5.113636,[15 18] ; [10  2],[18.33333333 14.66666667] ; [6.66666667 5.33333333],0
u2,1,0.036758,4.361603,[18 15] ; [ 3 11],[14.74468085 18.25531915] ; [6.25531915 7.74468085],0
a7,1,0.039145,4.254584,[37 37] ; [21  8],[41.66990291 32.33009709] ; [16.33009709 12.66990291],0
r4,1,0.040416,4.200318,[41 35] ; [22  7],[45.6 30.4] ; [17.4 11.6],0
p8,1,0.042536,4.113763,[13 63] ; [10 18],[16.80769231 59.19230769] ; [ 6.19230769 21.80769231],0
v2,1,0.083772,2.990166,[22 51] ; [14 15],[25.76470588 47.23529412] ; [10.23529412 18.76470588],0
v4,1,0.087538,2.91907,[51 22] ; [25  4],[54.39215686 18.60784314] ; [21.60784314  7.39215686],0
s7,1,0.088763,2.896668,[ 9 59] ; [ 8 21],[11.91752577 56.08247423] ; [ 5.08247423 23.91752577],0
u1,1,0.096081,2.769426,[ 5 71] ; [ 5 24],[ 7.23809524 68.76190476] ; [ 2.76190476 26.23809524],0
d4,1,0.133934,2.246303,[50 24] ; [15 14],[46.69902913 27.30097087] ; [18.30097087 10.69902913],0
n2,1,0.137893,2.201318,[17 19] ; [8 3],[19.14893617 16.85106383] ; [5.85106383 5.14893617],0
p6,1,0.139047,2.188472,[ 9 64] ; [ 7 22],[11.45098039 61.54901961] ; [ 4.54901961 24.45098039],0
b1,1,0.142198,2.154011,[35 41] ; [18 11],[38.36190476 37.63809524] ; [14.63809524 14.36190476],0
p10,1,0.162349,1.952206,[14 62] ; [ 9 20],[16.64761905 59.35238095] ; [ 6.35238095 22.64761905],0
u3,1,0.217298,1.522125,[15 18] ; [ 4 11],[13.0625 19.9375] ; [5.9375 9.0625],0
d3,1,0.219504,1.50761,[37 39] ; [18 11],[39.80952381 36.19047619] ; [15.19047619 13.80952381],0
s8,1,0.237733,1.393985,[ 5 71] ; [ 4 25],[ 6.51428571 69.48571429] ; [ 2.48571429 26.51428571],0
p1,1,0.246399,1.343604,[ 5 70] ; [ 4 25],[ 6.49038462 68.50961538] ; [ 2.50961538 26.49038462],0
s1,1,0.25539,1.293573,[ 5 69] ; [ 4 25],[ 6.46601942 67.53398058] ; [ 2.53398058 26.46601942],0
s2,1,0.258005,1.27943,[ 9 66] ; [ 6 23],[10.81730769 64.18269231] ; [ 4.18269231 24.81730769],0
b3,1,0.264731,1.243845,[16 24] ; [ 6 17],[13.96825397 26.03174603] ; [ 8.03174603 14.96825397],0
b2,1,0.264731,1.243845,[16 24] ; [ 6 17],[13.96825397 26.03174603] ; [ 8.03174603 14.96825397],0
r3,1,0.291602,1.112212,[51 23] ; [23  6],[53.16504854 20.83495146] ; [20.83495146  8.16504854],0
p11,1,0.338413,0.916433,[34 42] ; [16 13],[36.19047619 39.80952381] ; [13.80952381 15.19047619],0
s3,1,0.350788,0.870605,[19 56] ; [10 19],[20.91346154 54.08653846] ; [ 8.08653846 20.91346154],0
a3,1,0.405254,0.692682,[43 32] ; [14 15],[41.10576923 33.89423077] ; [15.89423077 13.10576923],0
r1,1,0.442145,0.590709,[50 25] ; [17 12],[48.31730769 26.68269231] ; [18.68269231 10.31730769],0
a5,1,0.45328,0.562437,[41 35] ; [18 11],[42.7047619 33.2952381] ; [16.2952381 12.7047619],0
v3,1,0.464074,0.536052,[15 57] ; [ 8 21],[16.3960396 55.6039604] ; [ 6.6039604 22.3960396],0
d1,1,0.475933,0.508167,[32 44] ; [10 19],[30.4 45.6] ; [11.6 17.4],0
d5,1,0.497049,0.461231,[47 29] ; [20  9],[48.4952381 27.5047619] ; [18.5047619 10.4952381],0
n1,1,0.503233,0.448113,[12 23] ; [5 6],[12.93478261 22.06521739] ; [4.06521739 6.93478261],0
