Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r2,1,1e-06,23.276852,[50  2] ; [12 12],[42.42105263  9.57894737] ; [19.57894737  4.42105263],1
r1,1,8.3e-05,15.481783,[36 16] ; [ 5 19],[28.05263158 23.94736842] ; [12.94736842 11.05263158],1
v4,1,0.000494,12.138918,[48  3] ; [15  9],[42.84  8.16] ; [20.16  3.84],1
b1,1,0.008677,6.888036,[20 32] ; [17  7],[25.31578947 26.68421053] ; [11.68421053 12.31578947],0
n2,1,0.009414,6.742475,[21  2] ; [7 6],[17.88888889  5.11111111] ; [10.11111111  2.88888889],0
s6,1,0.018804,5.519645,[27 23] ; [ 6 18],[22.2972973 27.7027027] ; [10.7027027 13.2972973],0
d1,1,0.031722,4.613442,[19 33] ; [ 3 21],[15.05263158 36.94736842] ; [ 6.94736842 17.05263158],0
p11,1,0.033412,4.524534,[37 15] ; [11 13],[32.84210526 19.15789474] ; [15.15789474  8.84210526],0
n3,1,0.06092,3.512149,[17  6] ; [5 7],[14.45714286  8.54285714] ; [7.54285714 4.45714286],0
d5,1,0.105335,2.622854,[32 20] ; [10 14],[28.73684211 23.26315789] ; [13.26315789 10.73684211],0
s8,1,0.109667,2.559017,[15 36] ; [ 3 21],[12.24 38.76] ; [ 5.76 18.24],0
u2,1,0.121827,2.393672,[14  9] ; [4 8],[11.82857143 11.17142857] ; [6.17142857 5.82857143],0
p6,1,0.18664,1.743944,[13 37] ; [ 3 21],[10.81081081 39.18918919] ; [ 5.18918919 18.81081081],0
p10,1,0.219159,1.509867,[29 22] ; [10 14],[26.52 24.48] ; [12.48 11.52],0
s3,1,0.228054,1.452955,[25 27] ; [ 8 16],[22.57894737 29.42105263] ; [10.42105263 13.57894737],0
a4,1,0.25021,1.32213,[20 32] ; [ 6 18],[17.78947368 34.21052632] ; [ 8.21052632 15.78947368],0
a5,1,0.252894,1.307248,[29 23] ; [10 14],[26.68421053 25.31578947] ; [12.31578947 11.68421053],0
v3,1,0.260265,1.267346,[ 9 40] ; [ 2 22],[ 7.38356164 41.61643836] ; [ 3.61643836 20.38356164],0
s5,1,0.271315,1.210084,[16 32] ; [ 5 19],[14. 34.] ; [ 7. 17.],0
p3,1,0.289314,1.122809,[17 35] ; [ 5 19],[15.05263158 36.94736842] ; [ 6.94736842 17.05263158],0
p7,1,0.291811,1.111249,[30 21] ; [11 13],[27.88 23.12] ; [13.12 10.88],0
d4,1,0.293622,1.102941,[36 15] ; [14 10],[34. 17.] ; [16.  8.],0
n5,1,0.295755,1.093238,[19 32] ; [12 12],[21.08 29.92] ; [ 9.92 14.08],0
s2,1,0.315829,1.00614,[21 30] ; [ 7 17],[19.04 31.96] ; [ 8.96 15.04],0
n6,1,0.343627,0.896853,[32 20] ; [12 12],[30.10526316 21.89473684] ; [13.89473684 10.10526316],0
d2,1,0.345996,0.888088,[21 31] ; [ 7 17],[19.15789474 32.84210526] ; [ 8.84210526 15.15789474],0
p9,1,0.391313,0.734858,[32 19] ; [12 11],[30.32432432 20.67567568] ; [13.67567568  9.32432432],0
p1,1,0.412894,0.670452,[ 5 47] ; [ 1 23],[ 4.10526316 47.89473684] ; [ 1.89473684 22.10526316],0
n1,1,0.413272,0.669369,[ 8 14] ; [ 3 10],[ 6.91428571 15.08571429] ; [4.08571429 8.91428571],0
s4,1,0.417729,0.656697,[13 39] ; [ 4 20],[11.63157895 40.36842105] ; [ 5.36842105 18.63157895],0
d3,1,0.456871,0.553549,[22 30] ; [ 8 16],[20.52631579 31.47368421] ; [ 9.47368421 14.52631579],0
b5,1,0.498838,0.457407,[26 26] ; [14 10],[27.36842105 24.63157895] ; [12.63157895 11.36842105],0
v2,1,0.522099,0.409746,[18 31] ; [ 7 17],[16.78082192 32.21917808] ; [ 8.21917808 15.78082192],0
b4,1,0.530717,0.393019,[30 22] ; [12 12],[28.73684211 23.26315789] ; [13.26315789 10.73684211],0
s7,1,0.556341,0.346079,[12 37] ; [ 4 18],[11.04225352 37.95774648] ; [ 4.95774648 17.04225352],0
a6,1,0.55639,0.345994,[21 31] ; [ 8 16],[19.84210526 32.15789474] ; [ 9.15789474 14.84210526],0
p5,1,0.580174,0.305953,[ 1 50] ; [ 1 23],[ 1.36 49.64] ; [ 0.64 23.36],0
b3,1,0.588571,0.292581,[ 7 21] ; [4 8],[ 7.7 20.3] ; [3.3 8.7],0
b2,1,0.588571,0.292581,[ 7 21] ; [4 8],[ 7.7 20.3] ; [3.3 8.7],0
p2,1,0.602262,0.271598,[27 25] ; [14 10],[28.05263158 23.94736842] ; [12.94736842 11.05263158],0
p8,1,0.638389,0.220855,[18 34] ; [ 7 17],[17.10526316 34.89473684] ; [ 7.89473684 16.10526316],0
a8,1,0.671873,0.179419,[ 3 47] ; [ 2 21],[ 3.42465753 46.57534247] ; [ 1.57534247 21.42465753],0
u3,1,0.728434,0.120554,[12 11] ; [7 5],[12.48571429 10.51428571] ; [6.51428571 5.48571429],0
s1,1,0.771184,0.08458,[ 3 49] ; [ 1 23],[ 2.73684211 49.26315789] ; [ 1.26315789 22.73684211],0
a3,1,0.773037,0.083177,[29 23] ; [12 11],[28.42666667 23.57333333] ; [12.57333333 10.42666667],0
p4,1,0.839828,0.04085,[20 31] ; [10 14],[20.4 30.6] ; [ 9.6 14.4],0
a1,1,0.857421,0.032277,[ 5 47] ; [ 2 22],[ 4.78947368 47.21052632] ; [ 2.21052632 21.78947368],0
v1,1,0.918572,0.010452,[21 31] ; [ 9 14],[20.8 31.2] ; [ 9.2 13.8],0
