Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,2e-06,23.05701,[21 39] ; [103  42],[36.29268293 23.70731707] ; [87.70731707 57.29268293],1
d3,1,1.4e-05,18.919098,[27 33] ; [110  34],[40.29411765 19.70588235] ; [96.70588235 47.29411765],1
r1,1,0.000387,12.592593,[35 25] ; [118  26],[45. 15.] ; [108.  36.],1
u1,1,0.000611,11.740715,[ 2 58] ; [ 34 112],[10.48543689 49.51456311] ; [ 25.51456311 120.48543689],1
a2,1,0.000625,11.700407,[ 5 55] ; [ 45 101],[14.5631068 45.4368932] ; [ 35.4368932 110.5631068],1
r2,1,0.002494,9.144738,[50  9] ; [140   5],[54.95098039  4.04901961] ; [135.04901961   9.95098039],0
r4,1,0.009338,6.757005,[42 18] ; [125  21],[48.6407767 11.3592233] ; [118.3592233  27.6407767],0
b1,1,0.012654,6.216818,[39 21] ; [67 79],[30.87378641 29.12621359] ; [75.12621359 70.87378641],0
d5,1,0.014791,5.941144,[42 18] ; [123  22],[48.29268293 11.70731707] ; [116.70731707  28.29268293],0
d1,1,0.041494,4.155717,[26 34] ; [86 60],[32.62135922 27.37864078] ; [79.37864078 66.62135922],0
a5,1,0.052498,3.759837,[33 27] ; [101  45],[39.02912621 20.97087379] ; [94.97087379 51.02912621],0
s6,1,0.08469,2.972522,[31 26] ; [97 47],[36.29850746 20.70149254] ; [91.70149254 52.29850746],0
b5,1,0.086033,2.947081,[34 26] ; [101  45],[39.32038835 20.67961165] ; [95.67961165 50.32038835],0
d4,1,0.09602,2.770437,[43 17] ; [119  26],[47.41463415 12.58536585] ; [114.58536585  30.41463415],0
a1,1,0.136372,2.218421,[ 5 55] ; [  5 141],[ 2.91262136 57.08737864] ; [  7.08737864 138.91262136],0
b4,1,0.139027,2.18869,[38 22] ; [76 70],[33.2038835 26.7961165] ; [80.7961165 65.2038835],0
s2,1,0.161394,1.961115,[25 35] ; [76 69],[29.56097561 30.43902439] ; [71.43902439 73.56097561],0
r3,1,0.165444,1.92375,[49 11] ; [128  16],[52.05882353  7.94117647] ; [124.94117647  19.05882353],0
p9,1,0.195175,1.678117,[33 24] ; [94 45],[36.93367347 20.06632653] ; [90.06632653 48.93367347],0
p10,1,0.201955,1.628183,[29 30] ; [82 57],[33.07575758 25.92424242] ; [77.92424242 61.07575758],0
s7,1,0.269781,1.217861,[21 32] ; [66 70],[24.3968254 28.6031746] ; [62.6031746 73.3968254],0
s4,1,0.281908,1.157871,[10 50] ; [ 34 111],[12.87804878 47.12195122] ; [ 31.12195122 113.87804878],0
p2,1,0.288758,1.125404,[37 22] ; [102  43],[40.20098039 18.79901961] ; [98.79901961 46.20098039],0
p1,1,0.335526,0.927451,[ 3 57] ; [ 13 132],[ 4.68292683 55.31707317] ; [ 11.31707317 133.68292683],0
u3,1,0.3388,0.914966,[11 12] ; [27 18],[12.85294118 10.14705882] ; [25.14705882 19.85294118],0
a4,1,0.366363,0.815964,[24 36] ; [68 77],[26.92682927 33.07317073] ; [65.07317073 79.92682927],0
v1,1,0.393524,0.728024,[23 36] ; [66 79],[25.74019608 33.25980392] ; [63.25980392 81.74019608],0
u2,1,0.39686,0.71782,[ 9 14] ; [22 22],[10.64179104 12.35820896] ; [20.35820896 23.64179104],0
a3,1,0.406135,0.690085,[37 22] ; [99 45],[39.5270936 19.4729064] ; [96.4729064 47.5270936],0
s3,1,0.411544,0.674337,[28 31] ; [78 67],[30.65686275 28.34313725] ; [75.34313725 69.65686275],0
p6,1,0.413534,0.668618,[15 44] ; [44 97],[17.405 41.595] ; [41.595 99.405],0
n3,1,0.41514,0.664033,[16  9] ; [38 14],[17.53246753  7.46753247] ; [36.46753247 15.53246753],0
p8,1,0.546857,0.362978,[22 37] ; [47 96],[20.15346535 38.84653465] ; [48.84653465 94.15346535],0
a8,1,0.598115,0.277848,[ 7 51] ; [ 12 114],[ 5.98913043 52.01086957] ; [ 13.01086957 112.98913043],0
s5,1,0.639062,0.21997,[20 37] ; [43 93],[18.60621762 38.39378238] ; [44.39378238 91.60621762],0
p12,1,0.65129,0.204278,[ 1 58] ; [  4 140],[ 1.45320197 57.54679803] ; [  3.54679803 140.45320197],0
v2,1,0.678038,0.172343,[27 33] ; [67 72],[28.34170854 31.65829146] ; [65.65829146 73.34170854],0
p4,1,0.685702,0.163777,[28 30] ; [65 79],[26.7029703 31.2970297] ; [66.2970297 77.7029703],0
v3,1,0.702193,0.1462,[20 36] ; [46 94],[18.85714286 37.14285714] ; [47.14285714 92.85714286],0
p7,1,0.717487,0.130914,[29 29] ; [67 75],[27.84 30.16] ; [68.16 73.84],0
n5,1,0.719073,0.129382,[37 22] ; [87 58],[35.8627451 23.1372549] ; [88.1372549 56.8627451],0
s1,1,0.767546,0.087371,[ 4 56] ; [  8 135],[ 3.54679803 56.45320197] ; [  8.45320197 134.54679803],0
b2,1,0.782942,0.075893,[10 22] ; [20 50],[ 9.41176471 22.58823529] ; [20.58823529 49.41176471],0
b3,1,0.782942,0.075893,[10 22] ; [20 50],[ 9.41176471 22.58823529] ; [20.58823529 49.41176471],0
n4,1,0.788058,0.072271,[37 22] ; [88 57],[36.15196078 22.84803922] ; [88.84803922 56.15196078],0
n2,1,0.823401,0.049806,[19  8] ; [36 17],[18.5625  8.4375] ; [36.4375 16.5625],0
p3,1,0.831404,0.045327,[22 37] ; [56 88],[22.66995074 36.33004926] ; [55.33004926 88.66995074],0
p5,1,0.831725,0.045152,[ 4 55] ; [ 11 133],[ 4.35960591 54.64039409] ; [ 10.64039409 133.35960591],0
u4,1,0.854466,0.033644,[ 1 59] ; [  3 143],[ 1.16504854 58.83495146] ; [  2.83495146 143.16504854],0
n6,1,0.859404,0.031376,[42 17] ; [105  40],[42.51470588 16.48529412] ; [104.48529412  40.51470588],0
d2,1,0.863248,0.029667,[31 29] ; [73 72],[30.43902439 29.56097561] ; [73.56097561 71.43902439],0
n1,1,0.895823,0.017145,[11 16] ; [20 31],[10.73076923 16.26923077] ; [20.26923077 30.73076923],0
s8,1,0.931557,0.007376,[22 37] ; [55 90],[22.26960784 36.73039216] ; [54.73039216 90.26960784],0
