Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1.9e-05,18.315915,[40 19] ; [117 193],[25.10298103 33.89701897] ; [131.89701897 178.10298103],1
s5,1,0.000461,12.267099,[24 30] ; [ 66 235],[13.69014085 40.30985915] ; [ 76.30985915 224.69014085],1
s6,1,0.001813,9.729399,[43 15] ; [160 148],[32.16939891 25.83060109] ; [170.83060109 137.16939891],0
s3,1,0.006253,7.475887,[40 19] ; [150 160],[30.37940379 28.62059621] ; [159.62059621 150.37940379],0
n4,1,0.008779,6.867298,[31 29] ; [215  96],[39.78436658 20.21563342] ; [206.21563342 104.78436658],0
s7,1,0.01111,6.447638,[31 28] ; [105 195],[22.35097493 36.64902507] ; [113.64902507 186.35097493],0
a2,1,0.01253,6.234331,[ 4 56] ; [ 63 249],[10.80645161 49.19354839] ; [ 56.19354839 255.80645161],0
p9,1,0.014981,5.918674,[52  6] ; [229  76],[44.89807163 13.10192837] ; [236.10192837  68.89807163],0
p10,1,0.016235,5.77729,[50  9] ; [213  94],[42.39617486 16.60382514] ; [220.60382514  86.39617486],0
r1,1,0.020854,5.338985,[38 22] ; [240  70],[45.08108108 14.91891892] ; [232.91891892  77.08108108],0
b2,1,0.086885,2.931162,[ 6 22] ; [ 66 107],[10.02985075 17.97014925] ; [ 61.97014925 111.02985075],0
b3,1,0.086885,2.931162,[ 6 22] ; [ 66 107],[10.02985075 17.97014925] ; [ 61.97014925 111.02985075],0
d1,1,0.088833,2.895403,[23 37] ; [157 155],[29.03225806 30.96774194] ; [150.96774194 161.03225806],0
a4,1,0.095233,2.783611,[17 43] ; [124 188],[22.74193548 37.25806452] ; [118.25806452 193.74193548],0
b1,1,0.099313,2.716541,[16 44] ; [118 194],[21.61290323 38.38709677] ; [112.38709677 199.61290323],0
a8,1,0.109064,2.567731,[ 4 50] ; [ 46 246],[ 7.80346821 46.19653179] ; [ 42.19653179 249.80346821],0
d2,1,0.115383,2.478904,[19 41] ; [132 178],[24.48648649 35.51351351] ; [126.51351351 183.48648649],0
n5,1,0.123429,2.373259,[32 28] ; [198 112],[37.2972973 22.7027027] ; [192.7027027 117.2972973],0
b4,1,0.127306,2.325048,[30 30] ; [189 123],[35.32258065 24.67741935] ; [183.67741935 128.32258065],0
d3,1,0.156122,2.011394,[41 18] ; [185 125],[36.13550136 22.86449864] ; [189.86449864 120.13550136],0
p2,1,0.189381,1.722429,[39 21] ; [228  83],[43.18059299 16.81940701] ; [223.81940701  87.18059299],0
p11,1,0.198371,1.654329,[40 20] ; [233  79],[44.03225806 15.96774194] ; [228.96774194  83.03225806],0
v4,1,0.204463,1.610204,[57  2] ; [284  25],[54.67119565  4.32880435] ; [286.32880435  22.67119565],0
a6,1,0.208339,1.582934,[35 25] ; [207 103],[39.24324324 20.75675676] ; [202.75675676 107.24324324],0
u3,1,0.217925,1.517983,[15  9] ; [49 52],[12.288 11.712] ; [51.712 49.288],0
d4,1,0.2222,1.490106,[44 16] ; [249  61],[47.51351351 12.48648649] ; [245.48648649  64.51351351],0
a3,1,0.224837,1.473226,[36 24] ; [211  99],[40.05405405 19.94594595] ; [206.94594595 103.05405405],0
p8,1,0.262821,1.253837,[16 42] ; [108 199],[19.70410959 38.29589041] ; [104.29589041 202.70410959],0
r2,1,0.272052,1.20637,[58  2] ; [285  22],[56.07629428  3.92370572] ; [286.92370572  20.07629428],0
a5,1,0.296633,1.08927,[35 25] ; [204 108],[38.5483871 21.4516129] ; [200.4516129 111.5483871],0
d5,1,0.299366,1.077017,[41 18] ; [236  75],[44.17027027 14.82972973] ; [232.82972973  78.17027027],0
s8,1,0.327779,0.957655,[24 36] ; [104 207],[20.70080863 39.29919137] ; [107.29919137 203.70080863],0
p6,1,0.369841,0.804198,[ 8 51] ; [ 56 248],[10.40220386 48.59779614] ; [ 53.59779614 250.40220386],0
a1,1,0.399845,0.708793,[ 1 59] ; [ 12 300],[ 2.09677419 57.90322581] ; [ 10.90322581 301.09677419],0
s1,1,0.402059,0.702161,[ 1 58] ; [ 12 296],[ 2.08991826 56.91008174] ; [ 10.91008174 297.08991826],0
n2,1,0.402349,0.701295,[17  4] ; [67 26],[15.47368421  5.52631579] ; [68.52631579 24.47368421],0
a7,1,0.464605,0.534778,[38 21] ; [216  96],[40.393531 18.606469] ; [213.606469  98.393531],0
u1,1,0.502434,0.449791,[ 6 54] ; [ 41 271],[ 7.58064516 52.41935484] ; [ 39.41935484 272.58064516],0
n3,1,0.528297,0.397667,[16  5] ; [63 28],[14.8125  6.1875] ; [64.1875 26.8125],0
p1,1,0.543845,0.368459,[ 2 58] ; [ 16 293],[ 2.92682927 57.07317073] ; [ 15.07317073 293.92682927],0
p7,1,0.54462,0.367043,[26 32] ; [148 153],[28.11142061 29.88857939] ; [145.88857939 155.11142061],0
v3,1,0.547687,0.361478,[18 41] ; [103 195],[19.99719888 39.00280112] ; [101.00280112 196.99719888],0
v1,1,0.582144,0.302782,[24 36] ; [132 169],[25.92797784 34.07202216] ; [130.07202216 170.92797784],0
p3,1,0.593353,0.285138,[12 48] ; [ 72 239],[13.58490566 46.41509434] ; [ 70.41509434 240.58490566],0
n1,1,0.62942,0.232848,[ 6 15] ; [31 60],[ 6.9375 14.0625] ; [30.0625 60.9375],0
u2,1,0.82419,0.049355,[12 12] ; [52 47],[12.48780488 11.51219512] ; [51.51219512 47.48780488],0
v2,1,0.824267,0.04931,[29 27] ; [157 137],[29.76 26.24] ; [156.24 137.76],0
r4,1,0.857483,0.032249,[53  7] ; [273  39],[52.58064516  7.41935484] ; [273.41935484  38.58064516],0
p12,1,0.860828,0.030737,[ 3 56] ; [ 14 293],[ 2.74043716 56.25956284] ; [ 14.25956284 292.74043716],0
b5,1,0.977436,0.0008,[38 22] ; [197 115],[37.90322581 22.09677419] ; [197.09677419 114.90322581],0
