Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2e-06,23.08435,[50 17] ; [31 56],[35.24025974 31.75974026] ; [45.75974026 41.24025974],1
a8,1,0.003504,8.524227,[10 52] ; [ 2 79],[ 5.2027972 56.7972028] ; [ 6.7972028 74.2027972],0
p3,1,0.007274,7.204111,[16 50] ; [39 47],[23.88157895 42.11842105] ; [31.11842105 54.88157895],0
r3,1,0.061548,3.495181,[53 13] ; [79  8],[56.94117647  9.05882353] ; [75.05882353 11.94117647],0
r4,1,0.065892,3.382513,[48 19] ; [73 14],[52.64285714 14.35714286] ; [68.35714286 18.64285714],0
a6,1,0.072287,3.230308,[50 16] ; [54 33],[44.8627451 21.1372549] ; [59.1372549 27.8627451],0
d4,1,0.075746,3.15389,[45 20] ; [71 16],[49.60526316 15.39473684] ; [66.39473684 20.60526316],0
r1,1,0.100143,2.703264,[46 21] ; [69 17],[50.35947712 16.64052288] ; [64.64052288 21.35947712],0
b1,1,0.117989,2.443815,[37 30] ; [37 50],[32.19480519 34.80519481] ; [41.80519481 45.19480519],0
s4,1,0.123007,2.378613,[ 7 60] ; [17 70],[10.44155844 56.55844156] ; [13.55844156 73.44155844],0
p7,1,0.126482,2.335157,[33 29] ; [34 50],[28.45205479 33.54794521] ; [38.54794521 45.45205479],0
a1,1,0.148649,2.086057,[ 6 61] ; [ 3 84],[ 3.91558442 63.08441558] ; [ 5.08441558 81.91558442],0
p9,1,0.153838,2.033779,[47 18] ; [52 33],[42.9 22.1] ; [56.1 28.9],0
n1,1,0.199676,1.644741,[12 11] ; [10 19],[ 9.73076923 13.26923077] ; [12.26923077 16.73076923],0
p1,1,0.228505,1.450142,[ 4 63] ; [10 76],[ 6.13071895 60.86928105] ; [ 7.86928105 78.13071895],0
u3,1,0.254213,1.3,[12  8] ; [24  8],[13.84615385  6.15384615] ; [22.15384615  9.84615385],0
p5,1,0.270861,1.212383,[ 5 61] ; [ 3 82],[ 3.49668874 62.50331126] ; [ 4.50331126 80.49668874],0
a4,1,0.28118,1.161379,[28 39] ; [29 58],[24.7987013 42.2012987] ; [32.2012987 54.7987013],0
a3,1,0.29539,1.094892,[47 20] ; [54 33],[43.94155844 23.05844156] ; [57.05844156 29.94155844],0
b4,1,0.297945,1.08337,[36 31] ; [54 33],[39.15584416 27.84415584] ; [50.84415584 36.15584416],0
s5,1,0.312852,1.018597,[11 54] ; [19 61],[13.44827586 51.55172414] ; [16.55172414 63.44827586],0
v1,1,0.31615,1.004808,[31 34] ; [34 52],[27.98013245 37.01986755] ; [37.01986755 48.98013245],0
s1,1,0.31669,1.002567,[ 2 61] ; [ 6 81],[ 3.36 59.64] ; [ 4.64 82.36],0
n2,1,0.356204,0.851232,[20  5] ; [20  9],[18.51851852  6.48148148] ; [21.48148148  7.51851852],0
p12,1,0.416211,0.660989,[ 2 63] ; [ 1 83],[ 1.30872483 63.69127517] ; [ 1.69127517 82.30872483],0
p8,1,0.449899,0.570907,[21 43] ; [33 52],[23.19463087 40.80536913] ; [30.80536913 54.19463087],0
p6,1,0.452334,0.564796,[15 47] ; [16 68],[13.16438356 48.83561644] ; [17.83561644 66.16438356],0
