Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,8e-06,19.853281,[11 51] ; [44 37],[23.84615385 38.15384615] ; [31.15384615 49.84615385],1
r4,1,4.8e-05,16.535379,[37 25] ; [72  9],[47.25874126 14.74125874] ; [61.74125874 19.25874126],1
a5,1,0.0001,15.145247,[21 41] ; [54 27],[32.51748252 29.48251748] ; [42.48251748 38.51748252],1
v4,1,0.000256,13.368889,[44 16] ; [77  4],[51.4893617  8.5106383] ; [69.5106383 11.4893617],1
r1,1,0.00026,13.340715,[30 32] ; [63 18],[40.32167832 21.67832168] ; [52.67832168 28.32167832],1
v2,1,0.00066,11.599624,[15 41] ; [45 35],[24.70588235 31.29411765] ; [35.29411765 44.70588235],1
r2,1,0.00086,11.107495,[45 16] ; [76  5],[51.97887324  9.02112676] ; [69.02112676 11.97887324],1
s2,1,0.00319,8.695613,[18 43] ; [43 36],[26.57857143 34.42142857] ; [34.42142857 44.57857143],0
p10,1,0.003527,8.512631,[38 22] ; [67 12],[45.32374101 14.67625899] ; [59.67625899 19.32374101],0
v3,1,0.003845,8.355556,[12 48] ; [35 46],[20. 40.] ; [27. 54.],0
n2,1,0.005053,7.860432,[13 10] ; [18  1],[16.97619048  6.02380952] ; [14.02380952  4.97619048],0
r3,1,0.006871,7.306481,[45 17] ; [72  8],[51.08450704 10.91549296] ; [65.91549296 14.08450704],0
a6,1,0.009972,6.639925,[28 34] ; [54 27],[35.55244755 26.44755245] ; [46.44755245 34.55244755],0
s3,1,0.01045,6.556565,[25 36] ; [49 29],[32.47482014 28.52517986] ; [41.52517986 36.47482014],0
p11,1,0.012323,6.263773,[38 24] ; [65 16],[44.65734266 17.34265734] ; [58.34265734 22.65734266],0
p6,1,0.012353,6.259556,[13 48] ; [33 47],[19.90070922 41.09929078] ; [26.09929078 53.90070922],0
a3,1,0.015928,5.810811,[25 37] ; [48 31],[32.09929078 29.90070922] ; [40.90070922 38.09929078],0
d4,1,0.018496,5.548511,[21 40] ; [44 37],[27.92253521 33.07746479] ; [37.07746479 43.92253521],0
a4,1,0.026352,4.932805,[ 8 53] ; [23 57],[13.41134752 47.58865248] ; [17.58865248 62.41134752],0
v1,1,0.028152,4.818707,[23 39] ; [44 35],[29.46099291 32.53900709] ; [37.53900709 41.46099291],0
p4,1,0.036343,4.380921,[22 40] ; [42 37],[28.14184397 33.85815603] ; [35.85815603 43.14184397],0
s6,1,0.04366,4.069655,[29 32] ; [51 28],[34.85714286 26.14285714] ; [45.14285714 33.85714286],0
a2,1,0.051265,3.799599,[ 2 60] ; [10 71],[ 5.2027972 56.7972028] ; [ 6.7972028 74.2027972],0
n3,1,0.054994,3.682254,[11 11] ; [15  4],[13.95121951  8.04878049] ; [12.04878049  6.95121951],0
u3,1,0.059921,3.539565,[13 24] ; [19 14],[16.91428571 20.08571429] ; [15.08571429 17.91428571],0
p7,1,0.069534,3.293986,[27 35] ; [46 32],[32.32857143 29.67142857] ; [40.67142857 37.32857143],0
p2,1,0.07553,3.158555,[37 25] ; [59 21],[41.91549296 20.08450704] ; [54.08450704 25.91549296],0
p3,1,0.098498,2.729693,[18 44] ; [34 46],[22.70422535 39.29577465] ; [29.29577465 50.70422535],0
p8,1,0.110986,2.540122,[27 35] ; [44 33],[31.66906475 30.33093525] ; [39.33093525 37.66906475],0
s7,1,0.11334,2.507015,[23 37] ; [39 36],[27.55555556 32.44444444] ; [34.44444444 40.55555556],0
b5,1,0.126903,2.329991,[28 34] ; [47 34],[32.51748252 29.48251748] ; [42.48251748 38.51748252],0
p9,1,0.130687,2.284324,[42 18] ; [64 15],[45.75539568 14.24460432] ; [60.24460432 18.75539568],0
n6,1,0.141712,2.159266,[46 15] ; [69 12],[49.40140845 11.59859155] ; [65.59859155 15.40140845],0
n1,1,0.162305,1.952617,[ 9 14] ; [11  7],[11.2195122 11.7804878] ; [8.7804878 9.2195122],0
b1,1,0.181522,1.785122,[33 29] ; [34 47],[29.04895105 32.95104895] ; [37.95104895 43.04895105],0
s5,1,0.191058,1.70944,[13 47] ; [25 54],[16.4028777 43.5971223] ; [21.5971223 57.4028777],0
d1,1,0.376823,0.781042,[ 3 59] ; [ 7 74],[ 4.33566434 57.66433566] ; [ 5.66433566 75.33566434],0
b4,1,0.383828,0.758405,[33 29] ; [49 32],[35.55244755 26.44755245] ; [46.44755245 34.55244755],0
p5,1,0.403713,0.69724,[ 7 54] ; [13 66],[ 8.71428571 52.28571429] ; [11.28571429 67.71428571],0
b3,1,0.406648,0.688579,[15 27] ; [20 25],[16.89655172 25.10344828] ; [18.10344828 26.89655172],0
b2,1,0.406648,0.688579,[15 27] ; [20 25],[16.89655172 25.10344828] ; [18.10344828 26.89655172],0
u1,1,0.418275,0.655158,[ 2 60] ; [ 5 76],[ 3.03496503 58.96503497] ; [ 3.96503497 77.03496503],0
u2,1,0.448206,0.575184,[14 23] ; [15 17],[15.55072464 21.44927536] ; [13.44927536 18.55072464],0
d2,1,0.507164,0.439915,[20 42] ; [22 59],[18.20979021 43.79020979] ; [23.79020979 57.20979021],0
a8,1,0.599321,0.276022,[ 6 52] ; [10 65],[ 6.97744361 51.02255639] ; [ 9.02255639 65.97744361],0
s1,1,0.650587,0.205161,[ 5 55] ; [ 5 74],[ 4.31654676 55.68345324] ; [ 5.68345324 73.31654676],0
n4,1,0.680672,0.16937,[48 14] ; [65 16],[48.99300699 13.00699301] ; [64.00699301 16.99300699],0
a1,1,0.737262,0.112548,[ 3 59] ; [ 3 78],[ 2.6013986 59.3986014] ; [ 3.3986014 77.6013986],0
s4,1,0.776832,0.080344,[12 50] ; [14 66],[11.35211268 50.64788732] ; [14.64788732 65.35211268],0
p1,1,0.77702,0.080205,[ 9 53] ; [13 67],[ 9.6056338 52.3943662] ; [12.3943662 67.6056338],0
p12,1,0.867863,0.02768,[ 6 56] ; [ 7 72],[ 5.71631206 56.28368794] ; [ 7.28368794 71.71631206],0
s8,1,0.934542,0.006746,[20 42] ; [26 53],[20.22695035 41.77304965] ; [25.77304965 53.22695035],0
