Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n6,1,8.9e-05,15.358124,[24  7] ; [11 26],[15.95588235 15.04411765] ; [19.04411765 17.95588235],1
r3,1,0.000174,14.096421,[26  4] ; [16 22],[18.52941176 11.47058824] ; [23.47058824 14.52941176],1
p9,1,0.000574,11.858951,[21  8] ; [11 26],[14.06060606 14.93939394] ; [17.93939394 19.06060606],1
p10,1,0.001285,10.363465,[19 11] ; [ 9 28],[12.53731343 17.46268657] ; [15.46268657 21.53731343],0
v2,1,0.002071,9.485832,[18 13] ; [ 8 29],[11.85294118 19.14705882] ; [14.14705882 22.85294118],0
s8,1,0.003253,8.659682,[10 21] ; [ 2 36],[ 5.39130435 25.60869565] ; [ 6.60869565 31.39130435],0
p2,1,0.003415,8.571173,[19 12] ; [10 28],[13.02898551 17.97101449] ; [15.97101449 22.02898551],0
p8,1,0.046342,3.969105,[10 20] ; [ 5 33],[ 6.61764706 23.38235294] ; [ 8.38235294 29.61764706],0
d4,1,0.087018,2.928693,[24  7] ; [22 16],[20.66666667 10.33333333] ; [25.33333333 12.66666667],0
s6,1,0.099443,2.714448,[13 17] ; [ 9 28],[ 9.85074627 20.14925373] ; [12.14925373 24.85074627],0
d5,1,0.12057,2.409896,[22  9] ; [20 18],[18.86956522 12.13043478] ; [23.13043478 14.86956522],0
s7,1,0.125982,2.341326,[10 19] ; [ 6 28],[ 7.36507937 21.63492063] ; [ 8.63492063 25.36507937],0
b2,1,0.14062,2.171166,[ 5 15] ; [12 14],[ 7.39130435 12.60869565] ; [ 9.60869565 16.39130435],0
b3,1,0.14062,2.171166,[ 5 15] ; [12 14],[ 7.39130435 12.60869565] ; [ 9.60869565 16.39130435],0
u3,1,0.141442,2.162206,[3 9] ; [ 1 16],[ 1.65517241 10.34482759] ; [ 2.34482759 14.65517241],0
s1,1,0.145272,2.12121,[ 1 30] ; [ 5 33],[ 2.69565217 28.30434783] ; [ 3.30434783 34.69565217],0
d1,1,0.154731,2.024982,[15 16] ; [12 26],[12.13043478 18.86956522] ; [14.86956522 23.13043478],0
b4,1,0.180548,1.793104,[22  9] ; [21 17],[19.31884058 11.68115942] ; [23.68115942 14.31884058],0
p1,1,0.228152,1.452344,[ 2 29] ; [ 6 32],[ 3.5942029 27.4057971] ; [ 4.4057971 33.5942029],0
s3,1,0.234469,1.413542,[14 16] ; [12 25],[11.64179104 18.35820896] ; [14.35820896 22.64179104],0
n4,1,0.259844,1.269588,[18 13] ; [27 11],[20.2173913 10.7826087] ; [24.7826087 13.2173913],0
p7,1,0.282546,1.154801,[11 20] ; [ 9 29],[ 8.98550725 22.01449275] ; [11.01449275 26.98550725],0
r4,1,0.282546,1.154801,[11 20] ; [ 9 29],[ 8.98550725 22.01449275] ; [11.01449275 26.98550725],0
b1,1,0.313282,1.016788,[15 16] ; [23 15],[17.07246377 13.92753623] ; [20.92753623 17.07246377],0
p6,1,0.328651,0.954208,[ 7 24] ; [ 5 32],[ 5.47058824 25.52941176] ; [ 6.52941176 30.47058824],0
n2,1,0.338939,0.91444,[6 3] ; [ 9 10],[4.82142857 4.17857143] ; [10.17857143  8.82142857],0
