Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,5e-06,20.877682,[30 83] ; [17  5],[39.34074074 73.65925926] ; [ 7.65925926 14.34074074],1
b1,1,0.003471,8.541728,[52 65] ; [ 3 21],[45.63829787 71.36170213] ; [ 9.36170213 14.63829787],0
r1,1,0.015438,5.865732,[66 50] ; [20  4],[71.25714286 44.74285714] ; [14.74285714  9.25714286],0
p12,1,0.020736,5.348848,[  1 116] ; [ 2 22],[  2.4893617 114.5106383] ; [ 0.5106383 23.4893617],0
u2,1,0.026703,4.909897,[27 32] ; [7 1],[29.94029851 29.05970149] ; [4.05970149 3.94029851],0
p3,1,0.074467,3.181705,[28 89] ; [10 14],[31.53191489 85.46808511] ; [ 6.46808511 17.53191489],0
p6,1,0.076251,3.143052,[29 88] ; [ 2 22],[25.72340426 91.27659574] ; [ 5.27659574 18.72340426],0
r2,1,0.0901,2.872594,[96 21] ; [23  1],[98.74468085 18.25531915] ; [20.25531915  3.74468085],0
a5,1,0.090793,2.860262,[51 66] ; [15  9],[54.76595745 62.23404255] ; [11.23404255 12.76595745],0
r4,1,0.093005,2.821583,[83 34] ; [21  3],[86.29787234 30.70212766] ; [17.70212766  6.29787234],0
a3,1,0.108941,2.569516,[57 60] ; [16  8],[60.57446809 56.42553191] ; [12.42553191 11.57446809],0
s6,1,0.144493,2.129442,[54 63] ; [15  9],[57.25531915 59.74468085] ; [11.74468085 12.25531915],0
p8,1,0.149576,2.076567,[44 71] ; [13 11],[47.15827338 67.84172662] ; [ 9.84172662 14.15827338],0
p5,1,0.167275,1.907195,[  3 113] ; [ 2 22],[  4.14285714 111.85714286] ; [ 0.85714286 23.14285714],0
s4,1,0.168724,1.894248,[28 89] ; [ 9 15],[30.70212766 86.29787234] ; [ 6.29787234 17.70212766],0
s5,1,0.180657,1.792208,[25 90] ; [ 8 15],[27.5 87.5] ; [ 5.5 17.5],0
v4,1,0.188753,1.727326,[100  16] ; [23  1],[101.91428571  14.08571429] ; [21.08571429  2.91428571],0
r3,1,0.192531,1.698142,[101  16] ; [23  1],[102.89361702  14.10638298] ; [21.10638298  2.89361702],0
b4,1,0.192788,1.696179,[61 56] ; [16  8],[63.89361702 53.10638298] ; [13.10638298 10.89361702],0
s3,1,0.206503,1.595772,[47 70] ; [13 11],[49.78723404 67.21276596] ; [10.21276596 13.78723404],0
p10,1,0.233992,1.416427,[67 49] ; [17  7],[69.6 46.4] ; [14.4  9.6],0
a7,1,0.249,1.328908,[78 38] ; [19  5],[80.37142857 35.62857143] ; [16.62857143  7.37142857],0
b5,1,0.258357,1.277537,[73 44] ; [12 12],[70.53191489 46.46808511] ; [14.46808511  9.53191489],0
p9,1,0.267513,1.229455,[71 44] ; [17  6],[73.33333333 41.66666667] ; [14.66666667  8.33333333],0
d4,1,0.317491,0.999255,[80 36] ; [19  5],[82.02857143 33.97142857] ; [16.97142857  7.02857143],0
d5,1,0.328639,0.954252,[75 41] ; [18  6],[77.05714286 38.94285714] ; [15.94285714  8.05714286],0
a2,1,0.346094,0.887729,[  8 109] ; [ 3 21],[  9.12765957 107.87234043] ; [ 1.87234043 22.12765957],0
p7,1,0.434744,0.610115,[56 57] ; [14 10],[57.73722628 55.26277372] ; [12.26277372 11.73722628],0
p11,1,0.451661,0.56648,[73 44] ; [13 11],[71.36170213 45.63829787] ; [14.63829787  9.36170213],0
n5,1,0.456101,0.555447,[38 78] ; [ 6 18],[36.45714286 79.54285714] ; [ 7.54285714 16.45714286],0
p2,1,0.465025,0.533773,[82 35] ; [15  9],[80.4893617 36.5106383] ; [16.5106383  7.4893617],0
p4,1,0.521625,0.41068,[45 71] ; [11 13],[46.4 69.6] ; [ 9.6 14.4],0
d1,1,0.60759,0.2637,[47 70] ; [11 13],[48.12765957 68.87234043] ; [ 9.87234043 14.12765957],0
d2,1,0.634535,0.225962,[40 77] ; [ 7 17],[39. 78.] ; [ 8. 16.],0
n2,1,0.640055,0.21867,[28 20] ; [6 3],[28.63157895 19.36842105] ; [5.36842105 3.63157895],0
a6,1,0.663619,0.189158,[69 48] ; [13 11],[68.04255319 48.95744681] ; [13.95744681 10.04255319],0
s7,1,0.728907,0.120118,[25 85] ; [ 6 17],[25.63909774 84.36090226] ; [ 5.36090226 17.63909774],0
d3,1,0.767197,0.087642,[73 42] ; [16  8],[73.63309353 41.36690647] ; [15.36690647  8.63309353],0
a4,1,0.767269,0.087586,[26 91] ; [ 6 18],[26.55319149 90.44680851] ; [ 5.44680851 18.55319149],0
u1,1,0.79484,0.067616,[  8 109] ; [ 2 22],[  8.29787234 108.70212766] ; [ 1.70212766 22.29787234],0
u3,1,0.817635,0.053171,[31 28] ; [4 3],[31.28787879 27.71212121] ; [3.71212121 3.28787879],0
s1,1,0.856793,0.032565,[  4 113] ; [ 1 23],[  4.14893617 112.85106383] ; [ 0.85106383 23.14893617],0
p1,1,0.856793,0.032565,[  4 113] ; [ 1 23],[  4.14893617 112.85106383] ; [ 0.85106383 23.14893617],0
s8,1,0.911255,0.012422,[28 89] ; [ 6 18],[28.21276596 88.78723404] ; [ 5.78723404 18.21276596],0
b3,1,0.921585,0.00969,[12 43] ; [ 3 10],[12.13235294 42.86764706] ; [ 2.86764706 10.13235294],0
b2,1,0.921585,0.00969,[12 43] ; [ 3 10],[12.13235294 42.86764706] ; [ 2.86764706 10.13235294],0
n6,1,0.944852,0.004785,[74 43] ; [15  9],[73.85106383 43.14893617] ; [15.14893617  8.85106383],0
s2,1,0.968268,0.001582,[43 73] ; [ 9 15],[43.08571429 72.91428571] ; [ 8.91428571 15.08571429],0
n3,1,1.0,0.0,[32 16] ; [6 3],[32. 16.] ; [6. 3.],0
