Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,55.127696,[155   7] ; [4 8],[148.03448276  13.96551724] ; [10.96551724  1.03448276],1
s1,1,0.0,28.295613,[  3 157] ; [4 8],[  6.51162791 153.48837209] ; [ 0.48837209 11.51162791],1
p2,1,3e-06,21.853276,[150  12] ; [6 6],[145.24137931  16.75862069] ; [10.75862069  1.24137931],1
n5,1,0.000229,13.573158,[136  25] ; [5 7],[131.21965318  29.78034682] ; [9.78034682 2.21965318],1
b1,1,0.014256,6.006127,[63 99] ; [9 3],[67.03448276 94.96551724] ; [4.96551724 7.03448276],0
d1,1,0.022075,5.239899,[118  44] ; [5 7],[114.51724138  47.48275862] ; [8.48275862 3.51724138],0
p7,1,0.022202,5.229906,[133  28] ; [6 5],[130.11046512  30.88953488] ; [8.88953488 2.11046512],0
n4,1,0.03213,4.591558,[134  27] ; [7 5],[131.21965318  29.78034682] ; [9.78034682 2.21965318],0
p6,1,0.039719,4.229848,[95 66] ; [3 8],[91.73255814 69.26744186] ; [6.26744186 4.73255814],0
v2,1,0.052526,3.758934,[106  56] ; [4 7],[103.00578035  58.99421965] ; [6.99421965 4.00578035],0
r1,1,0.053801,3.718856,[140  21] ; [8 4],[137.73410405  23.26589595] ; [10.26589595  1.73410405],0
a7,1,0.063976,3.43118,[110  52] ; [5 7],[107.06896552  54.93103448] ; [7.93103448 4.06896552],0
n6,1,0.068883,3.30945,[146  14] ; [9 3],[144.18604651  15.81395349] ; [10.81395349  1.18604651],0
a5,1,0.077302,3.120741,[139  23] ; [8 4],[136.86206897  25.13793103] ; [10.13793103  1.86206897],0
p4,1,0.092083,2.837573,[138  24] ; [8 4],[135.93103448  26.06896552] ; [10.06896552  1.93103448],0
p8,1,0.11466,2.488791,[116  46] ; [6 6],[113.5862069  48.4137931] ; [8.4137931 3.5862069],0
d3,1,0.141398,2.162678,[125  37] ; [7 5],[122.89655172  39.10344828] ; [9.10344828 2.89655172],0
p11,1,0.145429,2.119558,[135  27] ; [8 4],[133.13793103  28.86206897] ; [9.86206897 2.13793103],0
a3,1,0.148947,2.082998,[134  27] ; [8 4],[132.15028902  28.84971098] ; [9.84971098 2.15028902],0
s8,1,0.20039,1.639531,[98 64] ; [5 7],[95.89655172 66.10344828] ; [7.10344828 4.89655172],0
v1,1,0.27518,1.19074,[105  55] ; [6 6],[103.25581395  56.74418605] ; [7.74418605 4.25581395],0
b3,1,0.28526,1.141859,[44 55] ; [2 6],[42.56074766 56.43925234] ; [3.43925234 4.56074766],0
b2,1,0.28526,1.141859,[44 55] ; [2 6],[42.56074766 56.43925234] ; [3.43925234 4.56074766],0
d2,1,0.351116,0.86942,[90 72] ; [5 7],[88.44827586 73.55172414] ; [6.55172414 5.44827586],0
p5,1,0.358904,0.841723,[ 47 115] ; [ 2 10],[ 45.62068966 116.37931034] ; [3.37931034 8.62068966],0
b4,1,0.359135,0.840916,[100  62] ; [9 3],[101.48275862  60.51724138] ; [7.51724138 4.48275862],0
d4,1,0.409299,0.680835,[146  15] ; [10  2],[145.17919075  15.82080925] ; [10.82080925  1.17919075],0
r2,1,0.430977,0.620188,[156   6] ; [11  1],[155.48275862   6.51724138] ; [11.51724138  0.48275862],0
s4,1,0.4311,0.619859,[ 37 122] ; [4 8],[ 38.12280702 120.87719298] ; [2.87719298 9.12280702],0
n3,1,0.447521,0.576923,[18  8] ; [2 2],[17.33333333  8.66666667] ; [2.66666667 1.33333333],0
u2,1,0.580912,0.304762,[18 10] ; [2 2],[17.5 10.5] ; [2.5 1.5],0
s3,1,0.600459,0.274304,[109  52] ; [9 3],[109.8150289  51.1849711] ; [8.1849711 3.8150289],0
r4,1,0.608373,0.262551,[154   8] ; [11  1],[153.62068966   8.37931034] ; [11.37931034  0.62068966],0
v3,1,0.63578,0.224304,[78 82] ; [5 7],[77.20930233 82.79069767] ; [5.79069767 6.20930233],0
s6,1,0.676811,0.173737,[140  20] ; [10  2],[139.53488372  20.46511628] ; [10.46511628  1.53488372],0
s7,1,0.682552,0.167267,[105  46] ; [7 4],[104.39506173  46.60493827] ; [7.60493827 3.39506173],0
s2,1,0.68971,0.1594,[116  45] ; [8 4],[115.39884393  45.60115607] ; [8.60115607 3.39884393],0
a4,1,0.694561,0.154192,[85 77] ; [7 5],[85.65517241 76.34482759] ; [6.34482759 5.65517241],0
d5,1,0.721375,0.127179,[140  21] ; [10  2],[139.59537572  21.40462428] ; [10.40462428  1.59537572],0
a2,1,0.766952,0.087832,[ 47 115] ; [3 9],[ 46.55172414 115.44827586] ; [3.44827586 8.55172414],0
n1,1,0.772561,0.083536,[15 11] ; [2 2],[14.73333333 11.26666667] ; [2.26666667 1.73333333],0
b5,1,0.868757,0.027303,[85 77] ; [6 6],[84.72413793 77.27586207] ; [6.27586207 5.72413793],0
u1,1,0.906886,0.013681,[ 43 119] ; [3 9],[ 42.82758621 119.17241379] ; [3.17241379 8.82758621],0
a1,1,0.969746,0.001438,[ 13 149] ; [ 1 11],[ 13.03448276 148.96551724] ; [ 0.96551724 11.03448276],0
a6,1,0.988307,0.000215,[107  54] ; [8 4],[107.02312139  53.97687861] ; [7.97687861 4.02312139],0
u3,1,1.0,0.0,[21  7] ; [3 1],[21.  7.] ; [3. 1.],0
