Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,2e-06,22.679649,[2 9] ; [42  6],[8.20338983 2.79661017] ; [35.79661017 12.20338983],1
p11,1,0.002153,9.413898,[4 7] ; [40  9],[8.06666667 2.93333333] ; [35.93333333 13.06666667],0
p2,1,0.007731,7.094757,[5 6] ; [40  8],[8.38983051 2.61016949] ; [36.61016949 11.38983051],0
s8,1,0.020583,5.361781,[ 1 10] ; [23 26],[4.4 6.6] ; [19.6 29.4],0
n5,1,0.020683,5.353348,[5 6] ; [39 10],[8.06666667 2.93333333] ; [35.93333333 13.06666667],0
p8,1,0.022313,5.221217,[2 9] ; [26 20],[5.40350877 5.59649123] ; [22.59649123 23.40350877],0
n6,1,0.028106,4.821565,[7 4] ; [44  5],[9.35 1.65] ; [41.65  7.35],0
d5,1,0.034078,4.490768,[6 5] ; [41  8],[8.61666667 2.38333333] ; [38.38333333 10.61666667],0
p4,1,0.036128,4.391058,[2 9] ; [25 22],[5.12068966 5.87931034] ; [21.87931034 25.12068966],0
s3,1,0.041785,4.143911,[2 9] ; [25 23],[5.03389831 5.96610169] ; [21.96610169 26.03389831],0
s7,1,0.041785,4.143911,[2 9] ; [25 23],[5.03389831 5.96610169] ; [21.96610169 26.03389831],0
v1,1,0.045122,4.014079,[4 7] ; [33 15],[6.89830508 4.10169492] ; [30.10169492 17.89830508],0
a6,1,0.047883,3.914095,[9 2] ; [24 25],[6.05 4.95] ; [26.95 22.05],0
p6,1,0.04891,3.878433,[2 9] ; [23 22],[4.91071429 6.08928571] ; [20.08928571 24.91071429],0
d1,1,0.055219,3.675457,[3 8] ; [29 20],[5.86666667 5.13333333] ; [26.13333333 22.86666667],0
r4,1,0.071067,3.258209,[5 6] ; [36 13],[7.51666667 3.48333333] ; [33.48333333 15.51666667],0
p7,1,0.085701,2.953326,[4 7] ; [31 17],[6.52542373 4.47457627] ; [28.47457627 19.52542373],0
n4,1,0.087238,2.924608,[7 4] ; [42  7],[8.98333333 2.01666667] ; [40.01666667  8.98333333],0
s2,1,0.102152,2.671614,[2 9] ; [22 27],[4.4 6.6] ; [19.6 29.4],0
r3,1,0.132337,2.264878,[8 3] ; [44  5],[9.53333333 1.46666667] ; [42.46666667  6.53333333],0
p3,1,0.137187,2.20923,[3 8] ; [25 23],[5.22033898 5.77966102] ; [22.77966102 25.22033898],0
a7,1,0.159193,1.981873,[9 2] ; [29 20],[6.96666667 4.03333333] ; [31.03333333 17.96666667],0
a5,1,0.169186,1.890144,[4 7] ; [29 20],[6.05 4.95] ; [26.95 22.05],0
d3,1,0.195637,1.674652,[9 2] ; [30 19],[7.15 3.85] ; [31.85 17.15],0
s6,1,0.211684,1.559874,[5 6] ; [29 15],[6.8 4.2] ; [27.2 16.8],0
v4,1,0.29627,1.090909,[8 3] ; [42  7],[9.16666667 1.83333333] ; [40.83333333  8.16666667],0
v2,1,0.297041,1.08743,[6 5] ; [34 14],[7.45762712 3.54237288] ; [32.54237288 15.45762712],0
b2,1,0.345033,0.891641,[1 3] ; [16 16],[1.88888889 2.11111111] ; [15.11111111 16.88888889],0
b3,1,0.345033,0.891641,[1 3] ; [16 16],[1.88888889 2.11111111] ; [15.11111111 16.88888889],0
n2,1,0.416793,0.659341,[4 1] ; [9 6],[3.25 1.75] ; [9.75 5.25],0
b1,1,0.421149,0.647108,[5 6] ; [16 33],[3.85 7.15] ; [17.15 31.85],0
d4,1,0.455639,0.556586,[10  1] ; [40  9],[9.16666667 1.83333333] ; [40.83333333  8.16666667],0
b4,1,0.503319,0.447932,[6 5] ; [32 17],[6.96666667 4.03333333] ; [31.03333333 17.96666667],0
a4,1,0.552125,0.353524,[3 8] ; [18 31],[3.85 7.15] ; [17.15 31.85],0
n3,1,0.573138,0.31746,[3 2] ; [11  4],[3.5 1.5] ; [10.5  4.5],0
n1,1,0.580543,0.305357,[1 3] ; [6 9],[1.47368421 2.52631579] ; [5.52631579 9.47368421],0
r2,1,0.600653,0.274012,[9 2] ; [43  6],[9.53333333 1.46666667] ; [42.46666667  6.53333333],0
s4,1,0.600653,0.274012,[2 9] ; [ 6 43],[1.46666667 9.53333333] ; [ 6.53333333 42.46666667],0
a2,1,0.646932,0.20979,[ 1 10] ; [ 7 42],[1.46666667 9.53333333] ; [ 6.53333333 42.46666667],0
b5,1,0.785301,0.074212,[7 4] ; [29 20],[6.6 4.4] ; [29.4 19.6],0
d2,1,0.928947,0.007951,[5 6] ; [23 26],[5.13333333 5.86666667] ; [22.86666667 26.13333333],0
a3,1,0.931163,0.007462,[8 3] ; [35 14],[7.88333333 3.11666667] ; [35.11666667 13.88333333],0
u3,1,0.93758,0.006133,[1 2] ; [5 9],[1.05882353 1.94117647] ; [4.94117647 9.05882353],0
u2,1,1.0,0.0,[1 1] ; [7 7],[1. 1.] ; [7. 7.],0
