Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.00053,12.008417,[10  1] ; [ 9 21],[5.09756098 5.90243902] ; [13.90243902 16.09756098],1
s6,1,0.006476,7.412864,[6 5] ; [ 4 26],[2.68292683 8.31707317] ; [ 7.31707317 22.68292683],0
p11,1,0.007805,7.077722,[7 4] ; [ 6 24],[3.48780488 7.51219512] ; [ 9.51219512 20.48780488],0
n5,1,0.013874,6.054078,[3 8] ; [21  9],[6.43902439 4.56097561] ; [17.56097561 12.43902439],0
d1,1,0.024319,5.071732,[8 3] ; [10 20],[4.82926829 6.17073171] ; [13.17073171 16.82926829],0
s7,1,0.043924,4.059471,[5 6] ; [ 4 23],[2.60526316 8.39473684] ; [ 6.39473684 20.60526316],0
d5,1,0.044482,4.038179,[9 2] ; [14 16],[6.17073171 4.82926829] ; [16.82926829 13.17073171],0
r4,1,0.046837,3.951222,[4 7] ; [ 3 27],[1.87804878 9.12195122] ; [ 5.12195122 24.87804878],0
p4,1,0.046837,3.951222,[4 7] ; [ 3 27],[1.87804878 9.12195122] ; [ 5.12195122 24.87804878],0
d4,1,0.059504,3.551149,[10  1] ; [18 12],[7.51219512 3.48780488] ; [20.48780488  9.51219512],0
s5,1,0.074015,3.19165,[3 8] ; [ 2 28],[1.34146341 9.65853659] ; [ 3.65853659 26.34146341],0
r1,1,0.09533,2.781979,[6 5] ; [ 8 22],[3.75609756 7.24390244] ; [10.24390244 19.75609756],0
n3,1,0.096731,2.758636,[4 1] ; [ 6 10],[2.38095238 2.61904762] ; [7.61904762 8.38095238],0
b2,1,0.19319,1.693122,[2 7] ; [10 11],[3.6 5.4] ; [ 8.4 12.6],0
b3,1,0.19319,1.693122,[2 7] ; [10 11],[3.6 5.4] ; [ 8.4 12.6],0
a6,1,0.193855,1.688076,[3 8] ; [15 15],[4.82926829 6.17073171] ; [13.17073171 16.82926829],0
n2,1,0.221099,1.497222,[4 2] ; [ 6 10],[2.72727273 3.27272727] ; [7.27272727 8.72727273],0
d2,1,0.230204,1.439601,[8 3] ; [15 14],[6.325 4.675] ; [16.675 12.325],0
s8,1,0.270896,1.212203,[2 9] ; [ 2 28],[1.07317073 9.92682927] ; [ 2.92682927 27.07317073],0
s3,1,0.281325,1.160678,[5 6] ; [ 8 21],[3.575 7.425] ; [ 9.425 19.575],0
p1,1,0.307917,1.039589,[ 1 10] ; [ 7 23],[2.14634146 8.85365854] ; [ 5.85365854 24.14634146],0
a3,1,0.311564,1.024033,[8 3] ; [16 13],[6.6 4.4] ; [17.4 11.6],0
n4,1,0.355168,0.854906,[6 5] ; [21  9],[7.24390244 3.75609756] ; [19.75609756 10.24390244],0
v1,1,0.36131,0.833333,[3 7] ; [ 5 25],[2. 8.] ; [ 6. 24.],0
a4,1,0.393231,0.728926,[5 6] ; [ 9 20],[3.85 7.15] ; [10.15 18.85],0
b5,1,0.405676,0.691436,[6 5] ; [12 18],[4.82926829 6.17073171] ; [13.17073171 16.82926829],0
s1,1,0.410778,0.676547,[ 1 10] ; [ 6 24],[1.87804878 9.12195122] ; [ 5.12195122 24.87804878],0
u3,1,0.432246,0.61678,[1 2] ; [ 2 12],[0.52941176 2.47058824] ; [ 2.47058824 11.52941176],0
a5,1,0.437857,0.601892,[7 4] ; [15 15],[5.90243902 5.09756098] ; [16.09756098 13.90243902],0
p3,1,0.447686,0.576504,[3 8] ; [ 5 25],[2.14634146 8.85365854] ; [ 5.85365854 24.14634146],0
u1,1,0.448271,0.575019,[ 1 10] ; [ 1 29],[ 0.53658537 10.46341463] ; [ 1.46341463 28.53658537],0
b4,1,0.453472,0.561958,[8 3] ; [18 12],[6.97560976 4.02439024] ; [19.02439024 10.97560976],0
p6,1,0.464694,0.534565,[ 1 10] ; [ 1 28],[ 0.55 10.45] ; [ 1.45 27.55],0
n1,1,0.484423,0.488889,[4 2] ; [8 8],[3.27272727 2.72727273] ; [8.72727273 7.27272727],0
d3,1,0.609283,0.26122,[5 6] ; [11 19],[4.29268293 6.70731707] ; [11.70731707 18.29268293],0
