Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.015887,5.815385,[5 2] ; [34  1],[6.5 0.5] ; [32.5  2.5],0
a7,1,0.030754,4.666667,[2 5] ; [25 10],[4.5 2.5] ; [22.5 12.5],0
s7,1,0.040641,4.190929,[1 5] ; [21 13],[3.3 2.7] ; [18.7 15.3],0
r1,1,0.041315,4.16305,[3 4] ; [28  7],[5.16666667 1.83333333] ; [25.83333333  9.16666667],0
s8,1,0.044963,4.020018,[1 6] ; [19 15],[3.41463415 3.58536585] ; [16.58536585 17.41463415],0
s3,1,0.071488,3.248513,[1 6] ; [18 17],[3.16666667 3.83333333] ; [15.83333333 19.16666667],0
d3,1,0.100599,2.696021,[3 4] ; [26  9],[4.83333333 2.16666667] ; [24.16666667 10.83333333],0
a8,1,0.102287,2.669519,[2 4] ; [ 3 30],[0.76923077 5.23076923] ; [ 4.23076923 28.76923077],0
s2,1,0.155318,2.019231,[1 6] ; [15 20],[2.66666667 4.33333333] ; [13.33333333 21.66666667],0
v1,1,0.176287,1.828648,[3 4] ; [23 10],[4.55 2.45] ; [21.45 11.55],0
a5,1,0.194924,1.68,[4 3] ; [28  7],[5.33333333 1.66666667] ; [26.66666667  8.33333333],0
d4,1,0.236724,1.4,[5 2] ; [31  4],[6. 1.] ; [30.  5.],0
s6,1,0.31786,0.997732,[6 1] ; [22 11],[4.9 2.1] ; [23.1  9.9],0
p8,1,0.43825,0.600861,[3 4] ; [20 14],[3.92682927 3.07317073] ; [19.07317073 14.92682927],0
p2,1,0.482096,0.494118,[5 2] ; [29  6],[5.66666667 1.33333333] ; [28.33333333  6.66666667],0
d5,1,0.482096,0.494118,[5 2] ; [29  6],[5.66666667 1.33333333] ; [28.33333333  6.66666667],0
b5,1,0.488174,0.480549,[3 4] ; [20 15],[3.83333333 3.16666667] ; [19.16666667 15.83333333],0
d1,1,0.558185,0.342857,[4 3] ; [24 11],[4.66666667 2.33333333] ; [23.33333333 11.66666667],0
p1,1,0.613893,0.254545,[2 5] ; [ 7 28],[1.5 5.5] ; [ 7.5 27.5],0
p11,1,0.613893,0.254545,[6 1] ; [27  8],[5.5 1.5] ; [27.5  7.5],0
p9,1,0.657388,0.196712,[6 1] ; [31  3],[6.31707317 0.68292683] ; [30.68292683  3.31707317],0
a4,1,0.665706,0.186667,[2 5] ; [13 22],[2.5 4.5] ; [12.5 22.5],0
p3,1,0.665706,0.186667,[4 3] ; [23 12],[4.5 2.5] ; [22.5 12.5],0
v3,1,0.677318,0.17316,[3 4] ; [17 16],[3.5 3.5] ; [16.5 16.5],0
v2,1,0.677318,0.17316,[3 4] ; [17 16],[3.5 3.5] ; [16.5 16.5],0
b1,1,0.678845,0.171429,[4 3] ; [17 18],[3.5 3.5] ; [17.5 17.5],0
n5,1,0.725238,0.123529,[6 1] ; [28  7],[5.66666667 1.33333333] ; [28.33333333  6.66666667],0
b2,1,0.743421,0.107143,[2 3] ; [12 13],[2.33333333 2.66666667] ; [11.66666667 13.33333333],0
b3,1,0.743421,0.107143,[2 3] ; [12 13],[2.33333333 2.66666667] ; [11.66666667 13.33333333],0
u3,1,0.793428,0.068571,[1 1] ; [6 4],[1.16666667 0.83333333] ; [5.83333333 4.16666667],0
u2,1,0.793428,0.068571,[1 1] ; [6 4],[1.16666667 0.83333333] ; [5.83333333 4.16666667],0
p7,1,0.839128,0.041213,[4 3] ; [18 16],[3.75609756 3.24390244] ; [18.24390244 15.75609756],0
n4,1,0.8531,0.034286,[6 1] ; [29  6],[5.83333333 1.16666667] ; [29.16666667  5.83333333],0
s5,1,0.865103,0.02886,[4 3] ; [20 13],[4.2 2.8] ; [19.8 13.2],0
n3,1,0.886508,0.02037,[1 1] ; [5 4],[1.09090909 0.90909091] ; [4.90909091 4.09090909],0
d2,1,0.888196,0.019765,[4 3] ; [21 14],[4.16666667 2.83333333] ; [20.83333333 14.16666667],0
b4,1,0.888196,0.019765,[4 3] ; [21 14],[4.16666667 2.83333333] ; [20.83333333 14.16666667],0
a6,1,0.888196,0.019765,[4 3] ; [21 14],[4.16666667 2.83333333] ; [20.83333333 14.16666667],0
p4,1,0.909048,0.013051,[5 2] ; [25  9],[5.12195122 1.87804878] ; [24.87804878  9.12195122],0
p10,1,0.977151,0.00082,[6 1] ; [29  5],[5.97560976 1.02439024] ; [29.02439024  4.97560976],0
r4,1,1.0,0.0,[6 1] ; [30  5],[6. 1.] ; [30.  5.],0
r3,1,1.0,0.0,[6 1] ; [30  5],[6. 1.] ; [30.  5.],0
a3,1,1.0,0.0,[5 2] ; [25 10],[5. 2.] ; [25. 10.],0
