Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,0.0,62.232798,[425 101] ; [85 85],[385.43103448 140.56896552] ; [124.56896552  45.43103448],1
d2,1,0.0,60.37068,[306 220] ; [ 41 130],[261.86800574 264.13199426] ; [85.13199426 85.86800574],1
d1,1,0.0,59.707601,[363 164] ; [ 61 110],[320.1260745 206.8739255] ; [103.8739255  67.1260745],1
a4,1,0.0,50.463317,[277 248] ; [ 37 134],[236.85344828 288.14655172] ; [77.14655172 93.85344828],1
u1,1,0.0,29.065432,[122 405] ; [  8 163],[ 98.15186246 428.84813754] ; [ 31.84813754 139.15186246],1
r1,1,1e-06,23.984234,[470  54] ; [127  43],[450.76080692  73.23919308] ; [146.23919308  23.76080692],1
d4,1,3e-06,21.538913,[460  66] ; [123  47],[440.60057471  85.39942529] ; [142.39942529  27.60057471],1
d5,1,3e-06,21.538913,[460  66] ; [123  47],[440.60057471  85.39942529] ; [142.39942529  27.60057471],1
n4,1,7e-06,20.257327,[439  86] ; [115  55],[418.48920863 106.51079137] ; [135.51079137  34.48920863],1
a6,1,2.7e-05,17.585406,[393 133] ; [99 72],[371.29411765 154.70588235] ; [120.70588235  50.29411765],1
d3,1,0.001237,10.434041,[396 131] ; [106  64],[379.56097561 147.43902439] ; [122.43902439  47.56097561],0
p10,1,0.002619,9.055632,[455  68] ; [130  38],[442.77134588  80.22865412] ; [142.22865412  25.77134588],0
s8,1,0.003343,8.610335,[257 266] ; [ 62 109],[240.39913545 282.60086455] ; [78.60086455 92.39913545],0
v2,1,0.003503,8.524836,[311 200] ; [77 84],[295.04166667 215.95833333] ; [92.95833333 68.04166667],0
v1,1,0.003596,8.477079,[308 209] ; [77 88],[291.85483871 225.14516129] ; [93.14516129 71.85483871],0
p3,1,0.004708,7.988305,[296 230] ; [75 96],[279.97991392 246.02008608] ; [91.02008608 79.97991392],0
p4,1,0.005371,7.750077,[355 170] ; [95 75],[339.92805755 185.07194245] ; [110.07194245  59.92805755],0
s7,1,0.006061,7.531967,[270 235] ; [67 96],[254.76796407 250.23203593] ; [82.23203593 80.76796407],0
b3,1,0.006158,7.503428,[134 186] ; [25 70],[122.60240964 197.39759036] ; [36.39759036 58.60240964],0
b2,1,0.006158,7.503428,[134 186] ; [25 70],[122.60240964 197.39759036] ; [36.39759036 58.60240964],0
p11,1,0.010859,6.488199,[443  84] ; [129  42],[431.86819484  95.13180516] ; [140.13180516  30.86819484],0
s5,1,0.015519,5.856604,[193 314] ; [ 46 120],[180.04903418 326.95096582] ; [ 58.95096582 107.04903418],0
p8,1,0.039613,4.234388,[315 201] ; [88 81],[303.57372263 212.42627737] ; [99.42627737 69.57372263],0
r2,1,0.044893,4.022656,[516   8] ; [164   7],[512.69064748  11.30935252] ; [167.30935252   3.69064748],0
p9,1,0.051478,3.792655,[466  55] ; [140  27],[458.90406977  62.09593023] ; [147.09593023  19.90406977],0
p7,1,0.068552,3.31736,[371 145] ; [107  59],[361.65395894 154.34604106] ; [116.34604106  49.65395894],0
s6,1,0.097996,2.737859,[365 150] ; [107  60],[356.42228739 158.57771261] ; [115.57771261  51.42228739],0
u4,1,0.127182,2.326571,[ 13 514] ; [  1 170],[ 10.57020057 516.42979943] ; [  3.42979943 167.57020057],0
s2,1,0.147581,2.097076,[279 243] ; [80 90],[270.80635838 251.19364162] ; [88.19364162 81.80635838],0
v4,1,0.155798,2.014546,[517   9] ; [164   6],[514.6637931  11.3362069] ; [166.3362069   3.6637931],0
n6,1,0.15817,1.991633,[458  67] ; [141  29],[452.48201439  72.51798561] ; [146.51798561  23.48201439],0
n5,1,0.170012,1.882835,[409 115] ; [124  46],[402.43804035 121.56195965] ; [130.56195965  39.43804035],0
v3,1,0.191357,1.707137,[216 294] ; [ 60 104],[208.84272997 301.15727003] ; [67.15727003 96.84272997],0
p12,1,0.22602,1.465732,[ 46 477] ; [ 10 160],[ 42.26262626 480.73737374] ; [ 13.73737374 156.26262626],0
p1,1,0.269857,1.217475,[ 44 481] ; [ 19 151],[ 47.58992806 477.41007194] ; [ 15.41007194 154.58992806],0
b1,1,0.289815,1.120481,[193 334] ; [ 55 116],[187.24355301 339.75644699] ; [ 60.75644699 110.24355301],0
u2,1,0.309581,1.03246,[61 41] ; [44 40],[57.58064516 44.41935484] ; [47.41935484 36.58064516],0
a7,1,0.33134,0.943653,[403 124] ; [123  46],[398.27873563 128.72126437] ; [127.72126437  41.27873563],0
s4,1,0.342316,0.901738,[ 80 441] ; [ 31 137],[ 83.93468795 437.06531205] ; [ 27.06531205 140.93468795],0
a1,1,0.353312,0.861526,[ 24 503] ; [  5 166],[ 21.89541547 505.10458453] ; [  7.10458453 163.89541547],0
n1,1,0.549778,0.357715,[35 65] ; [15 22],[36.49635036 63.50364964] ; [13.50364964 23.49635036],0
p6,1,0.577164,0.310841,[210 310] ; [ 63 103],[206.93877551 313.06122449] ; [66.06122449 99.93877551],0
n2,1,0.611049,0.258651,[78 24] ; [26 10],[76.86956522 25.13043478] ; [27.13043478  8.86956522],0
s3,1,0.6174,0.249538,[300 221] ; [101  68],[302.78405797 218.21594203] ; [98.21594203 70.78405797],0
r3,1,0.750439,0.101163,[519   8] ; [167   2],[519.42816092   7.57183908] ; [166.57183908   2.42816092],0
b5,1,0.769223,0.086079,[321 206] ; [102  69],[319.37106017 207.62893983] ; [103.62893983  67.37106017],0
s1,1,0.820647,0.051399,[ 14 504] ; [  4 164],[ 13.59183673 504.40816327] ; [  4.40816327 163.59183673],0
u3,1,0.827597,0.04743,[61 40] ; [50 35],[60.27419355 40.72580645] ; [50.72580645 34.27419355],0
n3,1,0.922452,0.009476,[78 24] ; [28  9],[77.78417266 24.21582734] ; [28.21582734  8.78417266],0
p5,1,0.975034,0.000979,[ 64 461] ; [ 21 150],[ 64.11637931 460.88362069] ; [ 20.88362069 150.11637931],0
b4,1,0.993467,6.7e-05,[308 219] ; [100  71],[308.04584527 218.95415473] ; [99.95415473 71.04584527],0
a8,1,1.0,0.0,[ 72 399] ; [ 24 133],[ 72. 399.] ; [ 24. 133.],0
