Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,1e-06,24.366133,[60  6] ; [ 9 13],[51.75 14.25] ; [17.25  4.75],1
r2,1,0.000471,12.227557,[63  2] ; [15  6],[58.95348837  6.04651163] ; [19.04651163  1.95348837],1
r3,1,0.014617,5.96206,[64  2] ; [18  4],[61.5  4.5] ; [20.5  1.5],0
v3,1,0.030556,4.677746,[33 32] ; [ 5 16],[28.72093023 36.27906977] ; [ 9.27906977 11.72093023],0
p1,1,0.062739,3.463454,[ 2 64] ; [ 3 19],[ 3.75 62.25] ; [ 1.25 20.75],0
s8,1,0.068959,3.307631,[29 36] ; [ 5 17],[25.40229885 39.59770115] ; [ 8.59770115 13.40229885],0
s6,1,0.076472,3.13834,[46 19] ; [11 11],[42.5862069 22.4137931] ; [14.4137931  7.5862069],0
v4,1,0.093959,2.805195,[60  6] ; [17  5],[57.75  8.25] ; [19.25  2.75],0
s3,1,0.109465,2.561929,[37 29] ; [ 8 14],[33.75 32.25] ; [11.25 10.75],0
s7,1,0.111091,2.538629,[31 33] ; [ 6 15],[27.85882353 36.14117647] ; [ 9.14117647 11.85882353],0
p10,1,0.123215,2.375968,[47 18] ; [12 10],[44.08045977 20.91954023] ; [14.91954023  7.08045977],0
s5,1,0.149139,2.081036,[23 41] ; [ 4 17],[20.32941176 43.67058824] ; [ 6.67058824 14.32941176],0
d4,1,0.149569,2.076643,[56  9] ; [16  6],[53.79310345 11.20689655] ; [18.20689655  3.79310345],0
n4,1,0.149787,2.07442,[47 19] ; [12 10],[44.25 21.75] ; [14.75  7.25],0
p9,1,0.158984,1.983865,[45 20] ; [11 10],[42.3255814 22.6744186] ; [13.6744186  7.3255814],0
u2,1,0.1593,1.98086,[13  9] ; [2 5],[11.37931034 10.62068966] ; [3.62068966 3.37931034],0
s1,1,0.24435,1.355321,[ 2 63] ; [ 2 20],[ 2.98850575 62.01149425] ; [ 1.01149425 20.98850575],0
a8,1,0.273217,1.200524,[ 8 51] ; [ 1 20],[ 6.6375 52.3625] ; [ 2.3625 18.6375],0
n2,1,0.305141,1.051592,[11  7] ; [8 2],[12.21428571  5.78571429] ; [6.78571429 3.21428571],0
a6,1,0.342206,0.902149,[40 25] ; [11 11],[38.10344828 26.89655172] ; [12.89655172  9.10344828],0
n3,1,0.383666,0.758924,[9 8] ; [7 3],[10.07407407  6.92592593] ; [5.92592593 4.07407407],0
u1,1,0.385801,0.752137,[11 55] ; [ 2 20],[ 9.75 56.25] ; [ 3.25 18.75],0
s2,1,0.388763,0.742808,[34 32] ; [ 9 13],[32.25 33.75] ; [10.75 11.25],0
n6,1,0.414883,0.664764,[50 15] ; [15  7],[48.56321839 16.43678161] ; [16.43678161  5.56321839],0
p7,1,0.477062,0.505573,[26 37] ; [11 11],[27.42352941 35.57647059] ; [ 9.57647059 12.42352941],0
v1,1,0.499003,0.457057,[29 37] ; [11 10],[30.34482759 35.65517241] ; [ 9.65517241 11.34482759],0
p11,1,0.529512,0.395328,[41 25] ; [12 10],[39.75 26.25] ; [13.25  8.75],0
b5,1,0.533024,0.388624,[37 29] ; [14  8],[38.25 27.75] ; [12.75  9.25],0
d5,1,0.535319,0.384286,[49 16] ; [18  4],[50.05747126 14.94252874] ; [16.94252874  5.05747126],0
b1,1,0.535607,0.383743,[28 38] ; [11 11],[29.25 36.75] ; [ 9.75 12.25],0
n1,1,0.551149,0.355263,[ 6 12] ; [2 7],[ 5.33333333 12.66666667] ; [2.66666667 6.33333333],0
p4,1,0.581875,0.303212,[22 42] ; [ 9 13],[23.06976744 40.93023256] ; [ 7.93023256 14.06976744],0
a7,1,0.597118,0.279365,[46 20] ; [14  8],[45. 21.] ; [15.  7.],0
b4,1,0.616574,0.250712,[38 28] ; [14  8],[39. 27.] ; [13.  9.],0
s4,1,0.690983,0.158024,[15 50] ; [ 6 16],[15.68965517 49.31034483] ; [ 5.31034483 16.68965517],0
p6,1,0.726728,0.122138,[18 47] ; [ 5 16],[17.38372093 47.61627907] ; [ 5.61627907 15.38372093],0
a2,1,0.736467,0.113256,[10 56] ; [ 4 18],[10.5 55.5] ; [ 3.5 18.5],0
b3,1,0.782642,0.076108,[13 28] ; [5 9],[13.41818182 27.58181818] ; [4.58181818 9.41818182],0
b2,1,0.782642,0.076108,[13 28] ; [5 9],[13.41818182 27.58181818] ; [4.58181818 9.41818182],0
a5,1,0.787321,0.072787,[47 19] ; [15  7],[46.5 19.5] ; [15.5  6.5],0
p5,1,0.790345,0.070683,[ 4 62] ; [ 1 21],[ 3.75 62.25] ; [ 1.25 20.75],0
a3,1,0.795112,0.067433,[43 23] ; [15  7],[43.5 22.5] ; [14.5  7.5],0
n5,1,0.800424,0.063907,[41 25] ; [13  9],[40.5 25.5] ; [13.5  8.5],0
d1,1,0.803744,0.061754,[38 28] ; [12 10],[37.5 28.5] ; [12.5  9.5],0
u3,1,0.860116,0.031056,[14  9] ; [4 3],[13.8  9.2] ; [4.2 2.8],0
p8,1,0.893834,0.01781,[20 46] ; [ 7 15],[20.25 45.75] ; [ 6.75 15.25],0
a4,1,0.900777,0.015545,[28 38] ; [ 9 13],[27.75 38.25] ; [ 9.25 12.75],0
p3,1,0.923035,0.009334,[24 41] ; [ 8 13],[24.18604651 40.81395349] ; [ 7.81395349 13.18604651],0
d3,1,0.940086,0.005649,[39 26] ; [13  9],[38.85057471 26.14942529] ; [13.14942529  8.85057471],0
d2,1,0.950263,0.003891,[32 33] ; [11 11],[32.12643678 32.87356322] ; [10.87356322 11.12643678],0
a1,1,1.0,0.0,[ 6 60] ; [ 2 20],[ 6. 60.] ; [ 2. 20.],0
