Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s6,1,2.9e-05,17.475525,[34 86] ; [17  6],[42.7972028 77.2027972] ; [ 8.2027972 14.7972028],1
p1,1,0.020871,5.33754,[  3 117] ; [ 3 20],[  5.03496503 114.96503497] ; [ 0.96503497 22.03496503],0
b5,1,0.050035,3.840275,[74 47] ; [ 9 14],[69.74305556 51.25694444] ; [13.25694444  9.74305556],0
n5,1,0.053685,3.722457,[46 74] ; [ 4 19],[41.95804196 78.04195804] ; [ 8.04195804 14.95804196],0
s7,1,0.058324,3.584416,[20 95] ; [ 8 15],[23.33333333 91.66666667] ; [ 4.66666667 18.33333333],0
n1,1,0.131025,2.280316,[10 38] ; [4 5],[11.78947368 36.21052632] ; [2.21052632 6.78947368],0
b1,1,0.148769,2.084828,[51 70] ; [ 6 17],[47.89583333 73.10416667] ; [ 9.10416667 13.89583333],0
p3,1,0.149414,2.078221,[34 86] ; [10 13],[36.92307692 83.07692308] ; [ 7.07692308 15.92307692],0
r1,1,0.153655,2.035581,[76 45] ; [18  5],[78.98611111 42.01388889] ; [15.01388889  7.98611111],0
v1,1,0.160736,1.967285,[46 74] ; [ 5 17],[43.09859155 76.90140845] ; [ 7.90140845 14.09859155],0
p12,1,0.185905,1.749779,[  1 120] ; [ 1 22],[  1.68055556 119.31944444] ; [ 0.31944444 22.68055556],0
s3,1,0.217373,1.52163,[24 96] ; [ 7 15],[26.1971831 93.8028169] ; [ 4.8028169 17.1971831],0
r2,1,0.229421,1.444444,[97 24] ; [20  2],[99. 22.] ; [18.  4.],0
a6,1,0.231412,1.43216,[69 52] ; [10 13],[66.38194444 54.61805556] ; [12.61805556 10.38194444],0
n6,1,0.244922,1.352037,[74 47] ; [17  6],[76.46527778 44.53472222] ; [14.53472222  8.46527778],0
d2,1,0.260199,1.267697,[38 83] ; [10 13],[40.33333333 80.66666667] ; [ 7.66666667 15.33333333],0
r3,1,0.263138,1.252174,[99 22] ; [21  2],[100.83333333  20.16666667] ; [19.16666667  3.83333333],0
d4,1,0.276479,1.184317,[86 34] ; [19  4],[88.11188811 31.88811189] ; [16.88811189  6.11188811],0
p4,1,0.277125,1.181134,[43 77] ; [11 12],[45.31468531 74.68531469] ; [ 8.68531469 14.31468531],0
s4,1,0.288806,1.125179,[ 16 105] ; [ 5 18],[ 17.64583333 103.35416667] ; [ 3.35416667 19.64583333],0
a4,1,0.289298,1.122887,[34 87] ; [ 9 14],[36.13194444 84.86805556] ; [ 6.86805556 16.13194444],0
u2,1,0.29627,1.090909,[29 21] ; [4 6],[27.5 22.5] ; [5.5 4.5],0
p6,1,0.324873,0.969228,[ 17 101] ; [ 5 17],[18.54285714 99.45714286] ; [ 3.45714286 18.54285714],0
a7,1,0.37374,0.791193,[85 36] ; [14  9],[83.1875 37.8125] ; [15.8125  7.1875],0
a1,1,0.406822,0.688068,[  2 119] ; [ 1 22],[  2.52083333 118.47916667] ; [ 0.47916667 22.52083333],0
u3,1,0.418665,0.65406,[27 23] ; [4 6],[25.83333333 24.16666667] ; [5.16666667 4.83333333],0
d1,1,0.420707,0.64834,[47 74] ; [11 12],[48.73611111 72.26388889] ; [ 9.26388889 13.73611111],0
v4,1,0.471758,0.517855,[105  15] ; [18  4],[103.94366197  16.05633803] ; [19.05633803  2.94366197],0
p5,1,0.479888,0.499118,[  6 114] ; [ 2 21],[  6.71328671 113.28671329] ; [ 1.28671329 21.71328671],0
d3,1,0.486803,0.483586,[77 43] ; [13 10],[75.52447552 44.47552448] ; [14.47552448  8.52447552],0
p7,1,0.494401,0.466935,[58 61] ; [13 10],[59.5 59.5] ; [11.5 11.5],0
n3,1,0.494525,0.466667,[30 18] ; [6 2],[30.85714286 17.14285714] ; [5.14285714 2.85714286],0
