Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,228.59085,[304  98] ; [ 36 211],[210.6009245 191.3990755] ; [129.3990755 117.6009245],1
d4,1,0.0,171.290714,[395   7] ; [145 102],[334.48382126  67.51617874] ; [205.51617874  41.48382126],1
d5,1,0.0,170.486276,[395   7] ; [146 102],[334.58769231  67.41230769] ; [206.41230769  41.58769231],1
d3,1,0.0,167.585772,[355  48] ; [ 99 148],[281.48 121.52] ; [172.52  74.48],1
a2,1,0.0,80.131797,[157 248] ; [ 17 231],[107.91730475 297.08269525] ; [ 66.08269525 181.91730475],1
u1,1,0.0,73.332842,[126 279] ; [  8 240],[ 83.10872894 321.89127106] ; [ 50.89127106 197.10872894],1
a4,1,0.0,68.045462,[247 157] ; [ 68 177],[196.08628659 207.91371341] ; [118.91371341 126.08628659],1
a5,1,0.0,57.528076,[354  51] ; [153  94],[314.9309816  90.0690184] ; [192.0690184  54.9309816],1
a3,1,0.0,43.657173,[335  68] ; [147  99],[299.30046225 103.69953775] ; [182.69953775  63.30046225],1
s8,1,8e-06,20.050144,[221 180] ; [ 91 155],[193.37248841 207.62751159] ; [118.62751159 127.37248841],1
p4,1,1e-05,19.608187,[285 117] ; [131 113],[258.87306502 143.12693498] ; [157.12693498  86.87306502],1
a6,1,2.9e-05,17.486736,[302 100] ; [147 100],[278.11710324 123.88289676] ; [170.88289676  76.11710324],1
p9,1,0.000629,11.688056,[360  41] ; [194  48],[345.49611198  55.50388802] ; [208.50388802  33.49611198],1
s2,1,0.001232,10.441105,[233 169] ; [109 134],[213.15348837 188.84651163] ; [128.84651163 114.15348837],0
a7,1,0.002345,9.257472,[314  91] ; [164  82],[297.37327189 107.62672811] ; [180.62672811  65.37327189],0
p10,1,0.002895,8.872298,[353  51] ; [190  52],[339.58513932  64.41486068] ; [203.41486068  38.58513932],0
n6,1,0.003363,8.599418,[374  30] ; [211  36],[363.04147465  40.95852535] ; [221.95852535  25.04147465],0
v2,1,0.004218,8.187424,[247 147] ; [120 115],[229.88553259 164.11446741] ; [137.11446741  97.88553259],0
r1,1,0.004852,7.933716,[363  41] ; [203  44],[351.25038402  52.74961598] ; [214.74961598  32.25038402],0
s7,1,0.005138,7.830236,[225 165] ; [106 124],[208.20967742 181.79032258] ; [122.79032258 107.20967742],0
p6,1,0.014818,5.938029,[177 221] ; [ 84 158],[162.309375 235.690625] ; [ 98.690625 143.309375],0
p7,1,0.015188,5.894477,[277 119] ; [146  95],[262.96389325 133.03610675] ; [160.03610675  80.96389325],0
v3,1,0.025197,5.01029,[184 201] ; [ 94 149],[170.42993631 214.57006369] ; [107.57006369 135.42993631],0
p8,1,0.032499,4.57199,[233 164] ; [120 120],[220.00156986 176.99843014] ; [132.99843014 107.00156986],0
p3,1,0.033313,4.529614,[232 171] ; [120 125],[218.91358025 184.08641975] ; [133.08641975 111.91358025],0
n5,1,0.048426,3.895128,[356  48] ; [204  43],[347.52688172  56.47311828] ; [212.47311828  34.52688172],0
p12,1,0.055629,3.663142,[ 45 358] ; [ 16 226],[ 38.11317829 364.88682171] ; [ 22.88682171 219.11317829],0
v1,1,0.079029,3.08476,[239 158] ; [128 113],[228.36833856 168.63166144] ; [138.63166144 102.36833856],0
s6,1,0.085924,2.94913,[288 109] ; [158  81],[278.39937107 118.60062893] ; [167.60062893  71.39937107],0
a1,1,0.090625,2.863243,[ 23 382] ; [  7 241],[ 18.60643185 386.39356815] ; [ 11.39356815 236.60643185],0
p2,1,0.094956,2.788288,[353  52] ; [201  43],[345.7164869  59.2835131] ; [208.2835131  35.7164869],0
s5,1,0.110588,2.545801,[148 239] ; [ 75 160],[138.74758842 248.25241158] ; [ 84.25241158 150.74758842],0
u2,1,0.112691,2.516072,[44 25] ; [52 49],[38.96470588 30.03529412] ; [57.03529412 43.96470588],0
r3,1,0.136591,2.215944,[398   6] ; [240   8],[395.32515337   8.67484663] ; [242.67484663   5.32515337],0
s3,1,0.156164,2.010983,[242 157] ; [133 109],[233.42433697 165.57566303] ; [141.57566303 100.42433697],0
p11,1,0.22564,1.468133,[340  65] ; [199  49],[334.29555896  70.70444104] ; [204.70444104  43.29555896],0
b2,1,0.378172,0.776635,[110 159] ; [54 94],[105.79376499 163.20623501] ; [58.20623501 89.79376499],0
b3,1,0.378172,0.776635,[110 159] ; [54 94],[105.79376499 163.20623501] ; [58.20623501 89.79376499],0
r2,1,0.396317,0.719471,[395   6] ; [242   6],[393.58551618   7.41448382] ; [243.41448382   4.58551618],0
u3,1,0.401065,0.70513,[44 26] ; [57 44],[41.34502924 28.65497076] ; [59.65497076 41.34502924],0
n1,1,0.48158,0.495283,[29 38] ; [23 23],[30.83185841 36.16814159] ; [21.16814159 24.83185841],0
b1,1,0.532986,0.388696,[155 250] ; [101 147],[158.77488515 246.22511485] ; [ 97.22511485 150.77488515],0
n2,1,0.552262,0.35328,[51 18] ; [37 10],[52.34482759 16.65517241] ; [35.65517241 11.34482759],0
s4,1,0.565343,0.330537,[ 60 337] ; [ 33 212],[ 57.50934579 339.49065421] ; [ 35.49065421 209.50934579],0
s1,1,0.575056,0.314296,[ 13 385] ; [ 10 233],[ 14.28081123 383.71918877] ; [  8.71918877 234.28081123],0
v4,1,0.624282,0.239895,[396   9] ; [240   7],[395.06134969   9.93865031] ; [240.93865031   6.06134969],0
b4,1,0.658975,0.194771,[239 166] ; [142 106],[236.30168453 168.69831547] ; [144.69831547 103.30168453],0
p1,1,0.754578,0.097724,[ 37 368] ; [ 24 219],[ 38.125 366.875] ; [ 22.875 220.125],0
a8,1,0.757787,0.095103,[ 59 296] ; [ 41 192],[ 60.37414966 294.62585034] ; [ 39.62585034 193.37414966],0
n3,1,0.79336,0.068618,[53 15] ; [36  9],[53.55752212 14.44247788] ; [35.44247788  9.55752212],0
p5,1,0.853412,0.034139,[ 55 347] ; [ 32 211],[ 54.22325581 347.77674419] ; [ 32.77674419 210.22325581],0
b5,1,0.997985,6e-06,[245 160] ; [150  98],[244.98468606 160.01531394] ; [150.01531394  97.98468606],0
