Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p2,1,1e-06,23.731722,[86 81] ; [77 17],[104.29501916  62.70498084] ; [58.70498084 35.29501916],1
p6,1,3e-06,22.076988,[ 16 150] ; [31 63],[ 30.00769231 135.99230769] ; [16.99230769 77.00769231],1
s3,1,0.000756,11.345396,[ 65 100] ; [58 37],[78.05769231 86.94230769] ; [44.94230769 50.05769231],1
p3,1,0.000883,11.057277,[ 32 135] ; [36 59],[ 43.34351145 123.65648855] ; [24.65648855 70.34351145],1
p4,1,0.000896,11.030702,[ 48 118] ; [47 48],[ 60.42145594 105.57854406] ; [34.57854406 60.42145594],1
s2,1,0.002085,9.473172,[ 50 115] ; [47 48],[ 61.55769231 103.44230769] ; [35.44230769 59.55769231],0
p9,1,0.003127,8.731718,[97 65] ; [74 21],[107.78988327  54.21011673] ; [63.21011673 31.78988327],0
s7,1,0.004026,8.271915,[ 46 112] ; [43 48],[ 56.47389558 101.52610442] ; [32.52610442 58.47389558],0
r3,1,0.004689,7.995705,[134  32] ; [88  6],[141.73846154  24.26153846] ; [80.26153846 13.73846154],0
r4,1,0.005896,7.581771,[117  50] ; [81 14],[126.20610687  40.79389313] ; [71.79389313 23.20610687],0
v4,1,0.008778,6.867497,[134  33] ; [86  7],[141.30769231  25.69230769] ; [78.69230769 14.30769231],0
a8,1,0.019106,5.491789,[ 10 150] ; [13 71],[ 15.08196721 144.91803279] ; [ 7.91803279 76.08196721],0
p10,1,0.02741,4.864802,[93 71] ; [67 28],[101.31274131  62.68725869] ; [58.68725869 36.31274131],0
s6,1,0.03842,4.286312,[74 92] ; [55 40],[82.04597701 83.95402299] ; [46.95402299 48.04597701],0
p1,1,0.040301,4.205173,[ 14 152] ; [ 2 93],[ 10.17624521 155.82375479] ; [ 5.82375479 89.17624521],0
p11,1,0.078002,3.106051,[94 73] ; [64 31],[100.70992366  66.29007634] ; [57.29007634 37.70992366],0
b4,1,0.080068,3.063526,[108  59] ; [51 44],[101.34732824  65.65267176] ; [57.65267176 37.34732824],0
s8,1,0.089805,2.87786,[ 40 127] ; [32 63],[ 45.89312977 121.10687023] ; [26.10687023 68.89312977],0
v2,1,0.094527,2.795546,[ 53 106] ; [40 51],[59.148 99.852] ; [33.852 57.148],0
a2,1,0.110532,2.546595,[ 30 137] ; [25 70],[ 35.05725191 131.94274809] ; [19.94274809 75.05725191],0
a3,1,0.121994,2.391535,[105  61] ; [69 26],[110.66666667  55.33333333] ; [63.33333333 31.66666667],0
n3,1,0.150108,2.071157,[44 26] ; [24  7],[47.12871287 22.87128713] ; [20.87128713 10.12871287],0
u2,1,0.155665,2.015843,[27 35] ; [14  9],[29.90588235 32.09411765] ; [11.09411765 11.90588235],0
a5,1,0.1687,1.894454,[100  67] ; [65 30],[105.17175573  61.82824427] ; [59.82824427 35.17175573],0
s1,1,0.196374,1.669138,[  9 156] ; [ 2 93],[  6.98076923 158.01923077] ; [ 4.01923077 90.98076923],0
a6,1,0.196451,1.66856,[104  63] ; [66 28],[108.77394636  58.22605364] ; [61.22605364 32.77394636],0
n1,1,0.26926,1.220513,[30 42] ; [ 9 21],[27.52941176 44.47058824] ; [11.47058824 18.52941176],0
v3,1,0.283624,1.149644,[ 36 124] ; [26 65],[ 39.52191235 120.47808765] ; [22.47808765 68.52191235],0
r2,1,0.387181,0.747777,[141  24] ; [83 10],[143.25581395  21.74418605] ; [80.74418605 12.25581395],0
n5,1,0.393817,0.727124,[106  60] ; [55 39],[102.79230769  63.20769231] ; [58.20769231 35.79230769],0
p5,1,0.411627,0.674097,[  4 163] ; [ 4 91],[  5.09923664 161.90076336] ; [ 2.90076336 92.09923664],0
r1,1,0.419816,0.650831,[109  57] ; [67 28],[111.93869732  54.06130268] ; [64.06130268 30.93869732],0
a1,1,0.42607,0.633513,[ 11 156] ; [ 4 91],[  9.5610687 157.4389313] ; [ 5.4389313 89.5610687],0
b3,1,0.498389,0.458366,[33 59] ; [24 34],[34.96 57.04] ; [22.04 35.96],0
b2,1,0.498389,0.458366,[33 59] ; [24 34],[34.96 57.04] ; [22.04 35.96],0
d5,1,0.501387,0.451999,[123  44] ; [72 21],[125.25  41.75] ; [69.75 23.25],0
