Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,1.3e-05,18.939567,[ 21 123] ; [30 43],[ 33.84331797 110.15668203] ; [17.15668203 55.84331797],1
r1,1,1.6e-05,18.613119,[75 73] ; [59 14],[89.73755656 58.26244344] ; [44.26244344 28.73755656],1
a5,1,0.002999,8.808372,[63 85] ; [46 26],[73.32727273 74.67272727] ; [35.67272727 36.32727273],0
b5,1,0.005705,7.641223,[88 60] ; [29 44],[78.35294118 69.64705882] ; [38.64705882 34.35294118],0
r4,1,0.007999,7.033695,[101  47] ; [62 11],[109.15837104  38.84162896] ; [53.84162896 19.15837104],0
r3,1,0.00834,6.9589,[120  28] ; [68  4],[126.47272727  21.52727273] ; [61.52727273 10.47272727],0
s5,1,0.016546,5.743852,[ 29 115] ; [25 46],[ 36.16744186 107.83255814] ; [17.83255814 53.16744186],0
a3,1,0.02418,5.081708,[66 81] ; [44 28],[73.83561644 73.16438356] ; [36.16438356 35.83561644],0
p3,1,0.02564,4.980157,[ 47 101] ; [34 38],[54.49090909 93.50909091] ; [26.50909091 45.49090909],0
r2,1,0.028599,4.791567,[115  32] ; [65  7],[120.82191781  26.17808219] ; [59.17808219 12.82191781],0
p7,1,0.032327,4.581052,[70 72] ; [46 25],[77.33333333 64.66666667] ; [38.66666667 32.33333333],0
p10,1,0.032997,4.545918,[84 60] ; [52 19],[91.08837209 52.91162791] ; [44.91162791 26.08837209],0
d5,1,0.050409,3.827815,[66 81] ; [43 30],[72.83181818 74.16818182] ; [36.16818182 36.83181818],0
d2,1,0.05561,3.6637,[ 29 118] ; [ 7 66],[ 24.05454545 122.94545455] ; [11.94545455 61.05454545],0
s6,1,0.060403,3.52628,[69 76] ; [44 28],[75.50691244 69.49308756] ; [37.49308756 34.50691244],0
n1,1,0.064978,3.405532,[20 29] ; [ 3 15],[16.82089552 32.17910448] ; [ 6.17910448 11.82089552],0
a7,1,0.079281,3.079587,[84 63] ; [50 22],[89.94520548 57.05479452] ; [44.05479452 27.94520548],0
s4,1,0.094216,2.800815,[ 32 114] ; [ 9 63],[ 27.4587156 118.5412844] ; [13.5412844 58.4587156],0
p11,1,0.115313,2.479851,[96 52] ; [55 18],[101.12217195  46.87782805] ; [49.87782805 23.12217195],0
p8,1,0.123888,2.367463,[57 89] ; [36 36],[62.28440367 83.71559633] ; [30.71559633 41.28440367],0
a4,1,0.124514,2.359601,[ 36 112] ; [11 61],[ 31.61818182 116.38181818] ; [15.38181818 56.61818182],0
v4,1,0.13364,2.2497,[124  23] ; [66  6],[127.53424658  19.46575342] ; [62.46575342  9.53424658],0
n2,1,0.136396,2.218154,[33 17] ; [16  3],[35.50724638 14.49275362] ; [13.49275362  5.50724638],0
s7,1,0.142756,2.148001,[ 43 100] ; [27 40],[47.66666667 95.33333333] ; [22.33333333 44.66666667],0
s1,1,0.158179,1.991549,[  8 140] ; [ 1 71],[  6.05454545 141.94545455] ; [ 2.94545455 69.05454545],0
s2,1,0.173373,1.853536,[49 99] ; [31 42],[53.57466063 94.42533937] ; [26.42533937 46.57466063],0
p4,1,0.215244,1.535801,[59 87] ; [35 36],[63.24423963 82.75576037] ; [30.75576037 40.24423963],0
n6,1,0.230721,1.436409,[106  42] ; [57 15],[109.65454545  38.34545455] ; [53.34545455 18.65454545],0
a8,1,0.247895,1.335128,[ 18 122] ; [ 5 62],[ 15.55555556 124.44444444] ; [ 7.44444444 59.55555556],0
n3,1,0.253283,1.305105,[31 17] ; [15  4],[32.95522388 15.04477612] ; [13.04477612  5.95522388],0
p1,1,0.261179,1.262499,[ 12 133] ; [ 3 69],[ 10.02304147 134.97695853] ; [ 4.97695853 67.02304147],0
d4,1,0.282121,1.156844,[77 71] ; [43 29],[80.72727273 67.27272727] ; [39.27272727 32.72727273],0
p5,1,0.28226,1.156178,[ 10 136] ; [ 8 64],[ 12.05504587 133.94495413] ; [ 5.94495413 66.05504587],0
a2,1,0.283885,1.148397,[  6 142] ; [ 1 72],[  4.68778281 143.31221719] ; [ 2.31221719 70.68778281],0
p9,1,0.368948,0.807205,[94 49] ; [51 20],[96.89252336 46.10747664] ; [48.10747664 22.89252336],0
d3,1,0.383606,0.759115,[50 96] ; [29 43],[52.90825688 93.09174312] ; [26.09174312 45.90825688],0
s8,1,0.410446,0.677509,[ 31 116] ; [19 54],[ 33.40909091 113.59090909] ; [16.59090909 56.40909091],0
n5,1,0.447209,0.577715,[91 55] ; [48 23],[93.52073733 52.47926267] ; [45.47926267 25.52073733],0
u3,1,0.510205,0.433647,[36 44] ; [11 18],[34.49541284 45.50458716] ; [12.50458716 16.49541284],0
b2,1,0.561549,0.337029,[24 57] ; [ 8 25],[22.73684211 58.26315789] ; [ 9.26315789 23.73684211],0
b3,1,0.561549,0.337029,[24 57] ; [ 8 25],[22.73684211 58.26315789] ; [ 9.26315789 23.73684211],0
s3,1,0.570876,0.321219,[66 80] ; [35 36],[67.95391705 78.04608295] ; [33.04608295 37.95391705],0
n4,1,0.585276,0.297782,[91 57] ; [47 25],[92.83636364 55.16363636] ; [45.16363636 26.83636364],0
b4,1,0.627312,0.235724,[78 70] ; [41 32],[79.69230769 68.30769231] ; [39.30769231 33.69230769],0
a1,1,0.631587,0.229915,[  6 142] ; [ 4 69],[  6.69683258 141.30316742] ; [ 3.30316742 69.69683258],0
u2,1,0.710386,0.137891,[38 43] ; [12 16],[37.1559633 43.8440367] ; [12.8440367 15.1559633],0
p2,1,0.735012,0.11456,[105  42] ; [53 19],[106.05479452  40.94520548] ; [51.94520548 20.05479452],0
a6,1,0.751659,0.100142,[83 65] ; [42 30],[84.09090909 63.90909091] ; [40.90909091 31.09090909],0
p12,1,0.754488,0.097798,[  5 143] ; [ 3 68],[  5.40639269 142.59360731] ; [ 2.59360731 68.40639269],0
p6,1,0.845059,0.038192,[ 39 108] ; [20 52],[ 39.60273973 107.39726027] ; [19.39726027 52.60273973],0
b1,1,0.914932,0.01141,[66 82] ; [32 41],[65.62895928 82.37104072] ; [32.37104072 40.62895928],0
u1,1,0.991076,0.000125,[  2 146] ; [ 1 72],[  2.00904977 145.99095023] ; [ 0.99095023 72.00904977],0
