Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,1.2e-05,19.217898,[38 12] ; [ 9 24],[28.31325301 21.68674699] ; [18.68674699 14.31325301],1
p6,1,0.004646,8.012407,[21 29] ; [ 4 28],[15.24390244 34.75609756] ; [ 9.75609756 22.24390244],0
s7,1,0.007341,7.187532,[24 21] ; [ 7 24],[18.35526316 26.64473684] ; [12.64473684 18.35526316],0
p10,1,0.010128,6.612245,[38 11] ; [16 16],[32.66666667 16.33333333] ; [21.33333333 10.66666667],0
a5,1,0.013349,6.122225,[29 21] ; [10 23],[23.4939759 26.5060241] ; [15.5060241 17.4939759],0
s2,1,0.051526,3.791103,[23 24] ; [ 9 24],[18.8 28.2] ; [13.2 19.8],0
s8,1,0.070183,3.278741,[18 31] ; [ 6 27],[14.34146341 34.65853659] ; [ 9.65853659 23.34146341],0
n2,1,0.072285,3.230359,[15  4] ; [8 8],[12.48571429  6.51428571] ; [10.51428571  5.48571429],0
p9,1,0.109791,2.557227,[39 10] ; [21 12],[35.85365854 13.14634146] ; [24.14634146  8.85365854],0
a3,1,0.150018,2.072069,[30 20] ; [14 18],[26.82926829 23.17073171] ; [17.17073171 14.82926829],0
u1,1,0.150111,2.071123,[ 6 44] ; [ 1 32],[ 4.21686747 45.78313253] ; [ 2.78313253 30.21686747],0
n6,1,0.150526,2.066917,[37 12] ; [20 13],[34.06097561 14.93902439] ; [22.93902439 10.06097561],0
a7,1,0.162864,1.947431,[22 27] ; [20 13],[25.09756098 23.90243902] ; [16.90243902 16.09756098],0
v3,1,0.16576,1.920879,[12 37] ; [ 4 29],[ 9.56097561 39.43902439] ; [ 6.43902439 26.56097561],0
p11,1,0.197901,1.657794,[37 13] ; [20 13],[34.3373494 15.6626506] ; [22.6626506 10.3373494],0
v4,1,0.210609,1.567235,[34 13] ; [27  5],[36.29113924 10.70886076] ; [24.70886076  7.29113924],0
s4,1,0.222163,1.490346,[13 36] ; [ 5 28],[10.75609756 38.24390244] ; [ 7.24390244 25.75609756],0
p5,1,0.254914,1.296172,[ 7 43] ; [ 2 31],[ 5.42168675 44.57831325] ; [ 3.57831325 29.42168675],0
d2,1,0.258087,1.278991,[16 33] ; [ 7 26],[13.74390244 35.25609756] ; [ 9.25609756 23.74390244],0
d4,1,0.281399,1.16032,[30 19] ; [24  9],[32.26829268 16.73170732] ; [21.73170732 11.26829268],0
s6,1,0.298982,1.078728,[26 22] ; [14 19],[23.7037037 24.2962963] ; [16.2962963 16.7037037],0
p4,1,0.301923,1.065682,[27 23] ; [14 19],[24.69879518 25.30120482] ; [16.30120482 16.69879518],0
a4,1,0.342984,0.899245,[17 33] ; [ 8 25],[15.06024096 34.93975904] ; [ 9.93975904 23.06024096],0
