Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.022107,5.237359,[ 5 13] ; [9 4],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
b4,1,0.026579,4.917979,[14  4] ; [5 8],[11.03225806  6.96774194] ; [7.96774194 5.03225806],0
v1,1,0.044353,4.043062,[14  4] ; [5 7],[11.4  6.6] ; [7.6 4.4],0
s2,1,0.048434,3.894872,[12  6] ; [4 9],[9.29032258 8.70967742] ; [6.70967742 6.29032258],0
v3,1,0.060147,3.53333,[13  5] ; [5 8],[10.4516129  7.5483871] ; [7.5483871 5.4516129],0
s8,1,0.119437,2.424693,[12  6] ; [5 8],[9.87096774 8.12903226] ; [7.12903226 5.87096774],0
p3,1,0.171166,1.872701,[15  3] ; [8 5],[13.35483871  4.64516129] ; [9.64516129 3.35483871],0
a3,1,0.171166,1.872701,[15  3] ; [8 5],[13.35483871  4.64516129] ; [9.64516129 3.35483871],0
r1,1,0.171166,1.872701,[15  3] ; [8 5],[13.35483871  4.64516129] ; [9.64516129 3.35483871],0
v2,1,0.171188,1.872513,[10  8] ; [4 9],[8.12903226 9.87096774] ; [5.87096774 7.12903226],0
d5,1,0.171609,1.868832,[16  2] ; [9 4],[14.51612903  3.48387097] ; [10.48387097  2.51612903],0
a4,1,0.284294,1.14645,[9 9] ; [4 9],[ 7.5483871 10.4516129] ; [5.4516129 7.5483871],0
s7,1,0.291339,1.113423,[13  5] ; [7 6],[11.61290323  6.38709677] ; [8.38709677 4.61290323],0
a5,1,0.32564,0.966157,[14  4] ; [8 5],[12.77419355  5.22580645] ; [9.22580645 3.77419355],0
a6,1,0.347329,0.883191,[ 8 10] ; [8 5],[9.29032258 8.70967742] ; [6.70967742 6.29032258],0
d4,1,0.35409,0.858745,[15  3] ; [9 4],[13.93548387  4.06451613] ; [10.06451613  2.93548387],0
n6,1,0.361032,0.8343,[17  1] ; [11  2],[16.25806452  1.74193548] ; [11.74193548  1.25806452],0
p1,1,0.371408,0.798948,[ 2 16] ; [ 3 10],[ 2.90322581 15.09677419] ; [ 2.09677419 10.90322581],0
p11,1,0.371408,0.798948,[16  2] ; [10  3],[15.09677419  2.90322581] ; [10.90322581  2.09677419],0
p12,1,0.371408,0.798948,[ 2 16] ; [ 3 10],[ 2.90322581 15.09677419] ; [ 2.09677419 10.90322581],0
u2,1,0.465209,0.533333,[2 1] ; [2 3],[1.5 1.5] ; [2.5 2.5],0
s3,1,0.469589,0.522942,[12  6] ; [7 6],[11.03225806  6.96774194] ; [7.96774194 5.03225806],0
a8,1,0.510671,0.432692,[ 3 15] ; [ 1 11],[ 2.4 15.6] ; [ 1.6 10.4],0
p8,1,0.530057,0.394282,[13  5] ; [8 5],[12.19354839  5.80645161] ; [8.80645161 4.19354839],0
d3,1,0.60524,0.267165,[10  8] ; [6 7],[9.29032258 8.70967742] ; [6.70967742 6.29032258],0
p10,1,0.634433,0.226097,[14  4] ; [11  2],[14.51612903  3.48387097] ; [10.48387097  2.51612903],0
p7,1,0.655758,0.198718,[15  3] ; [10  3],[14.51612903  3.48387097] ; [10.48387097  2.51612903],0
r2,1,0.655758,0.198718,[15  3] ; [10  3],[14.51612903  3.48387097] ; [10.48387097  2.51612903],0
p2,1,0.661003,0.192308,[16  2] ; [10  2],[15.6  2.4] ; [10.4  1.6],0
d2,1,0.685848,0.163617,[11  7] ; [7 6],[10.4516129  7.5483871] ; [7.5483871 5.4516129],0
s6,1,0.712547,0.135747,[14  3] ; [10  3],[13.6  3.4] ; [10.4  2.6],0
r4,1,0.726161,0.122665,[16  2] ; [11  2],[15.67741935  2.32258065] ; [11.32258065  1.67741935],0
p4,1,0.726161,0.122665,[16  2] ; [11  2],[15.67741935  2.32258065] ; [11.32258065  1.67741935],0
v4,1,0.726161,0.122665,[16  2] ; [11  2],[15.67741935  2.32258065] ; [11.32258065  1.67741935],0
b1,1,0.739048,0.110965,[10  8] ; [8 5],[10.4516129  7.5483871] ; [7.5483871 5.4516129],0
p9,1,0.750709,0.100936,[16  2] ; [12  1],[16.25806452  1.74193548] ; [11.74193548  1.25806452],0
u4,1,0.750709,0.100936,[ 2 16] ; [ 1 12],[ 1.74193548 16.25806452] ; [ 1.25806452 11.74193548],0
s4,1,0.750709,0.100936,[ 2 16] ; [ 1 12],[ 1.74193548 16.25806452] ; [ 1.25806452 11.74193548],0
b2,1,0.794625,0.067761,[7 7] ; [5 4],[7.30434783 6.69565217] ; [4.69565217 4.30434783],0
b3,1,0.794625,0.067761,[7 7] ; [5 4],[7.30434783 6.69565217] ; [4.69565217 4.30434783],0
r3,1,0.811135,0.057103,[17  1] ; [12  1],[16.83870968  1.16129032] ; [12.16129032  0.83870968],0
s1,1,0.811135,0.057103,[ 1 17] ; [ 1 12],[ 1.16129032 16.83870968] ; [ 0.83870968 12.16129032],0
u3,1,0.850436,0.035556,[2 1] ; [3 2],[1.875 1.125] ; [3.125 1.875],0
d1,1,0.980769,0.000581,[11  7] ; [8 5],[11.03225806  6.96774194] ; [7.96774194 5.03225806],0
n3,1,1.0,0.0,[1 1] ; [2 2],[1. 1.] ; [2. 2.],0
p6,1,1.0,0.0,[9 9] ; [6 6],[9. 9.] ; [6. 6.],0
