Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r1,1,0.000213,13.708528,[100  19] ; [116  64],[85.96655518 33.03344482] ; [130.03344482  49.96655518],1
p10,1,0.000404,12.514913,[101  18] ; [119  60],[87.85234899 31.14765101] ; [132.14765101  46.85234899],1
r2,1,0.00055,11.937539,[119   2] ; [155  23],[110.88294314  10.11705686] ; [163.11705686  14.88294314],1
r4,1,0.001035,10.763128,[110  11] ; [137  43],[99.2923588 21.7076412] ; [147.7076412  32.2923588],0
v3,1,0.001308,10.331827,[34 85] ; [ 24 154],[23.23905724 95.76094276] ; [ 34.76094276 143.23905724],0
p9,1,0.001645,9.908773,[105  15] ; [127  49],[94.05405405 25.94594595] ; [137.94594595  38.05405405],0
p4,1,0.005809,7.608725,[79 42] ; [88 91],[67.35666667 53.64333333] ; [99.64333333 79.35666667],0
s8,1,0.00673,7.343769,[58 63] ; [ 58 121],[46.78666667 74.21333333] ; [ 69.21333333 109.78666667],0
p8,1,0.006954,7.284771,[69 51] ; [ 74 104],[57.58389262 62.41610738] ; [85.41610738 92.58389262],0
p7,1,0.011098,6.44948,[77 41] ; [89 88],[66.4 51.6] ; [99.6 77.4],0
v4,1,0.012445,6.246293,[115   6] ; [155  25],[108.53820598  12.46179402] ; [161.46179402  18.53820598],0
s5,1,0.020537,5.36568,[45 71] ; [ 46 131],[36.02730375 79.97269625] ; [ 54.97269625 122.02730375],0
s6,1,0.040163,4.210987,[84 35] ; [103  72],[75.69047619 43.30952381] ; [111.30952381  63.69047619],0
p2,1,0.042648,4.109317,[101  19] ; [133  46],[93.91304348 26.08695652] ; [140.08695652  38.91304348],0
a7,1,0.051017,3.807703,[84 37] ; [105  75],[75.97674419 45.02325581] ; [113.02325581  66.97674419],0
d5,1,0.053301,3.734458,[97 23] ; [127  52],[89.89966555 30.10033445] ; [134.10033445  44.89966555],0
a5,1,0.055515,3.666536,[90 31] ; [115  65],[82.40863787 38.59136213] ; [122.59136213  57.40863787],0
n2,1,0.059932,3.539269,[21  4] ; [40 23],[17.32954545  7.67045455] ; [43.67045455 19.32954545],0
r3,1,0.061347,3.50059,[109  11] ; [149  30],[103.5451505  16.4548495] ; [154.4548495  24.5451505],0
s2,1,0.071497,3.248314,[63 57] ; [ 75 104],[55.38461538 64.61538462] ; [82.61538462 96.38461538],0
a3,1,0.07247,3.226166,[87 32] ; [113  66],[79.86577181 39.13422819] ; [120.13422819  58.86577181],0
n6,1,0.079865,3.067652,[109  11] ; [150  29],[103.94648829  16.05351171] ; [155.05351171  23.94648829],0
b1,1,0.102001,2.673969,[62 59] ; [ 75 105],[55.0730897 65.9269103] ; [81.9269103 98.0730897],0
p12,1,0.109586,2.560182,[ 10 111] ; [  7 172],[  6.85666667 114.14333333] ; [ 10.14333333 168.85666667],0
p5,1,0.113718,2.501781,[20 98] ; [ 19 160],[ 15.49494949 102.50505051] ; [ 23.50505051 155.49494949],0
p3,1,0.124367,2.36145,[57 63] ; [ 69 110],[50.56856187 69.43143813] ; [ 75.43143813 103.56856187],0
p11,1,0.147104,2.102025,[92 29] ; [123  57],[86.42857143 34.57142857] ; [128.57142857  51.42857143],0
b5,1,0.162536,1.950469,[77 44] ; [100  80],[71.15282392 49.84717608] ; [105.84717608  74.15282392],0
a2,1,0.219625,1.506823,[30 91] ; [ 34 146],[25.72757475 95.27242525] ; [ 38.27242525 141.72757475],0
n4,1,0.230429,1.43821,[106  14] ; [150  30],[102.4  17.6] ; [153.6  26.4],0
p6,1,0.24054,1.377428,[46 75] ; [ 56 122],[41.27759197 79.72240803] ; [ 60.72240803 117.27759197],0
s3,1,0.266388,1.235253,[70 48] ; [95 85],[65.33557047 52.66442953] ; [99.66442953 80.33557047],0
d4,1,0.273698,1.198118,[92 28] ; [127  52],[87.89297659 32.10702341] ; [131.10702341  47.89297659],0
u3,1,0.291256,1.113805,[19 15] ; [30 37],[16.4950495 17.5049505] ; [32.5049505 34.4950495],0
n1,1,0.322359,0.979351,[14 11] ; [27 34],[11.91860465 13.08139535] ; [29.08139535 31.91860465],0
s1,1,0.379589,0.772032,[  5 112] ; [ 12 167],[  6.71959459 110.28040541] ; [ 10.28040541 168.71959459],0
d1,1,0.385278,0.753793,[66 55] ; [89 91],[62.3089701 58.6910299] ; [92.6910299 87.3089701],0
b3,1,0.414856,0.664841,[34 50] ; [35 66],[31.32972973 52.67027027] ; [37.67027027 63.32972973],0
b2,1,0.414856,0.664841,[34 50] ; [35 66],[31.32972973 52.67027027] ; [37.67027027 63.32972973],0
d3,1,0.418955,0.653246,[77 44] ; [105  73],[73.65217391 47.34782609] ; [108.34782609  69.65217391],0
n3,1,0.431305,0.619308,[16  8] ; [35 26],[14.4  9.6] ; [36.6 24.4],0
a4,1,0.461533,0.542175,[55 64] ; [ 75 104],[51.91275168 67.08724832] ; [ 78.08724832 100.91275168],0
b4,1,0.46817,0.526293,[69 52] ; [95 85],[65.9269103 55.0730897] ; [98.0730897 81.9269103],0
a8,1,0.519903,0.414085,[17 92] ; [ 22 149],[15.18214286 93.81785714] ; [ 23.81785714 147.18214286],0
u1,1,0.622162,0.242841,[ 20 101] ; [ 26 154],[ 18.49169435 102.50830565] ; [ 27.50830565 152.49169435],0
p1,1,0.622193,0.242797,[ 12 109] ; [ 21 158],[ 13.31 107.69] ; [ 19.69 159.31],0
a6,1,0.739053,0.110961,[80 41] ; [115  64],[78.65 42.35] ; [116.35  62.65],0
