Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,58.551321,[262  76] ; [51 76],[227.51397849 110.48602151] ; [85.48602151 41.51397849],1
d3,1,0.0,37.919397,[253  84] ; [57 70],[225.15086207 111.84913793] ; [84.84913793 42.15086207],1
r4,1,1e-06,23.415645,[305  33] ; [92 35],[288.57204301  49.42795699] ; [108.42795699  18.57204301],1
d5,1,3.4e-05,17.167233,[281  57] ; [83 44],[264.58494624  73.41505376] ; [99.41505376 27.58494624],1
r3,1,0.000109,14.969317,[322  12] ; [110  17],[312.98915401  21.01084599] ; [119.01084599   7.98915401],1
u1,1,0.000336,12.856551,[ 64 274] ; [  7 120],[ 51.60860215 286.39139785] ; [ 19.39139785 107.60860215],1
r2,1,0.000734,11.400786,[313  18] ; [107  19],[304.20131291  26.79868709] ; [115.79868709  10.20131291],1
a2,1,0.001022,10.787074,[ 81 257] ; [ 13 114],[ 68.32688172 269.67311828] ; [ 25.67311828 101.32688172],0
d4,1,0.002022,9.529813,[278  60] ; [87 39],[265.88362069  72.11637931] ; [99.11637931 26.88362069],0
r1,1,0.003311,8.627846,[267  67] ; [85 42],[255.02819957  78.97180043] ; [96.97180043 30.02819957],0
v4,1,0.010535,6.542097,[322  14] ; [111  13],[316.27826087  19.72173913] ; [116.72173913   7.27826087],0
u3,1,0.015266,5.885536,[64 38] ; [20 28],[57.12 44.88] ; [26.88 21.12],0
a5,1,0.017533,5.642246,[246  92] ; [78 49],[235.50967742 102.49032258] ; [88.49032258 38.50967742],0
b1,1,0.018989,5.502528,[117 221] ; [59 68],[127.9311828 210.0688172] ; [48.0688172 78.9311828],0
p4,1,0.027184,4.879097,[208 129] ; [64 63],[197.55172414 139.44827586] ; [74.44827586 52.55172414],0
d1,1,0.028028,4.826328,[185 153] ; [55 72],[174.4516129 163.5483871] ; [65.5483871 61.4516129],0
p10,1,0.039348,4.24577,[273  61] ; [92 34],[265.02173913  68.97826087] ; [99.97826087 26.02173913],0
s2,1,0.040612,4.192127,[167 170] ; [49 77],[157.21814255 179.78185745] ; [58.78185745 67.21814255],0
s6,1,0.040752,4.186314,[231 105] ; [72 51],[221.80392157 114.19607843] ; [81.19607843 41.80392157],0
n3,1,0.041334,4.162253,[57 16] ; [24 16],[52.32743363 20.67256637] ; [28.67256637 11.32743363],0
b5,1,0.054666,3.692234,[214 124] ; [68 59],[204.98064516 133.01935484] ; [77.01935484 49.98064516],0
v2,1,0.058273,3.585865,[136 190] ; [40 85],[127.2195122 198.7804878] ; [48.7804878 76.2195122],0
s5,1,0.124081,2.365038,[ 99 230] ; [46 76],[105.77605322 223.22394678] ; [39.22394678 82.77605322],0
a3,1,0.181644,1.784119,[234 104] ; [79 47],[228.00431034 109.99568966] ; [84.99568966 41.00431034],0
p9,1,0.231692,1.430445,[286  48] ; [103  24],[281.835141  52.164859] ; [107.164859  19.835141],0
p8,1,0.258853,1.274879,[179 153] ; [61 66],[173.59477124 158.40522876] ; [66.40522876 60.59477124],0
v1,1,0.26177,1.259372,[152 177] ; [50 74],[146.70640177 182.29359823] ; [55.29359823 68.70640177],0
n6,1,0.279385,1.17008,[279  58] ; [98 27],[274.9978355  62.0021645] ; [102.0021645  22.9978355],0
n5,1,0.329958,0.949062,[231 103] ; [93 33],[235.25217391  98.74782609] ; [88.74782609 37.25217391],0
p6,1,0.362277,0.829986,[128 207] ; [42 83],[123.80434783 211.19565217] ; [46.19565217 78.80434783],0
s8,1,0.379381,0.772708,[129 208] ; [43 84],[124.92241379 212.07758621] ; [47.07758621 79.92241379],0
a4,1,0.457106,0.552972,[132 206] ; [54 72],[135.49137931 202.50862069] ; [50.50862069 75.49137931],0
a8,1,0.521785,0.410364,[ 44 265] ; [ 14 104],[ 41.97189696 267.02810304] ; [ 16.02810304 101.97189696],0
p1,1,0.532774,0.389098,[ 21 315] ; [ 10 117],[ 22.49676026 313.50323974] ; [  8.50323974 118.49676026],0
u2,1,0.574552,0.315126,[56 46] ; [24 24],[54.4 47.6] ; [25.6 22.4],0
p11,1,0.61802,0.24866,[268  70] ; [98 29],[266.03870968  71.96129032] ; [99.96129032 27.03870968],0
p12,1,0.623755,0.240625,[ 15 321] ; [  7 119],[ 16. 320.] ; [  6. 120.],0
b3,1,0.626094,0.237395,[ 62 123] ; [30 52],[ 63.74531835 121.25468165] ; [28.25468165 53.74531835],0
b2,1,0.626094,0.237395,[ 62 123] ; [30 52],[ 63.74531835 121.25468165] ; [28.25468165 53.74531835],0
