Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.003933,8.314315,[ 7 38] ; [28 40],[13.9380531 31.0619469] ; [21.0619469 46.9380531],0
p1,1,0.010442,6.557924,[ 6 39] ; [ 1 67],[ 2.78761062 42.21238938] ; [ 4.21238938 63.78761062],0
p11,1,0.012457,6.244582,[17 28] ; [42 26],[23.49557522 21.50442478] ; [35.50442478 32.49557522],0
r3,1,0.086503,2.938271,[36  9] ; [62  6],[39.02654867  5.97345133] ; [58.97345133  9.02654867],0
v4,1,0.086503,2.938271,[36  9] ; [62  6],[39.02654867  5.97345133] ; [58.97345133  9.02654867],0
s6,1,0.102728,2.662678,[17 27] ; [37 31],[21.21428571 22.78571429] ; [32.78571429 35.21428571],0
n2,1,0.120125,2.415686,[11 11] ; [24 10],[13.75  8.25] ; [21.25 12.75],0
s1,1,0.167486,1.905306,[ 4 41] ; [ 2 66],[ 2.38938053 42.61061947] ; [ 3.61061947 64.38938053],0
n3,1,0.224429,1.475826,[14  8] ; [16 18],[11.78571429 10.21428571] ; [18.21428571 15.78571429],0
r4,1,0.227034,1.459346,[29 16] ; [51 17],[31.85840708 13.14159292] ; [48.14159292 19.85840708],0
p2,1,0.232108,1.427898,[22 23] ; [41 27],[25.08849558 19.91150442] ; [37.91150442 30.08849558],0
n1,1,0.269257,1.220526,[ 8 14] ; [ 8 27],[ 6.1754386 15.8245614] ; [ 9.8245614 25.1754386],0
p10,1,0.30495,1.052423,[23 21] ; [41 25],[25.6 18.4] ; [38.4 27.6],0
p8,1,0.311418,1.024653,[12 32] ; [13 55],[ 9.82142857 34.17857143] ; [15.17857143 52.82142857],0
a1,1,0.335729,0.926672,[ 2 43] ; [ 1 67],[ 1.19469027 43.80530973] ; [ 1.80530973 66.19469027],0
p9,1,0.365046,0.820458,[28 16] ; [46 18],[30.14814815 13.85185185] ; [43.85185185 20.14814815],0
v3,1,0.389852,0.739403,[11 30] ; [13 53],[ 9.19626168 31.80373832] ; [14.80373832 51.19626168],0
v1,1,0.397555,0.71571,[19 26] ; [23 44],[16.875 28.125] ; [25.125 41.875],0
b2,1,0.413967,0.66738,[ 9 13] ; [ 9 21],[ 7.61538462 14.38461538] ; [10.38461538 19.61538462],0
b3,1,0.413967,0.66738,[ 9 13] ; [ 9 21],[ 7.61538462 14.38461538] ; [10.38461538 19.61538462],0
v2,1,0.425105,0.63616,[20 21] ; [27 39],[18.00934579 22.99065421] ; [28.99065421 37.00934579],0
d5,1,0.429756,0.623484,[36  9] ; [50 18],[34.24778761 10.75221239] ; [51.75221239 16.24778761],0
s5,1,0.446176,0.580348,[ 9 33] ; [19 49],[10.69090909 31.30909091] ; [17.30909091 50.69090909],0
b1,1,0.447542,0.576869,[17 28] ; [21 47],[15.13274336 29.86725664] ; [22.86725664 45.13274336],0
s8,1,0.452335,0.564794,[12 33] ; [14 54],[10.3539823 34.6460177] ; [15.6460177 52.3539823],0
b4,1,0.492578,0.470889,[30 15] ; [41 27],[28.27433628 16.72566372] ; [42.72566372 25.27433628],0
s7,1,0.494627,0.466445,[11 32] ; [13 52],[ 9.55555556 33.44444444] ; [14.44444444 50.55555556],0
r2,1,0.508484,0.437186,[37  8] ; [59  9],[38.2300885  6.7699115] ; [57.7699115 10.2300885],0
p6,1,0.519622,0.414644,[ 4 40] ; [ 4 64],[ 3.14285714 40.85714286] ; [ 4.85714286 63.14285714],0
d4,1,0.536449,0.382162,[36  9] ; [51 17],[34.6460177 10.3539823] ; [52.3539823 15.6460177],0
a6,1,0.548594,0.359842,[29 16] ; [40 28],[27.47787611 17.52212389] ; [41.52212389 26.47787611],0
p5,1,0.55134,0.354922,[ 1 43] ; [ 3 65],[ 1.57142857 42.42857143] ; [ 2.42857143 65.57142857],0
u2,1,0.563703,0.333333,[11  9] ; [14 16],[10. 10.] ; [15. 15.],0
s4,1,0.580055,0.306146,[ 8 37] ; [15 53],[ 9.15929204 35.84070796] ; [13.84070796 54.15929204],0
d3,1,0.612336,0.256788,[27 18] ; [44 24],[28.27433628 16.72566372] ; [42.72566372 25.27433628],0
p3,1,0.665013,0.187491,[ 7 37] ; [13 55],[ 7.85714286 36.14285714] ; [12.14285714 55.85714286],0
p4,1,0.680294,0.169795,[11 34] ; [19 49],[11.94690265 33.05309735] ; [18.05309735 49.94690265],0
s2,1,0.708769,0.13951,[17 28] ; [23 44],[16.07142857 28.92857143] ; [23.92857143 43.07142857],0
a4,1,0.716766,0.131612,[14 31] ; [19 49],[13.14159292 31.85840708] ; [19.85840708 48.14159292],0
u3,1,0.726172,0.122655,[13  8] ; [20 10],[13.58823529  7.41176471] ; [19.41176471 10.58823529],0
p12,1,0.754235,0.098007,[ 1 43] ; [ 1 67],[ 0.78571429 43.21428571] ; [ 1.21428571 66.78571429],0
d1,1,0.788157,0.072202,[23 22] ; [33 35],[22.30088496 22.69911504] ; [33.69911504 34.30088496],0
a3,1,0.789809,0.071053,[24 21] ; [38 30],[24.69026549 20.30973451] ; [37.30973451 30.69026549],0
a7,1,0.821061,0.051158,[32 13] ; [47 21],[31.46017699 13.53982301] ; [47.53982301 20.46017699],0
r1,1,0.84162,0.039929,[27 17] ; [43 25],[27.5 16.5] ; [42.5 25.5],0
a5,1,0.848797,0.036349,[22 23] ; [32 36],[21.50442478 23.49557522] ; [32.49557522 35.50442478],0
d2,1,0.849634,0.035943,[16 29] ; [23 45],[15.53097345 29.46902655] ; [23.46902655 44.53097345],0
s3,1,0.850617,0.035468,[18 27] ; [26 42],[17.52212389 27.47787611] ; [26.47787611 41.52212389],0
u1,1,0.865551,0.028667,[ 3 42] ; [ 4 64],[ 2.78761062 42.21238938] ; [ 4.21238938 63.78761062],0
b5,1,0.90083,0.015528,[27 18] ; [40 28],[26.68141593 18.31858407] ; [40.31858407 27.68141593],0
a2,1,0.988003,0.000226,[ 6 39] ; [ 9 59],[ 5.97345133 39.02654867] ; [ 9.02654867 58.97345133],0
