Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.001854,9.68894,[56 18] ; [11 15],[49.58 24.42] ; [17.42  8.58],0
r4,1,0.00259,9.07599,[53 21] ; [10 16],[46.62 27.38] ; [16.38  9.62],0
b1,1,0.004978,7.887235,[25 49] ; [17  9],[31.08 42.92] ; [10.92 15.08],0
v3,1,0.008599,6.90423,[26 45] ; [ 2 22],[20.92631579 50.07368421] ; [ 7.07368421 16.92631579],0
p9,1,0.011404,6.401212,[64  9] ; [17  9],[59.72727273 13.27272727] ; [21.27272727  4.72727273],0
p2,1,0.020369,5.379949,[61 12] ; [16 10],[56.77777778 16.22222222] ; [20.22222222  5.77777778],0
n5,1,0.025039,5.021209,[57 17] ; [14 12],[52.54 21.46] ; [18.46  7.54],0
r2,1,0.037625,4.321877,[63  8] ; [17  7],[59.78947368 11.21052632] ; [20.21052632  3.78947368],0
r3,1,0.043332,4.082404,[68  6] ; [20  6],[65.12  8.88] ; [22.88  3.12],0
s6,1,0.054853,3.686553,[52 18] ; [14 12],[48.125 21.875] ; [17.875  8.125],0
p11,1,0.058913,3.567716,[57 17] ; [15 11],[53.28 20.72] ; [18.72  7.28],0
p8,1,0.062504,3.469656,[34 39] ; [ 6 18],[30.10309278 42.89690722] ; [ 9.89690722 14.10309278],0
p10,1,0.077156,3.123815,[57 15] ; [16 10],[53.63265306 18.36734694] ; [19.36734694  6.63265306],0
a1,1,0.106643,2.603272,[ 4 70] ; [ 4 22],[ 5.92 68.08] ; [ 2.08 23.92],0
d3,1,0.13047,2.286902,[44 30] ; [11 15],[40.7 33.3] ; [14.3 11.7],0
b5,1,0.142804,2.147479,[49 25] ; [13 13],[45.88 28.12] ; [16.12  9.88],0
v4,1,0.161853,1.95683,[64  9] ; [19  6],[61.82653061 11.17346939] ; [21.17346939  3.82653061],0
p1,1,0.193602,1.689989,[ 5 68] ; [ 4 22],[ 6.63636364 66.36363636] ; [ 2.36363636 23.63636364],0
s5,1,0.207126,1.591399,[26 40] ; [ 6 18],[23.46666667 42.53333333] ; [ 8.53333333 15.46666667],0
v1,1,0.21558,1.533553,[37 34] ; [ 9 15],[34.37894737 36.62105263] ; [11.62105263 12.37894737],0
u3,1,0.21934,1.508684,[13 17] ; [6 3],[14.61538462 15.38461538] ; [4.38461538 4.61538462],0
u2,1,0.21934,1.508684,[13 17] ; [6 3],[14.61538462 15.38461538] ; [4.38461538 4.61538462],0
d4,1,0.246996,1.340214,[51 23] ; [21  5],[53.28 20.72] ; [18.72  7.28],0
s8,1,0.257765,1.280719,[38 36] ; [10 16],[35.52 38.48] ; [12.48 13.52],0
d5,1,0.273742,1.197901,[54 20] ; [16 10],[51.8 22.2] ; [18.2  7.8],0
a7,1,0.27807,1.176497,[46 28] ; [13 13],[43.66 30.34] ; [15.34 10.66],0
v2,1,0.304001,1.056558,[34 37] ; [ 9 16],[31.80208333 39.19791667] ; [11.19791667 13.80208333],0
b4,1,0.319377,0.991497,[48 26] ; [14 12],[45.88 28.12] ; [16.12  9.88],0
n1,1,0.344503,0.893601,[ 7 10] ; [6 4],[8.18518519 8.81481481] ; [4.81481481 5.18518519],0
p5,1,0.37021,0.80296,[ 7 65] ; [ 1 24],[ 5.93814433 66.06185567] ; [ 2.06185567 22.93814433],0
s4,1,0.429675,0.623701,[17 57] ; [ 8 18],[18.5 55.5] ; [ 6.5 19.5],0
b2,1,0.432946,0.614907,[15 30] ; [ 5 16],[13.63636364 31.36363636] ; [ 6.36363636 14.63636364],0
b3,1,0.432946,0.614907,[15 30] ; [ 5 16],[13.63636364 31.36363636] ; [ 6.36363636 14.63636364],0
p6,1,0.460825,0.54389,[26 46] ; [ 7 18],[24.49484536 47.50515464] ; [ 8.50515464 16.49484536],0
p12,1,0.463747,0.536836,[ 6 68] ; [ 1 25],[ 5.18 68.82] ; [ 1.82 24.18],0
s2,1,0.49115,0.474005,[51 23] ; [16 10],[49.58 24.42] ; [17.42  8.58],0
p3,1,0.525034,0.403994,[38 36] ; [11 14],[36.62626263 37.37373737] ; [12.37373737 12.62626263],0
a2,1,0.530908,0.392653,[ 9 65] ; [ 2 24],[ 8.14 65.86] ; [ 2.86 23.14],0
d2,1,0.534512,0.385806,[29 45] ; [12 14],[30.34 43.66] ; [10.66 15.34],0
a4,1,0.550512,0.3564,[21 53] ; [ 9 17],[22.2 51.8] ; [ 7.8 18.2],0
a8,1,0.585419,0.297555,[ 8 63] ; [ 4 22],[ 8.78350515 62.21649485] ; [ 3.21649485 22.78350515],0
p7,1,0.632585,0.228571,[41 31] ; [15  9],[42. 30.] ; [14. 10.],0
s1,1,0.63831,0.220959,[ 4 70] ; [ 2 23],[ 4.48484848 69.51515152] ; [ 1.51515152 23.48484848],0
a3,1,0.64542,0.211723,[44 29] ; [17  9],[44.97979798 28.02020202] ; [16.02020202  9.97979798],0
s7,1,0.647237,0.209402,[37 35] ; [12 14],[36. 36.] ; [13. 13.],0
n2,1,0.653188,0.201904,[13  4] ; [10  2],[13.48275862  3.51724138] ; [9.51724138 2.48275862],0
a6,1,0.670867,0.18059,[42 32] ; [16 10],[42.92 31.08] ; [15.08 10.92],0
n3,1,0.793475,0.06854,[12  5] ; [9 3],[12.31034483  4.68965517] ; [8.68965517 3.31034483],0
p4,1,0.812432,0.056306,[39 35] ; [13 13],[38.48 35.52] ; [13.52 12.48],0
d1,1,0.93394,0.006871,[32 42] ; [11 15],[31.82 42.18] ; [11.18 14.82],0
a5,1,0.970523,0.001366,[43 31] ; [15 11],[42.92 31.08] ; [15.08 10.92],0
