Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,0.00153,10.042034,[50  9] ; [13 12],[44.25 14.75] ; [18.75  6.25],0
v3,1,0.005758,7.624373,[18 38] ; [ 1 24],[13.13580247 42.86419753] ; [ 5.86419753 19.13580247],0
s7,1,0.006502,7.405714,[24 32] ; [ 3 22],[18.66666667 37.33333333] ; [ 8.33333333 16.66666667],0
p3,1,0.020466,5.371714,[22 37] ; [ 3 22],[17.55952381 41.44047619] ; [ 7.44047619 17.55952381],0
s5,1,0.03463,4.463327,[13 43] ; [ 1 24],[ 9.67901235 46.32098765] ; [ 4.32098765 20.67901235],0
s4,1,0.093253,2.817308,[14 45] ; [ 2 23],[11.23809524 47.76190476] ; [ 4.76190476 20.23809524],0
r1,1,0.094824,2.790508,[33 26] ; [ 9 16],[29.5 29.5] ; [12.5 12.5],0
n1,1,0.1113,2.535664,[12 12] ; [ 3 10],[ 9.72972973 14.27027027] ; [5.27027027 7.72972973],0
s6,1,0.125185,2.351215,[31 26] ; [ 9 16],[27.80487805 29.19512195] ; [12.19512195 12.80487805],0
n6,1,0.129851,2.294285,[43 16] ; [14 11],[40.03571429 18.96428571] ; [16.96428571  8.03571429],0
b4,1,0.150896,2.063171,[36 23] ; [11 14],[33.01190476 25.98809524] ; [13.98809524 11.01190476],0
p11,1,0.157533,1.997752,[38 21] ; [20  5],[40.73809524 18.26190476] ; [17.26190476  7.73809524],0
u3,1,0.192288,1.7,[10 26] ; [7 8],[12. 24.] ; [ 5. 10.],0
a4,1,0.208716,1.580311,[14 44] ; [ 3 22],[11.87951807 46.12048193] ; [ 5.12048193 19.87951807],0
a6,1,0.212205,1.556318,[30 29] ; [ 9 16],[27.39285714 31.60714286] ; [11.60714286 13.39285714],0
d3,1,0.284279,1.14652,[13 46] ; [ 3 22],[11.23809524 47.76190476] ; [ 4.76190476 20.23809524],0
p8,1,0.336799,0.922576,[23 36] ; [ 7 18],[21.07142857 37.92857143] ; [ 8.92857143 16.07142857],0
n3,1,0.342953,0.899362,[14  8] ; [11  3],[15.27777778  6.72222222] ; [9.72222222 4.27777778],0
r3,1,0.400908,0.705602,[42 17] ; [20  5],[43.54761905 15.45238095] ; [18.45238095  6.54761905],0
s1,1,0.444938,0.583515,[ 5 52] ; [ 1 24],[ 4.17073171 52.82926829] ; [ 1.82926829 23.17073171],0
s8,1,0.452139,0.565283,[19 40] ; [ 6 19],[17.55952381 41.44047619] ; [ 7.44047619 17.55952381],0
p6,1,0.465781,0.531967,[16 42] ; [ 5 20],[14.6746988 43.3253012] ; [ 6.3253012 18.6746988],0
r2,1,0.473919,0.512823,[48 10] ; [19  6],[46.81927711 11.18072289] ; [20.18072289  4.81927711],0
s3,1,0.537051,0.381034,[27 30] ; [10 15],[25.7195122 31.2804878] ; [11.2804878 13.7195122],0
a5,1,0.544246,0.367726,[23 36] ; [ 8 17],[21.77380952 37.22619048] ; [ 9.22619048 15.77380952],0
s2,1,0.546615,0.363417,[17 41] ; [ 9 16],[18.1686747 39.8313253] ; [ 7.8313253 17.1686747],0
v1,1,0.563013,0.334514,[20 38] ; [ 7 18],[18.86746988 39.13253012] ; [ 8.13253012 16.86746988],0
b5,1,0.565944,0.329517,[30 29] ; [11 14],[28.79761905 30.20238095] ; [12.20238095 12.79761905],0
v2,1,0.585527,0.297384,[15 40] ; [ 8 16],[16.01265823 38.98734177] ; [ 6.98734177 17.01265823],0
