Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,32.616201,[37 34] ; [85  8],[52.81707317 18.18292683] ; [69.18292683 23.81707317],1
r4,1,2e-06,22.229736,[32 40] ; [75 19],[46.40963855 25.59036145] ; [60.59036145 33.40963855],1
v4,1,1.2e-05,19.231968,[45 26] ; [85  8],[56.2804878 14.7195122] ; [73.7195122 19.2804878],1
p7,1,1.3e-05,19.059775,[16 54] ; [53 40],[29.63190184 40.36809816] ; [39.36809816 53.63190184],1
p4,1,2.2e-05,18.024416,[13 58] ; [47 46],[25.97560976 45.02439024] ; [34.02439024 58.97560976],1
p9,1,7.4e-05,15.70335,[21 47] ; [57 34],[33.35849057 34.64150943] ; [44.64150943 46.35849057],1
s6,1,0.000387,12.59155,[20 52] ; [52 42],[31.22891566 40.77108434] ; [40.77108434 53.22891566],1
p10,1,0.001099,10.652417,[18 52] ; [47 45],[28.08641975 41.91358025] ; [36.91358025 55.08641975],0
r1,1,0.001185,10.513099,[37 34] ; [71 22],[46.75609756 24.24390244] ; [61.24390244 31.75609756],0
p6,1,0.004254,8.172222,[ 7 63] ; [26 66],[14.25925926 55.74074074] ; [18.74074074 73.25925926],0
n6,1,0.004695,7.993186,[35 36] ; [66 27],[43.72560976 27.27439024] ; [57.27439024 35.72560976],0
p3,1,0.006863,7.308497,[14 57] ; [37 57],[21.94545455 49.05454545] ; [29.05454545 64.94545455],0
s7,1,0.007141,7.237114,[12 53] ; [34 54],[19.54248366 45.45751634] ; [26.45751634 61.54248366],0
p8,1,0.007703,7.101196,[14 57] ; [36 56],[21.7791411 49.2208589] ; [28.2208589 63.7791411],0
s8,1,0.008838,6.855371,[ 8 64] ; [26 68],[14.74698795 57.25301205] ; [19.25301205 74.74698795],0
s2,1,0.008956,6.831519,[16 56] ; [39 55],[23.85542169 48.14457831] ; [31.14457831 62.85542169],0
v1,1,0.009352,6.754422,[17 55] ; [40 53],[24.87272727 47.12727273] ; [32.12727273 60.87272727],0
a1,1,0.011009,6.463832,[10 62] ; [ 3 91],[ 5.63855422 66.36144578] ; [ 7.36144578 86.63855422],0
d3,1,0.024221,5.078715,[33 38] ; [59 33],[40.07361963 30.92638037] ; [51.92638037 40.07361963],0
r2,1,0.027164,4.880376,[51 17] ; [83 11],[56.24691358 11.75308642] ; [77.75308642 16.24691358],0
b5,1,0.041394,4.159826,[37 35] ; [63 31],[43.37349398 28.62650602] ; [56.62650602 37.37349398],0
s3,1,0.046548,3.961653,[23 47] ; [45 48],[29.20245399 40.79754601] ; [38.79754601 54.20245399],0
b3,1,0.047025,3.944486,[21 27] ; [10 32],[16.53333333 31.46666667] ; [14.46666667 27.53333333],0
b2,1,0.047025,3.944486,[21 27] ; [10 32],[16.53333333 31.46666667] ; [14.46666667 27.53333333],0
s1,1,0.055261,3.674182,[10 61] ; [ 5 88],[ 6.49390244 64.50609756] ; [ 8.50609756 84.49390244],0
n3,1,0.093596,2.811416,[13 16] ; [23 12],[16.3125 12.6875] ; [19.6875 15.3125],0
a6,1,0.111608,2.531296,[35 36] ; [58 36],[40.01818182 30.98181818] ; [52.98181818 41.01818182],0
a7,1,0.113955,2.498504,[42 29] ; [66 27],[46.75609756 24.24390244] ; [61.24390244 31.75609756],0
n2,1,0.12004,2.416797,[15 17] ; [23 12],[18.14925373 13.85074627] ; [19.85074627 15.14925373],0
a3,1,0.161464,1.960458,[46 24] ; [51 42],[41.65644172 28.34355828] ; [55.34355828 37.65644172],0
n1,1,0.227549,1.456116,[15 17] ; [11 23],[12.60606061 19.39393939] ; [13.39393939 20.60606061],0
v2,1,0.237153,1.397436,[23 47] ; [37 51],[26.58227848 43.41772152] ; [33.41772152 54.58227848],0
s4,1,0.240313,1.378756,[ 7 65] ; [15 79],[ 9.54216867 62.45783133] ; [12.45783133 81.54216867],0
d2,1,0.25643,1.287927,[33 37] ; [36 58],[29.45121951 40.54878049] ; [39.54878049 54.45121951],0
a8,1,0.282459,1.155221,[ 6 60] ; [ 4 81],[ 4.37086093 61.62913907] ; [ 5.62913907 79.37086093],0
p5,1,0.291005,1.114967,[ 2 69] ; [ 6 88],[ 3.44242424 67.55757576] ; [ 4.55757576 89.44242424],0
d4,1,0.320027,0.988838,[46 25] ; [67 26],[48.92073171 22.07926829] ; [64.07926829 28.92073171],0
a4,1,0.33306,0.936965,[29 41] ; [32 62],[26.03658537 43.96341463] ; [34.96341463 59.03658537],0
d5,1,0.399475,0.709907,[46 25] ; [66 27],[48.48780488 22.51219512] ; [63.51219512 29.48780488],0
a5,1,0.400839,0.705808,[43 29] ; [50 44],[40.3373494 31.6626506] ; [52.6626506 41.3373494],0
u3,1,0.476674,0.506462,[11 15] ; [21 20],[12.41791045 13.58208955] ; [19.58208955 21.41791045],0
v3,1,0.59079,0.289113,[21 47] ; [24 65],[19.49044586 48.50955414] ; [25.50955414 63.49044586],0
b1,1,0.722711,0.12591,[38 34] ; [47 47],[36.86746988 35.13253012] ; [48.13253012 45.86746988],0
u4,1,0.723256,0.125395,[ 1 71] ; [ 2 92],[ 1.30120482 70.69879518] ; [ 1.69879518 92.30120482],0
u2,1,0.744383,0.106312,[10 16] ; [17 23],[10.63636364 15.36363636] ; [16.36363636 23.63636364],0
u1,1,0.745483,0.105366,[ 8 64] ; [12 82],[ 8.6746988 63.3253012] ; [11.3253012 82.6746988],0
a2,1,0.787551,0.072626,[15 57] ; [18 76],[14.31325301 57.68674699] ; [18.68674699 75.31325301],0
b4,1,0.817728,0.053115,[37 35] ; [50 44],[37.73493976 34.26506024] ; [49.26506024 44.73493976],0
p1,1,0.833124,0.044393,[ 6 66] ; [ 7 87],[ 5.63855422 66.36144578] ; [ 7.36144578 86.63855422],0
p12,1,0.849118,0.036193,[ 1 71] ; [ 1 93],[ 0.86746988 71.13253012] ; [ 1.13253012 92.86746988],0
d1,1,0.915232,0.01133,[32 40] ; [41 53],[31.6626506 40.3373494] ; [41.3373494 52.6626506],0
n4,1,0.956671,0.002952,[42 29] ; [56 38],[42.16969697 28.83030303] ; [55.83030303 38.16969697],0
n5,1,0.963959,0.002042,[43 28] ; [56 37],[42.8597561 28.1402439] ; [56.1402439 36.8597561],0
